 	cette	année	les	régimes	de	bananes	sont	gros	</S>
m	0.605813	0.260226	0.0335531	0.0817688	0.0122329	0.00206202	0.00209462	0.00131717	0.000931533
v	0.371807	0.216033	0.240315	0.0366139	0.0606924	0.000788497	0.0169476	0.0163299	0.0404728
ú	0.650501	0.304017	0.0116307	0.0107053	0.00133622	0.00024998	0.000338451	0.0202928	0.000929182
l	0.333024	0.590411	0.0102781	0.00860134	0.00338845	0.000403937	0.000657523	0.0174575	0.0357785
á	0.676307	0.183827	0.0300185	0.00626388	0.0139704	0.00112035	0.00804188	0.0450533	0.0353972
w	0.453988	0.0976479	0.302753	0.025468	0.0385407	0.00505998	0.0246494	0.00211576	0.0497772
ó	0.0842291	0.0231319	0.0579103	0.504832	0.11575	0.129932	0.0280354	0.0107323	0.0454474
a	0.0428298	0.0186426	0.267765	0.438658	0.135427	0.0369886	0.0177532	0.00366546	0.0382702
t	0.0177837	0.0265875	0.247141	0.102551	0.20421	0.110265	0.128118	0.0169438	0.1464
ω	0.00427994	0.0245066	0.0891821	0.187589	0.234933	0.345468	0.0439631	0.00909879	0.0609791
r	0.0319921	0.102822	0.299621	0.115443	0.19327	0.101991	0.06182	0.0117626	0.0812781
ω	0.0186443	0.00717398	0.102645	0.285393	0.27273	0.245572	0.0386214	0.00765181	0.0215674
á	0.0103414	0.00435568	0.181806	0.259193	0.368988	0.117886	0.0175274	0.0110891	0.0288141
d	0.00984261	0.0201918	0.109516	0.0568712	0.221206	0.288218	0.148406	0.0843305	0.0614171
í	0.00275471	0.00150645	0.0214446	0.0108001	0.13819	0.012369	0.177001	0.110998	0.524936
a	0.00289191	0.000973003	0.0284921	0.013382	0.126031	0.141306	0.401497	0.160691	0.124737
n	0.00799033	0.0133513	0.0166507	0.00671351	0.0209115	0.136673	0.129869	0.57697	0.0908709
έ	0.0137117	0.00614721	0.0273622	0.0237521	0.0182138	0.0186907	0.0658445	0.719908	0.10637
a	0.00105626	0.000994126	0.0438564	0.00918322	0.0705144	0.0494444	0.235762	0.251066	0.338124
n	0.00826132	0.00162403	0.0101766	0.000730552	0.0174347	0.0122242	0.237185	0.515889	0.196474
έ	0.0117086	0.00120301	0.0108739	0.00514486	0.00812539	0.00282938	0.0693118	0.780177	0.110626
</S>	0.00153073	0.000614168	0.0116754	0.00285209	0.0339127	0.0167936	0.204048	0.274455	0.454118
