 	cet	enfant	ne	reste	pas	à	la	maison	comme	son	père	</S>
m	0.785243	0.209134	0.0012326	0.000245609	0.000731585	0.000584047	0.00119752	0.000160388	0.000448634	0.000950515	1.06187e-05	6.10129e-05
w	0.0493467	0.948405	0.000918776	9.07352e-05	9.7016e-05	0.000169977	0.000172283	0.000259006	0.000182492	0.000167787	1.14483e-06	0.000188907
á	0.000740168	0.999057	1.01239e-05	2.63564e-05	6.70865e-06	8.84799e-06	4.81009e-06	0.000135916	5.41233e-06	1.2824e-06	1.40105e-06	1.93911e-06
n	0.180225	0.815521	0.00159837	0.000159789	0.000196722	0.000225167	0.000292053	0.000387353	0.000391371	0.000133354	9.33158e-05	0.000776233
a	0.360614	0.260499	0.0858956	0.0316733	0.0211645	0.0315598	0.0234008	0.0286342	0.0349032	0.0138927	0.00695775	0.100806
w	0.866326	0.0486967	0.0427626	0.00303214	0.00613056	0.00417818	0.00652747	0.000619106	0.0049751	0.00800752	0.000767893	0.00797659
ó	0.239651	0.0351379	0.190401	0.0368225	0.0538104	0.0939134	0.0760517	0.00816877	0.0858934	0.0582404	0.00707925	0.114831
a	0.0375211	0.0157337	0.613665	0.0350401	0.0400265	0.033222	0.0169715	0.00322737	0.031363	0.0276489	0.0026568	0.142924
d	0.00232726	0.00132188	0.293562	0.392521	0.0675241	0.0576356	0.0104482	0.00804882	0.0419602	0.00916142	0.00375277	0.111736
í	0.00627787	0.00111932	0.162786	0.457389	0.0618431	0.0358554	0.00766245	0.00426148	0.0346373	0.00942561	0.00143079	0.217312
l	0.0121602	0.00155217	0.178704	0.263387	0.134188	0.118537	0.044587	0.0103927	0.0405706	0.0152094	0.00229068	0.178422
i	0.000973887	0.000269978	0.111651	0.136176	0.190422	0.0924064	0.0563628	0.0355187	0.0658777	0.0915926	0.016954	0.201795
t	0.000731371	0.000296419	0.0388155	0.187501	0.246937	0.153809	0.130113	0.103002	0.0504538	0.0258133	0.00847565	0.0540518
á	0.000130074	0.00104125	0.0425754	0.495571	0.219485	0.0934769	0.0299586	0.0321214	0.0222895	0.00255149	0.0388932	0.0219064
m	0.000333515	0.000256373	0.0884669	0.350862	0.109383	0.068359	0.0536887	0.0461714	0.0327676	0.0159822	0.0470812	0.186648
b	0.000384326	0.000105695	0.0135458	0.0867228	0.124029	0.248011	0.199092	0.229083	0.057911	0.021097	0.000632038	0.019385
í	0.00322277	0.000337046	0.0243401	0.0275364	0.0767446	0.190475	0.228195	0.344736	0.0512321	0.0182265	0.000200824	0.0347534
n	0.00271246	0.000239561	0.0268356	0.00925695	0.0604929	0.158366	0.307852	0.20236	0.109485	0.0892301	0.00595416	0.0272153
d	0.00132411	0.000432528	0.00230216	0.00050906	0.00675105	0.0337978	0.0581004	0.822375	0.0210703	0.0267863	0.00267102	0.0238806
é	0.000453896	0.000233252	0.000365908	0.000238794	0.00369567	0.0165202	0.0208668	0.899191	0.0162482	0.00929735	0.00528476	0.0276046
n	0.000269913	3.99188e-05	0.0112831	0.00515808	0.0402495	0.0853296	0.0801558	0.477203	0.0959972	0.0543122	0.0438006	0.106201
g	0.000835186	8.65375e-05	0.00369171	0.00328458	0.0313757	0.165905	0.147914	0.202493	0.235577	0.0452448	0.0125272	0.151066
é	0.000624087	0.000314902	0.00249881	0.000518955	0.00651909	0.0187387	0.0844771	0.797179	0.0293704	0.0241101	0.0119173	0.0237318
y	0.00030663	1.70367e-05	0.0203285	0.00208754	0.0279312	0.090937	0.0868862	0.0440889	0.274258	0.313362	0.0453826	0.0944143
á	0.00382087	1.76879e-05	0.0138198	0.00315834	0.0475138	0.139493	0.194523	0.0297056	0.231657	0.228272	0.0514253	0.0565927
t	0.000815068	1.88826e-05	0.00657353	0.00194181	0.0141072	0.0376357	0.0671134	0.0135444	0.0927093	0.569055	0.177731	0.0187551
á	0.000140385	1.83298e-05	0.000977365	0.00177821	0.00710295	0.0190209	0.0222222	0.00455678	0.0664423	0.0252752	0.827083	0.0253821
á	2.06342e-05	1.37564e-06	0.00117548	0.00183814	0.00491364	0.0126867	0.0121113	0.00195164	0.0396873	0.0342348	0.71024	0.181139
</S>	0.000352741	0.000123277	0.00951471	0.00385431	0.00571466	0.018676	0.0249337	0.016832	0.150749	0.282877	0.111581	0.374791
