 	la	manière	dont	ils	ont	augmenté	les	salaires	des	fonctionnaires	a	émerveillé	tout	le	pays	</S>
e	0.261718	0.431078	0.119655	0.0883146	0.0299445	0.00965549	0.00980405	0.00654187	0.011875	0.0252114	0.00277189	0.000736887	0.00115117	0.0011107	6.17036e-05	0.00036944
l	0.0126536	0.0158315	0.00853041	0.0145877	0.257547	0.157286	0.00701143	0.0243051	0.0457528	0.407451	0.0127992	0.0232751	0.00374421	0.00669796	0.00139756	0.00112949
é	0.00257721	0.10971	0.0196888	0.0106124	0.0759834	0.112711	0.00439294	0.0551853	0.0117808	0.496761	0.00156376	0.0804859	0.00217349	0.00310152	0.00248026	0.0107912
é	0.000942907	0.0126988	0.0195093	0.0148962	0.457053	0.100805	0.0211159	0.0508641	0.025043	0.271939	0.00535682	0.00401668	0.00479698	0.00598324	0.00250007	0.00247892
s	0.0970703	0.0194769	0.0880543	0.044006	0.15043	0.1485	0.0937487	0.0264928	0.0877986	0.0510656	0.0463515	0.00990755	0.0617866	0.0169611	0.00147765	0.056873
í	0.0412964	0.00889801	0.0219911	0.0410833	0.133474	0.153519	0.0089295	0.0692593	0.0498493	0.107816	0.0400529	0.0296462	0.0324285	0.0200346	0.00332456	0.238397
l	0.440366	0.0519686	0.0614334	0.01512	0.0467178	0.050645	0.0803253	0.00957205	0.0400633	0.0143726	0.0453594	0.0122134	0.0337038	0.0259906	0.00182374	0.0703253
í	0.227416	0.0135701	0.0717455	0.0647018	0.0862267	0.0814543	0.023076	0.0577204	0.0240518	0.050552	0.0253519	0.00894926	0.0260713	0.0210353	0.00318756	0.21489
y	0.0599564	0.0681549	0.397291	0.0241695	0.131779	0.0609174	0.0403683	0.0365992	0.0247488	0.0436421	0.0185177	0.0184188	0.0262151	0.0156582	0.00152154	0.032043
é	0.0592872	0.0579187	0.552555	0.00264584	0.015575	0.0859237	0.013909	0.0539669	0.0143338	0.0430073	0.0105345	0.0483814	0.00958169	0.00362244	0.00133409	0.0274232
é	0.0591422	0.0269966	0.232907	0.00898203	0.0725059	0.154082	0.0598578	0.0563282	0.0336901	0.0701099	0.0207298	0.0348037	0.0199933	0.0201899	0.00498405	0.124697
l	0.0333048	0.00702631	0.0246144	0.025143	0.0907592	0.108511	0.0131672	0.172695	0.0241665	0.281409	0.0101528	0.0630841	0.0206004	0.0123792	0.0482137	0.0647739
é	0.00410261	0.00135802	0.0155053	0.0102024	0.157901	0.0518961	0.0126258	0.304788	0.0208284	0.369963	0.00386808	0.0175124	0.00526223	0.00673546	0.0029894	0.0144617
é	0.0102358	0.0029488	0.0749298	0.0684206	0.209258	0.0996734	0.0774449	0.187921	0.0330725	0.125698	0.00990925	0.023228	0.0103073	0.00962846	0.00690706	0.0504179
s	0.00203247	0.00218031	0.0311252	0.196923	0.0712095	0.0789194	0.205514	0.103664	0.117201	0.102939	0.0180705	0.00933492	0.0268226	0.0105654	0.000770529	0.0227285
í	0.0218752	0.00839911	0.120389	0.0960703	0.13805	0.137261	0.193263	0.094439	0.0566502	0.0311773	0.0184507	0.00871143	0.0207256	0.0156888	0.00165406	0.0371957
b	0.00208942	0.00207297	0.0581894	0.225832	0.0953798	0.0656303	0.264	0.148435	0.0658486	0.0380956	0.0108472	0.00367945	0.00950573	0.00275913	0.00015582	0.00747947
á	0.00463127	0.00285085	0.0162698	0.575274	0.122785	0.059087	0.0904036	0.0422719	0.0604029	0.00313403	0.00718537	0.00364512	0.00856727	0.00107079	0.000158913	0.00226124
a	0.00384067	0.00213417	0.0103609	0.177983	0.115748	0.0966383	0.219385	0.0720157	0.125844	0.0210051	0.0420956	0.0339056	0.0412331	0.0127873	0.000380787	0.0246428
a	0.00122546	0.00184574	0.0065932	0.0302797	0.0626475	0.0669908	0.183445	0.185304	0.260844	0.122163	0.0340404	0.0204774	0.0130366	0.005053	9.17046e-05	0.0059629
s	0.00299235	0.00140922	0.00361258	0.00478856	0.0141119	0.0254929	0.0173552	0.187832	0.148728	0.534437	0.0140325	0.0260525	0.00910336	0.00351662	0.000780057	0.00575617
á	0.00050529	0.00011219	0.000692504	0.000314337	0.00255622	0.0141423	0.00361878	0.431678	0.0365721	0.487802	0.00211417	0.0133651	0.00161641	0.00100608	0.000125788	0.0037787
l	0.00300783	0.00054682	0.00522938	0.0120604	0.0127588	0.0204597	0.0818965	0.212111	0.174873	0.309569	0.0360188	0.0144828	0.0193555	0.0165822	0.00470357	0.0763444
i	0.00398938	0.000717363	0.0193448	0.0114784	0.0239673	0.0371419	0.12132	0.0762416	0.305708	0.222125	0.0505842	0.0249074	0.0360341	0.0207586	0.00260463	0.0430766
