 	les	habits	de	cet	enfant	sont	infestés	des	poux	</S>
i	0.460012	0.410289	0.104501	0.0135299	0.0055565	0.00326385	0.00015195	0.00248971	6.84941e-05	0.000137847
k	0.00624968	0.991855	0.00121234	0.000114467	1.96856e-05	3.11987e-05	0.000349214	2.83395e-05	3.9897e-05	0.00010062
á	0.00198492	0.991092	0.00564591	0.000644691	7.261e-05	3.57669e-05	2.32244e-05	2.76549e-05	0.000350556	0.000122258
n	0.00276801	0.98132	0.00920089	0.00111312	0.000752722	0.000229332	0.000291575	4.88504e-05	0.000813806	0.00346195
d	0.119738	0.862234	0.0111534	0.00249059	0.00021672	0.000785583	9.01869e-05	0.000187362	0.00020268	0.00290207
á	0.230026	0.545458	0.0370703	0.0212386	0.0244735	0.00931126	0.000627341	0.00208636	0.00300233	0.126706
m	0.164139	0.064645	0.330889	0.170353	0.00787042	0.132805	0.0442372	0.0371612	0.00100538	0.0468944
á	0.324173	0.00979735	0.169091	0.329393	0.0387658	0.0590887	0.00251033	0.0425333	0.0112788	0.0133691
m	0.345925	0.019711	0.096151	0.146546	0.319264	0.0500215	0.00665989	0.00699814	0.00272542	0.00599832
w	0.0336692	0.00111585	0.0289049	0.046567	0.821402	0.0633372	0.00101988	0.00118124	0.000636121	0.00216672
á	0.000713196	0.00035398	0.00107361	0.00179059	0.994755	0.00110079	2.94287e-05	1.29646e-05	8.60988e-05	8.44423e-05
n	0.0848208	0.00072737	0.00389848	0.00986546	0.896003	0.00405443	1.08785e-05	0.000149525	0.000284748	0.000185303
a	0.0377333	0.00467428	0.0103833	0.0359308	0.895157	0.00976101	0.000327687	0.000414025	0.00375914	0.00185983
w	0.0838393	0.0266092	0.111411	0.340207	0.0804078	0.194081	0.123412	0.0328277	0.0019669	0.00523765
ó	0.0555863	0.0171738	0.130247	0.184728	0.109828	0.153662	0.250151	0.0403824	0.0187276	0.0395136
í	0.00540438	0.000784043	0.0925813	0.0955133	0.0137322	0.440664	0.119119	0.193044	0.00579428	0.0333644
b	0.000717864	0.00130225	0.00941837	0.0058809	0.0005606	0.0786738	0.832631	0.0320867	0.00324994	0.0354789
h	0.00332621	0.00471229	0.0115186	0.0213438	0.00346169	0.161545	0.708048	0.0451646	0.0272975	0.0135824
í	0.00105603	0.000887979	0.0122294	0.0208354	0.00378788	0.115903	0.752525	0.0381281	0.0117599	0.0428871
l	0.000818643	0.000918628	0.00813388	0.0162377	0.00722901	0.101317	0.60717	0.0458781	0.0395989	0.172698
a	0.00418991	0.0010997	0.00869678	0.0132121	0.00262154	0.10426	0.341375	0.187842	0.0669967	0.269706
m	0.00609495	0.0026347	0.008737	0.00924165	0.00317045	0.0654348	0.037253	0.194961	0.522972	0.149501
b	0.0102616	0.00231362	0.0138933	0.035776	0.00343205	0.024226	0.00417967	0.181803	0.591139	0.132975
a	0.00051368	0.000591358	0.00522354	0.0156231	0.00550127	0.0186937	0.0168117	0.0284373	0.876708	0.0318966
r	0.00254579	0.00308866	0.00505385	0.0131715	0.0055745	0.02248	0.0469401	0.0326587	0.583624	0.284863
á	0.00270681	0.0312762	0.0100484	0.00794641	0.000249828	0.0137454	0.0118587	0.0564769	0.476013	0.389678
</S>	0.00554881	0.00333694	0.0101033	0.0250847	0.00146237	0.047864	0.0156505	0.317499	0.140712	0.432738
