 	hier	j'	ai	mangé	les	légumes	epfuula	aux	poissons	</S>
l	0.948563	0.0417365	0.00611398	0.00210803	0.000510345	0.000167032	2.68706e-05	0.000238557	0.000363593	0.000172331
a	0.921393	0.0323759	0.0319011	0.0102441	0.00296631	0.000353796	4.60862e-06	7.59372e-05	0.00011364	0.000571271
p	0.918435	0.0100823	0.011342	0.0532375	0.0028377	0.000866798	3.19802e-05	0.000281219	0.000794517	0.00209119
ó	0.960624	0.00157476	0.00242057	0.00132857	0.00962343	0.00813166	0.0068189	0.000703137	0.00168455	0.00709025
a	0.9345	0.0235295	0.0126104	0.010219	0.0039872	0.00208688	0.00178497	0.000800163	0.000729595	0.00975201
n	0.024115	0.713983	0.176789	0.0666866	0.00637874	0.000529801	0.000405735	0.00272203	0.000370002	0.00802011
g	0.0135327	0.782362	0.146274	0.0489914	0.00433216	0.000712958	0.000186157	0.000148061	5.83495e-05	0.00340308
á	0.0032925	0.675952	0.227345	0.0900854	0.00243846	0.000348502	5.3612e-05	0.000118484	5.11962e-05	0.000314592
í	0.0585937	0.0410969	0.394746	0.04142	0.299499	0.0412196	0.00467021	0.0129453	0.00341117	0.102398
d	0.00318558	0.0247825	0.159429	0.277596	0.470425	0.0358005	0.00827769	0.00412326	0.00219393	0.0141866
z	0.000272565	0.0011673	0.036603	0.674581	0.264981	0.0111524	0.00135091	0.000616943	0.000766773	0.00850873
é	0.00032837	0.00466591	0.0413727	0.927902	0.0218781	0.00147262	0.000104324	0.000328646	0.00101934	0.000927797
e	0.00447692	0.0196399	0.0921847	0.15455	0.235508	0.0458832	0.0545591	0.0807327	0.0620226	0.250443
e	0.000507576	0.0159631	0.0326264	0.00484926	0.198386	0.253938	0.341169	0.106755	0.0286021	0.017203
p	0.000234082	0.000436928	0.0106896	0.00376861	0.284758	0.379951	0.24872	0.0349451	0.0235214	0.0129762
f	7.75061e-05	6.16027e-06	0.00022367	2.44913e-05	0.0137901	0.19817	0.783605	0.00271046	0.000409505	0.000982983
ú	0.000143334	8.05662e-06	0.00057742	2.65609e-05	0.064488	0.160882	0.747779	0.0149923	0.00681539	0.00428811
ú	0.000811594	0.000284573	0.000793765	1.44038e-05	0.014481	0.0965691	0.774216	0.0816338	0.0122828	0.0189128
l	7.82873e-06	0.000106918	0.00141819	1.49921e-05	0.0205985	0.0935249	0.198067	0.478605	0.0429097	0.164747
á	8.81455e-05	0.000470393	0.00895821	6.73867e-05	0.0267686	0.0655075	0.080396	0.493333	0.12118	0.203231
s	0.000826831	0.00310913	0.00675674	0.000962834	0.00308353	0.00847298	0.0172442	0.264123	0.643905	0.0515151
á	0.000104188	0.000989205	0.0120116	0.00191156	0.0021767	0.00304354	0.00265412	0.0567284	0.854529	0.0658514
s	0.00026693	0.000575116	0.00298095	0.000266875	0.000354546	0.000938036	0.00174665	0.0219592	0.938551	0.0323602
w	2.95795e-05	0.000610941	0.00122558	0.000829863	0.000256516	0.000579032	0.000677244	0.00933651	0.950972	0.0354828
é	3.35528e-05	2.21939e-05	0.000395224	0.000316916	0.000635639	0.00324207	0.00239403	0.0227217	0.935192	0.0350467
</S>	4.62378e-05	7.1585e-06	0.000110864	2.42545e-05	0.00136457	0.00655919	0.0198676	0.0372931	0.573581	0.361146
