 	c'	est	lui	qui	a	embourbé	le	véhicule	à	l'	entrée	d'	ekyembe	</S>
w	0.551853	0.247973	0.118414	0.0467372	0.0123392	0.00360237	0.00983132	0.003949	0.00163903	0.0012291	0.00124681	0.000641603	0.000310466	0.000233272
a	0.278937	0.447478	0.12258	0.0390124	0.0191884	0.000614155	0.0378805	0.0197926	0.00955294	0.00739415	0.00593047	0.00177384	0.0097836	8.17463e-05
m	0.0674609	0.306516	0.257522	0.249205	0.09748	0.000879937	0.0150625	0.00127801	0.002511	0.000705455	0.00056623	0.000344272	0.000151309	0.00031753
b	0.0920763	0.416291	0.32792	0.0288542	0.0856769	0.0144526	0.0052411	0.00052012	0.0133563	0.00184392	0.000220064	0.00126117	0.000201269	0.0120854
í	0.0483652	0.347098	0.172304	0.0864332	0.0800016	0.111166	0.0316394	0.0202642	0.0508867	0.0200733	0.00454534	0.00560188	0.00238015	0.019241
m	0.181746	0.38208	0.254326	0.0398403	0.0224885	0.0419	0.00584039	0.00201002	0.0172095	0.00423043	0.000716568	0.00232592	0.00102031	0.0442655
o	0.0699702	0.261514	0.194583	0.0558368	0.289118	0.0674983	0.00458725	0.00127636	0.0160724	0.00208326	0.000316533	0.0027516	0.000537959	0.0338546
r	0.11926	0.161136	0.117961	0.244075	0.159395	0.0215482	0.0212324	0.0390258	0.0310352	0.0135246	0.0135782	0.00708237	0.00728071	0.0438644
o	0.0452006	0.0773062	0.0700255	0.524334	0.166541	0.010371	0.00997492	0.0112533	0.0282041	0.0156816	0.00841675	0.00269433	0.00112191	0.0288744
y	0.0355186	0.0850561	0.155673	0.378644	0.183601	0.00337084	0.032879	0.0154739	0.0241801	0.0226613	0.0187496	0.00775686	0.00307955	0.0333555
e	0.127245	0.182409	0.232885	0.249979	0.101655	0.00192131	0.0272036	0.0143031	0.0233839	0.0153621	0.00366775	0.00397851	0.00166122	0.0143449
e	0.112377	0.075008	0.349177	0.172255	0.193517	0.0114535	0.0374089	0.00501755	0.00688042	0.00676762	0.00362308	0.00658548	0.00164931	0.0182792
b	0.0024707	0.00622747	0.0060764	0.0543004	0.371392	0.45937	0.0327559	0.0205398	0.00667521	0.00271909	0.00432864	0.00567315	0.00316344	0.0243077
h	0.000392317	0.00196467	0.00108212	0.00675326	0.0379076	0.921925	0.0121647	0.00626554	0.00321499	0.00115055	0.00102938	0.00127909	0.000854575	0.00401641
á	4.77223e-05	0.000171882	6.91517e-05	0.00125356	0.0106754	0.969045	0.00662224	0.00949817	0.000900285	0.000195069	0.000293475	0.000188713	0.000257842	0.00078124
r	0.000406787	0.00117598	0.00240122	0.00617641	0.0309492	0.730312	0.0776639	0.0411773	0.0161221	0.00778644	0.00264547	0.00465099	0.0113041	0.0672286
í	0.0193519	0.0179682	0.0385509	0.0607967	0.0925267	0.22282	0.245328	0.12055	0.0685878	0.0487863	0.0182642	0.00782013	0.00412785	0.0345213
s	0.00329562	0.00632875	0.0305429	0.021809	0.0581024	0.0727163	0.695156	0.0395492	0.0283295	0.012265	0.00334744	0.00712429	0.00128222	0.0201513
í	0.0199597	0.024121	0.0136555	0.028684	0.0372465	0.023338	0.256886	0.194065	0.146416	0.124654	0.0298708	0.0141661	0.00920517	0.0777327
