 	la	manière	dont	il	s'	est	épuisé	montre	qu'	il	fume	beaucoup	</S>
e	0.502223	0.344993	0.0609408	0.00999249	0.0123338	0.0106173	0.0420125	0.00375175	0.00362379	0.00190072	0.00305201	0.00126384	0.00329479
k	0.00111466	0.000426804	0.00701807	0.0105032	0.129554	0.359104	0.356482	0.00917948	0.00755364	0.00876667	0.0884862	0.0199059	0.00190598
ώ	0.00484826	0.000224345	0.0016775	0.00304128	0.0263598	0.0410706	0.827635	0.0111873	0.0155872	0.010398	0.0448311	0.0108202	0.00231912
b	0.00019508	0.000217726	0.0160201	0.0133102	0.0352428	0.0310743	0.807974	0.0172866	0.014342	0.0115186	0.0466035	0.00464835	0.00156718
h	0.0202778	0.0136203	0.0808388	0.0519273	0.149904	0.171321	0.286966	0.0520975	0.0416629	0.0255364	0.0402227	0.00779487	0.057831
í	0.0337641	0.0142451	0.122121	0.0549624	0.0773342	0.0976592	0.268754	0.0681126	0.043763	0.0205212	0.0325825	0.010978	0.155203
l	0.0173764	0.00841707	0.0499795	0.15676	0.173702	0.136425	0.00934929	0.0503861	0.0317504	0.0343121	0.0165627	0.0281206	0.286859
í	0.0120342	0.00831947	0.0410626	0.0782078	0.15492	0.165374	0.0201473	0.0644515	0.0300439	0.0379618	0.0267667	0.0335013	0.32721
y	0.169339	0.0424011	0.150114	0.18893	0.111973	0.0950788	0.0255696	0.0362592	0.0339584	0.0294147	0.0125081	0.0168612	0.0875935
é	0.0849294	0.0352668	0.392187	0.064219	0.0560757	0.0732428	0.00645314	0.0602667	0.0278978	0.027987	0.0163006	0.0234581	0.131716
é	0.0210028	0.00872145	0.266648	0.169712	0.189548	0.161007	0.0141354	0.0435558	0.0222047	0.0284536	0.0228286	0.0152727	0.0369103
k	0.00699038	0.00150107	0.0247846	0.0681772	0.163699	0.240741	0.20913	0.0344409	0.0118138	0.0288377	0.0557511	0.042682	0.111452
ώ	0.00105738	9.57658e-05	0.00145297	0.0126956	0.0690054	0.107197	0.711803	0.0272925	0.0105619	0.0099245	0.0151289	0.00559508	0.0281895
b	0.000945581	0.000308259	0.045423	0.0513491	0.0677911	0.0464458	0.659266	0.0233162	0.00788445	0.00719444	0.0332358	0.0117045	0.0451361
h	0.00744916	0.00212813	0.0869322	0.118894	0.194162	0.108872	0.173812	0.103199	0.0421458	0.0336889	0.0423335	0.00931615	0.0770681
i	0.00402973	0.00196848	0.126769	0.343074	0.106929	0.0380166	0.159268	0.0497056	0.0317493	0.0219192	0.0212353	0.00795191	0.0873848
w	0.00234161	0.00287979	0.0456787	0.382335	0.331172	0.139223	0.0203286	0.0298093	0.0162223	0.0132933	0.00279594	0.00138095	0.0125395
a	0.0161997	0.00934152	0.107572	0.560703	0.0615658	0.011981	0.0166796	0.0278826	0.0640328	0.0318588	0.0275629	0.0160005	0.0486194
y	0.00172587	0.00377378	0.0287268	0.399727	0.290977	0.0984908	0.00454983	0.0725986	0.0445136	0.0343586	0.00416595	0.00365223	0.0127403
é	0.122323	0.0514141	0.0997055	0.244984	0.160985	0.0802169	0.0375989	0.128879	0.0416024	0.0165998	0.00482376	0.00683003	0.00403708
e	0.0356724	0.0238508	0.0183203	0.239199	0.174379	0.0885646	0.00476871	0.158213	0.163989	0.0691599	0.0104694	0.00555764	0.00785552
s	0.00185115	0.00147431	0.00254008	0.0144706	0.180011	0.17402	0.256281	0.260125	0.0342111	0.0319231	0.0242661	0.0111287	0.00769722
ε	0.000877221	0.00105069	0.00209453	0.00374399	0.125574	0.333786	0.151072	0.268208	0.0175213	0.0146903	0.0318499	0.0164225	0.0331092
r	0.000713347	9.81189e-05	0.00325702	0.0117475	0.0847223	0.268143	0.0585163	0.280477	0.0625225	0.0152354	0.0469741	0.0499026	0.117691
έ	0.0387745	0.00120645	0.00399027	0.00969087	0.0748169	0.225779	0.137558	0.164741	0.168509	0.0479406	0.0404982	0.0320064	0.0544883
w	0.00457877	0.00250959	0.00757669	0.0601062	0.10752	0.110722	0.0106799	0.334393	0.248202	0.0933114	0.0114867	0.00352368	0.00538983
á	0.00893177	0.00389114	0.00680726	0.0849961	0.187715	0.0935865	0.0101681	0.161528	0.214928	0.149996	0.0283897	0.019497	0.0295658
r	0.00722439	0.00813326	0.0109207	0.0827594	0.040444	0.0141894	0.00261112	0.114193	0.402145	0.250281	0.0374037	0.0123942	0.0173011
e	0.0243477	0.0164977	0.0169136	0.014549	0.0703639	0.015278	0.000996717	0.212446	0.224537	0.109111	0.234821	0.0229071	0.0372308
w	0.000800844	0.000633441	0.00281456	0.0150914	0.0639168	0.0336937	0.000548385	0.340324	0.298648	0.178406	0.0405853	0.018535	0.00600205
a	0.00555353	0.00391014	0.00958087	0.0479582	0.0875532	0.0617092	0.00549068	0.169562	0.249124	0.252452	0.0415982	0.0308626	0.0346457
