 	le	forgeron	redresse	le	fer	</S>
o	0.969828	0.0257332	0.00128575	0.00270685	0.000373582	7.30115e-05
k	0.115483	0.867915	0.0124191	0.00184986	0.00145305	0.000880758
u	0.00526273	0.993335	0.000886652	2.00581e-05	0.000330865	0.000165026
b	0.00191791	0.98568	0.00665205	0.000383273	0.00223992	0.00312651
h	0.669515	0.270073	0.0145639	0.00705781	0.00411728	0.0346736
a	0.535315	0.294544	0.0818658	0.0230704	0.00373214	0.0614731
l	0.0743564	0.0107824	0.688459	0.129918	0.00434057	0.0921433
á	0.0528858	0.00130676	0.115426	0.191791	0.0448578	0.593732
a	0.392185	0.00366278	0.182617	0.35098	0.0224364	0.0481191
s	0.00302527	0.00697999	0.944613	0.0315292	0.00794275	0.00591005
é	0.00103051	0.00359863	0.918725	0.0101818	0.0468547	0.0196099
s	0.0163769	0.00116285	0.765656	0.0649002	0.0832471	0.0686567
á	0.029774	0.00112331	0.646378	0.102537	0.110415	0.109772
á	0.00241083	0.000270395	0.392158	0.467628	0.0434999	0.0940335
e	0.00353157	0.000418572	0.0112938	0.623241	0.294749	0.0667663
d	0.00301658	0.00324103	0.00995051	0.0283181	0.894373	0.0611005
u	0.000278072	0.000163411	0.00422605	0.00955033	0.865394	0.120388
n	0.00347653	6.1464e-05	0.0015948	0.0856589	0.656103	0.253106
g	0.000220188	3.79827e-05	0.000285371	0.0350699	0.618779	0.345608
a	0.0168092	0.000428257	0.00560055	0.100841	0.320216	0.556104
</S>	0.00462187	0.0001204	0.00121162	0.330864	0.124119	0.539063
