 	ma	ceinture	est	en	cuir	</S>
k	0.677282	0.261644	0.0326649	0.0216696	0.0066199	0.000119643
á	0.0874358	0.852221	0.0135635	0.0103562	0.0356198	0.00080399
m	0.0538015	0.739044	0.0569163	0.0564768	0.0117624	0.0819987
b	0.442878	0.437692	0.0599964	0.0183762	0.00111327	0.0399447
a	0.269524	0.60242	0.0368349	0.0205388	0.00269232	0.0679899
y	0.521475	0.260393	0.152289	0.0331851	0.00442871	0.0282286
a	0.554146	0.190963	0.112459	0.0406659	0.0135883	0.0881778
n	0.970527	0.0115879	0.00632619	0.00254372	0.00521482	0.00380059
g	0.998436	0.000196877	0.000686476	0.000309052	0.00012107	0.00025049
á	0.813812	0.0180441	0.0685727	0.0296132	0.024188	0.0457699
a	0.0583628	0.0681612	0.684732	0.146082	0.0172275	0.0254352
d	0.00812161	0.025579	0.660561	0.268417	0.0258157	0.0115059
i	0.0193492	0.0039891	0.619439	0.247948	0.00597611	0.103298
m	0.0404	0.00458202	0.300137	0.511003	0.0880111	0.0558664
é	0.0294351	0.00429783	0.175559	0.36694	0.0143101	0.409459
k	0.0193328	0.00617508	0.190612	0.391138	0.265495	0.127246
o	0.00166402	0.0148177	0.0781208	0.200639	0.559551	0.145207
r	0.00079248	0.0228023	0.161732	0.142704	0.599517	0.072452
ó	0.00255984	0.0362755	0.0934019	0.168433	0.306589	0.392741
y	0.0267288	0.00531088	0.17268	0.261917	0.0842818	0.449082
á	0.0109092	0.00814965	0.0896105	0.261672	0.285642	0.344017
n	0.0105646	0.00106585	0.00410421	0.0382608	0.91622	0.0297845
y	0.466922	0.000246117	0.00475044	0.0454909	0.367055	0.115535
a	0.732171	0.000242655	0.00299603	0.0191104	0.223672	0.0218088
m	0.00614263	0.000536863	0.00849181	0.0525203	0.846096	0.0862129
a	0.0196272	0.00267753	0.0289071	0.0926006	0.0744062	0.781781
</S>	0.00322239	0.00128233	0.0192697	0.0859696	0.0870192	0.803237
