 	le	maçon	a	enfoncé	le	piquet	dans	le	sol	</S>
o	0.973476	0.0232326	0.000386614	0.00050879	0.000919221	0.000553829	0.000493145	0.000385569	2.2905e-05	2.1366e-05
t	0.274744	0.693081	0.0161206	0.00577229	0.00216821	0.000872548	0.00109833	0.00141995	0.00346443	0.0012581
á	0.382328	0.444333	0.0164177	0.0857258	0.00883728	0.00840197	0.0046001	0.00684643	0.0381441	0.00436569
n	0.308595	0.413164	0.0385488	0.0575221	0.0218952	0.0297832	0.0173068	0.00990636	0.0121302	0.0911487
g	0.872631	0.0862127	0.0121928	0.00868999	0.00560768	0.00377987	0.00409492	0.00138013	0.000820938	0.00458965
i	0.538032	0.407294	0.0132345	0.00568679	0.00523951	0.00211568	0.00124837	0.000892393	0.00233268	0.0239244
n	0.383041	0.300601	0.188388	0.0398856	0.0284208	0.0176929	0.0160903	0.00464214	0.00046973	0.0207689
d	0.0537894	0.697364	0.0637333	0.0171715	0.0134846	0.00283866	0.00751226	0.0114825	0.0114611	0.121162
é	0.0125637	0.837532	0.0395383	0.00906852	0.00465874	0.000877077	0.00114656	0.00383614	0.0454035	0.0453754
e	0.0375755	0.282855	0.219956	0.0564004	0.0374991	0.00655204	0.00598632	0.0173496	0.0613876	0.274439
á	0.0169565	0.0443267	0.754546	0.0855944	0.0329625	0.0150939	0.015672	0.003784	0.000473532	0.0305901
w	0.00525887	0.0225715	0.443863	0.237854	0.0901371	0.0834077	0.0651938	0.0160987	0.000999446	0.0346153
o	0.000856303	0.00498994	0.358914	0.322648	0.116239	0.120274	0.042555	0.0164555	0.00208021	0.0149887
m	0.00595011	0.00333039	0.37251	0.40186	0.11567	0.0518544	0.0081395	0.00635158	0.00402293	0.0303107
i	0.00172744	0.000218924	0.0421442	0.411616	0.241073	0.0588268	0.15437	0.0690727	0.00769013	0.0132603
e	0.00165911	0.00144898	0.061585	0.134434	0.310578	0.282119	0.153257	0.0399579	0.00922025	0.00574051
s	0.000558466	0.00107813	0.0501947	0.239472	0.170958	0.392046	0.083627	0.0271443	0.0116361	0.0232849
u	0.000245935	0.000943824	0.0159828	0.332516	0.174328	0.129482	0.204546	0.0876641	0.0141121	0.0401797
m	0.000339582	0.000165972	0.0241819	0.23677	0.403349	0.125938	0.123497	0.0502843	0.00978141	0.0256921
ú	0.00131036	6.78077e-05	0.0323788	0.166147	0.366213	0.116254	0.114267	0.123115	0.0197844	0.060463
s	0.000184717	1.33648e-05	0.0119205	0.031554	0.10023	0.277715	0.271094	0.186237	0.0371562	0.0838954
á	0.000705328	7.80854e-05	0.00494184	0.0374589	0.0640482	0.033982	0.0853745	0.310548	0.267759	0.195104
t	0.00130725	8.44183e-05	0.000655873	0.00196026	0.00735675	0.00956634	0.033327	0.161432	0.763232	0.0210778
s	0.00174624	0.000324906	0.00262385	0.0145584	0.0212861	0.0399284	0.0244875	0.0889448	0.701294	0.104805
ε	0.000152856	5.18468e-05	0.00108862	0.0218186	0.0121967	0.0538157	0.038393	0.0719117	0.733876	0.0666946
n	5.05282e-05	3.11772e-05	0.00338025	0.0666056	0.0424757	0.0510327	0.0660411	0.122626	0.321582	0.326175
g	4.32081e-05	2.04729e-05	0.00154547	0.0142534	0.0219716	0.0242955	0.085715	0.198204	0.331736	0.322215
ε	8.22832e-05	3.04713e-05	0.000844319	0.0186082	0.0234487	0.0205766	0.0115212	0.0534381	0.833037	0.038413
</S>	0.000301114	2.57856e-05	0.00480373	0.00922694	0.0198898	0.0226458	0.0856484	0.143303	0.0644943	0.649661
