 	la	panthère	s'	approche	du	cabri	sans	bruit	</S>
n	0.612219	0.364565	0.0043121	0.0109921	0.00311432	0.00147656	0.00271777	0.000527786	7.59845e-05
g	0.647435	0.351073	0.000949453	4.77462e-05	0.000160778	3.06228e-05	0.000288056	1.12541e-05	3.6751e-06
w	0.0499943	0.94856	0.000688543	0.000288381	0.000196251	7.98151e-05	8.98375e-05	9.57039e-05	7.48961e-06
ε	0.502302	0.472726	0.00953541	0.00361945	0.00210978	0.000530897	0.00138222	0.00350943	0.00428472
l	0.229157	0.0415497	0.234946	0.015572	0.0243582	0.00495986	0.049663	0.0276664	0.372128
á	0.155735	0.0615919	0.24201	0.0686423	0.0499192	0.00675405	0.0972949	0.0272413	0.290812
a	0.526165	0.0850073	0.284148	0.0466623	0.021633	0.00426865	0.00934552	0.00491826	0.0178514
b	0.0201669	0.00957419	0.19092	0.714621	0.0442186	0.0121477	0.000545035	0.00200948	0.00579723
h	0.0046177	0.000481448	0.0481694	0.920866	0.0100816	0.0131159	0.000176236	0.00057044	0.001921
ε	0.00193016	0.000143964	0.00441326	0.976492	0.00714636	0.00803467	0.000121189	0.00025293	0.00146594
n	0.00456075	0.00359924	0.0879586	0.81448	0.0453292	0.0263145	0.00314091	0.00254506	0.0120718
έ	0.0134786	0.000190986	0.045062	0.772497	0.0917951	0.00388696	0.0427916	0.00326403	0.0270336
έ	0.0374613	0.000813568	0.242393	0.297108	0.356037	0.00790949	0.0403798	0.00547521	0.0124224
l	0.00492888	0.00248567	0.0756345	0.125942	0.660699	0.0603629	0.040499	0.0141303	0.0153176
a	0.00618442	0.000115022	0.0166233	0.0503348	0.781097	0.0580955	0.0289379	0.0095717	0.04904
m	0.00579345	0.000163416	0.0605058	0.0168243	0.675276	0.16308	0.0379747	0.0185799	0.0218016
b	0.000468506	4.28647e-05	0.00921458	0.00121746	0.0347658	0.929601	0.00315067	0.000998024	0.0205413
ó	1.72025e-05	1.34828e-05	0.00163658	0.00281142	0.0089344	0.981763	0.000305435	0.00191173	0.002607
s	9.59128e-05	2.93189e-05	0.00359636	0.00811718	0.0111386	0.9656	0.000802648	0.0021789	0.00844068
i	0.00450323	0.00055264	0.0571688	0.0343975	0.201948	0.444038	0.0652255	0.0696195	0.122546
i	0.00606463	8.76516e-05	0.0868206	0.0147928	0.130301	0.0905601	0.449194	0.0481726	0.174007
k	0.00283493	0.000291275	0.0151701	0.0163549	0.077758	0.0493023	0.0874512	0.411446	0.339391
w	0.000176082	2.73035e-05	0.00129289	0.0232488	0.0369359	0.0110639	0.0402935	0.7908	0.0961616
a	0.00262523	0.00029062	0.00115397	0.0194754	0.0452467	0.0323479	0.0346748	0.671706	0.192479
s	0.000265572	3.66369e-06	0.000686905	0.00175772	0.00876438	0.0105561	0.0634029	0.592158	0.322405
i	0.000773269	4.50881e-06	0.00193069	0.00777626	0.0572701	0.034212	0.127794	0.593387	0.176852
k	0.00182769	5.08435e-06	0.0126804	0.00212968	0.0116684	0.00412477	0.30829	0.173383	0.485891
a	0.000449423	1.65933e-05	0.00124412	0.00338146	0.00977989	0.000667887	0.137043	0.644355	0.203062
á	0.000416963	2.58651e-05	0.000552594	0.00244078	0.00245056	0.00244012	0.0117594	0.681061	0.298853
</S>	0.00098765	8.9941e-05	0.0395441	0.00957669	0.0197747	0.00865746	0.0848604	0.116556	0.719953
