 	tant	pis	si	tu	m'	acceptes	ou	tu	me	refuses	</S>
o	0.823312	0.106461	0.00659175	0.00269232	0.00329712	0.0131783	0.0164204	0.0169603	0.00976457	0.00103875	0.000283938
b	0.518126	0.354103	0.00881154	0.00282005	0.00620611	0.0122509	0.0119146	0.038828	0.0114476	0.0210887	0.0144041
é	0.24582	0.634071	0.0165591	0.00191897	0.0189488	0.0269858	0.00326295	0.00182503	0.00190152	0.0308659	0.0178408
n	0.158547	0.526046	0.0725826	0.00149041	0.00799925	0.0471939	0.0101447	0.00825497	0.00517517	0.0138504	0.148715
y	0.769118	0.121324	0.0121946	0.001672	0.00330752	0.0137604	0.0031422	0.0047748	0.0100627	0.00355286	0.0570904
a	0.509161	0.217255	0.0207122	0.00293921	0.00378703	0.0152914	0.00269268	0.00284407	0.0103787	0.0198256	0.195113
l	0.580684	0.123588	0.156634	0.0124398	0.00641306	0.0193258	0.01886	0.0113802	0.0320055	0.00330002	0.0353687
a	0.435845	0.0264098	0.03209	0.0410345	0.0220054	0.0068082	0.0214983	0.0512955	0.105147	0.00854287	0.249324
n	0.738294	0.0454794	0.0291221	0.0717103	0.0117986	0.00263541	0.0152956	0.010979	0.0562369	0.00666942	0.0117789
g	0.182968	0.0541195	0.0179475	0.0561595	0.336136	0.00324332	0.0119466	0.135969	0.166218	0.0199065	0.0153859
á	0.0939039	0.196255	0.087668	0.0514662	0.185337	0.00300469	0.0167511	0.196422	0.0793258	0.0439216	0.0459454
m	0.174268	0.0343706	0.243367	0.107801	0.0232168	0.0674252	0.102289	0.0507062	0.144018	0.0270399	0.0254996
b	0.197364	0.214995	0.100781	0.0048183	0.0128915	0.0389236	0.00668723	0.00189147	0.0373094	0.330213	0.0541253
o	0.025792	0.622902	0.0928195	0.000418082	0.00538789	0.0491244	0.00191764	0.000441542	0.00185197	0.166446	0.0328989
b	0.101452	0.43993	0.0500497	0.000425479	0.00244931	0.190646	0.00594785	0.00112804	0.00387223	0.126199	0.0779005
h	0.177467	0.116085	0.0659543	0.00204629	0.0132628	0.0912441	0.00469902	0.0019675	0.00239788	0.0276177	0.497258
ó	0.194937	0.469782	0.097242	0.0106784	0.0155414	0.0297428	0.0108316	0.00389882	0.0110118	0.0820116	0.0743229
ó	0.0403911	0.00909509	0.0985173	0.0539179	0.0737178	0.142423	0.143583	0.11214	0.206776	0.044475	0.0749639
t	0.0483273	0.00562616	0.0341272	0.0130046	0.0421282	0.116827	0.13172	0.151853	0.249068	0.0849246	0.122393
ó	0.00741223	0.00368993	0.0222163	0.0136261	0.0181376	0.162993	0.146218	0.121816	0.072709	0.084177	0.347005
n	0.0210763	0.00242674	0.0194128	0.0294971	0.0464001	0.121741	0.0939631	0.0649319	0.154134	0.108303	0.338114
a	0.0192466	0.00630157	0.031722	0.0563227	0.0838396	0.115328	0.118655	0.158308	0.0875408	0.067481	0.255255
l	0.00519498	0.00172549	0.0153453	0.172034	0.10142	0.0341264	0.105273	0.0853182	0.313996	0.0661429	0.0994225
a	0.0146328	0.00240651	0.0218497	0.0484149	0.0875176	0.0604012	0.105838	0.107045	0.147253	0.0635682	0.341073
n	0.00460041	0.00161728	0.00880228	0.315218	0.194253	0.0212247	0.0267286	0.0216755	0.247621	0.0870553	0.0712046
g	0.00217992	0.00110465	0.00404449	0.0888195	0.47716	0.00460651	0.0232898	0.102425	0.20698	0.0441598	0.0452301
á	0.000686043	0.00129494	0.00545154	0.0989764	0.443422	0.00799245	0.0271642	0.138544	0.100324	0.0598346	0.116311
m	0.00329811	0.00143993	0.0125629	0.0437163	0.0279397	0.0341777	0.0654534	0.0529519	0.264906	0.209952	0.283602
b	0.00312014	0.0177214	0.00876742	0.00419529	0.0253364	0.0176848	0.00180408	0.00112703	0.0313005	0.458554	0.430388
o	0.00175283	0.0319162	0.0130747	0.00100377	0.0193122	0.115221	0.00515151	0.000680266	0.00379676	0.572086	0.236005
b	0.00412458	0.0404511	0.00538005	0.00142596	0.00971338	0.0910884	0.00626635	0.00203594	0.0165783	0.332137	0.490799
h	0.00627847	0.0100335	0.00441604	0.00065929	0.00408394	0.0146301	0.00154192	0.00146789	0.001874	0.0320953	0.92292
ó	0.0081641	0.0244872	0.0116926	0.00654002	0.0180802	0.0446587	0.0121917	0.0107613	0.0261092	0.184442	0.652873
</S>	0.00204768	0.00340269	0.0217911	0.0286461	0.0408588	0.0203901	0.040829	0.101226	0.162587	0.109799	0.468422
