 	notre	vie	a	été	bouleversée	par	l'	arrivée	des	blancs	</S>
o	0.70816	0.143202	0.0696754	0.0263429	0.00610831	0.0161936	0.0140904	0.00271491	0.00912683	0.00402716	0.000357975
m	0.0164059	0.964397	0.00696479	0.00462227	0.00103662	0.000575853	0.000908836	0.00103946	0.000819371	0.00164116	0.00158862
ω	0.079564	0.88754	0.0185952	0.00533227	0.00192439	0.000398677	0.000852354	0.00171817	0.000484398	0.000389968	0.00320054
n	0.012257	0.946115	0.00928366	0.00828227	0.00318504	0.00159838	0.00230183	0.00276367	0.00177369	0.00109828	0.0113409
g	0.0364908	0.848639	0.0456771	0.0275661	0.00592267	0.00584935	0.00616333	0.00299936	0.00229535	0.00341996	0.0149773
ω	0.253717	0.406756	0.0634724	0.0409371	0.019751	0.0313985	0.0307868	0.0153765	0.0114859	0.0192863	0.107032
m	0.140669	0.172486	0.463765	0.106243	0.0236528	0.0246515	0.0127268	0.0161294	0.0152558	0.00410596	0.0203147
á	0.0127655	0.0797865	0.303634	0.397448	0.0391792	0.0615787	0.0332366	0.0109352	0.017123	0.00637629	0.0379363
b	0.834702	0.00867299	0.0693584	0.0429604	0.00822289	0.00834593	0.00726564	0.0037296	0.00439643	0.00166217	0.0106831
í	0.925067	0.00290577	0.0273238	0.0132157	0.00867454	0.00533557	0.00682679	0.0034057	0.00446396	0.000960096	0.001821
s	0.977547	0.000227146	0.00790285	0.0044794	0.00191701	0.00103623	0.00220098	0.000431868	0.00131613	0.000508599	0.00243262
í	0.18297	0.0322846	0.266153	0.154512	0.0384379	0.0828802	0.0776092	0.022936	0.0201605	0.00494731	0.117109
á	0.0191783	0.0078875	0.388051	0.211762	0.0895009	0.0526714	0.0289989	0.0385144	0.0368446	0.00620945	0.120381
d	0.00497027	0.0243005	0.221377	0.239127	0.377778	0.0451066	0.0148712	0.0154756	0.00821987	0.00437286	0.0444012
z	0.00368521	0.00566392	0.107464	0.156248	0.407795	0.0814305	0.0227413	0.034264	0.0119962	0.00635439	0.162358
w	0.0433387	0.0193138	0.123385	0.456372	0.166241	0.138841	0.0246617	0.00763526	0.00234895	0.00287006	0.0149926
á	0.00254756	0.00255208	0.10192	0.149135	0.437459	0.140502	0.0475635	0.0305108	0.0214795	0.00881908	0.0575124
o	0.0112733	0.000863609	0.0841782	0.0607667	0.539691	0.207477	0.04547	0.0154761	0.0157018	0.00392366	0.0151777
t	0.00256686	0.0239236	0.00703157	0.0331152	0.772711	0.0758569	0.0237113	0.0320932	0.0044347	0.0186707	0.00588513
s	8.70388e-05	0.00480542	0.00869961	0.0417477	0.69716	0.0675936	0.0363007	0.0478944	0.00796608	0.0395418	0.0482033
a	0.000580572	0.00119596	0.0109489	0.0354956	0.455397	0.11623	0.103964	0.0771471	0.0406193	0.107886	0.0505351
á	0.00172942	0.000238321	0.00778251	0.0114293	0.202121	0.135724	0.144959	0.0581408	0.0497452	0.0715092	0.316622
á	0.00122092	0.0027398	0.023131	0.0153579	0.0812667	0.194727	0.227405	0.184612	0.121601	0.0326591	0.115279
d	0.00468782	0.00644595	0.014345	0.00913511	0.0647516	0.0836482	0.144462	0.296387	0.156903	0.0841506	0.135083
z	0.000173493	0.00040451	0.00107609	0.00121834	0.0150381	0.0325672	0.0610615	0.154152	0.0428308	0.0135252	0.677953
a	0.0031443	0.00468947	0.00393799	0.0210416	0.0156418	0.124014	0.199644	0.184872	0.0605227	0.119998	0.262495
i	0.000419139	0.000163512	0.00349582	0.00589435	0.0549398	0.0708667	0.115465	0.196966	0.184444	0.123051	0.244295
b	0.000501526	0.000889796	0.00262077	0.00471759	0.0104708	0.0356821	0.0896635	0.161939	0.192098	0.230786	0.270632
a	0.00183938	0.000135941	0.00158426	0.0014174	0.0228244	0.0203818	0.0740522	0.113761	0.129781	0.487941	0.146282
a	0.000368701	2.62869e-05	0.000298541	0.000376329	0.0223016	0.0159711	0.0587376	0.0600585	0.107426	0.35678	0.377656
m	0.000193814	0.000162796	0.00204776	0.00190002	0.00425366	0.0223835	0.076904	0.128065	0.342657	0.162789	0.258644
i	0.000796225	0.00106199	0.00376974	0.00854185	0.00826096	0.0418901	0.0804422	0.110709	0.177427	0.245729	0.321372
l	2.73781e-05	0.000520172	0.00198238	0.00257311	0.00269944	0.0207184	0.0689754	0.143284	0.33096	0.211812	0.216448
ó	0.00221396	0.00249512	0.00237935	0.00470001	0.0110694	0.0212443	0.0435885	0.11385	0.094458	0.21769	0.486311
y	0.00330392	0.000202162	0.00206442	0.00303547	0.0028339	0.0403985	0.0898198	0.162406	0.149277	0.277993	0.268665
a	0.000265486	0.00129128	0.0046971	0.00728661	0.0192637	0.0294239	0.0667089	0.166927	0.153835	0.312771	0.23753
a	2.51142e-05	9.10363e-05	0.000615275	0.000782623	0.00421295	0.0149718	0.0399744	0.0853333	0.158901	0.293286	0.401807
</S>	0.000399012	0.000811768	0.0053617	0.0029912	0.0117929	0.022024	0.0300837	0.0946026	0.220844	0.0574814	0.553608
