 	il	n'	a	plus	qu'	un	an	à	vivre	</S>
ω	0.599624	0.0465938	0.0373049	0.0674038	0.0285184	0.0754193	0.0842188	0.054998	0.00323222	0.00268648
m	0.0669258	0.265435	0.0715477	0.0505392	0.0210196	0.0354402	0.175796	0.0160045	0.130756	0.166535
ω	0.0124193	0.156222	0.0599701	0.0474527	0.0120999	0.0431354	0.0383255	0.00901446	0.58387	0.0374908
n	0.0158755	0.172791	0.0720305	0.0509743	0.0138512	0.0356963	0.0842829	0.0271278	0.33693	0.19044
g	0.100229	0.195343	0.212347	0.120041	0.0722493	0.0786922	0.0497536	0.0333165	0.037778	0.10025
ω	0.171411	0.0949373	0.281738	0.0375955	0.0488774	0.0832212	0.0204067	0.0295173	0.0196678	0.212628
m	0.0491592	0.0770569	0.163314	0.107762	0.234243	0.148457	0.0214662	0.0938024	0.0124078	0.0923303
á	0.171175	0.147712	0.168622	0.201645	0.143837	0.0502486	0.018596	0.0198947	0.00844309	0.0698261
w	0.201951	0.111751	0.245182	0.138809	0.10869	0.0625119	0.0187288	0.0733608	0.0115257	0.0274908
a	0.0708388	0.0641467	0.174582	0.253419	0.145999	0.0981103	0.0815334	0.0499554	0.0112698	0.050146
ó	0.0223053	0.0349959	0.125159	0.259064	0.220672	0.119858	0.0374655	0.106687	0.013268	0.0605247
m	0.00531851	0.0417529	0.110514	0.0855569	0.117035	0.155858	0.12963	0.123117	0.148651	0.0825665
i	0.00447933	0.0227057	0.0401284	0.0486457	0.104232	0.0804261	0.0238548	0.132958	0.307016	0.235554
b	0.00109408	0.0209117	0.0244887	0.037899	0.0506444	0.0849857	0.120796	0.0933949	0.282383	0.283403
v	0.00117087	0.0150158	0.0193505	0.0555648	0.0290959	0.0571014	0.515999	0.059391	0.113137	0.134174
u	0.00077738	0.0142627	0.0223007	0.136157	0.075246	0.081141	0.525966	0.04874	0.0301169	0.0652927
á	0.00133519	0.00507049	0.0278266	0.0985269	0.160837	0.132019	0.169729	0.114841	0.0532998	0.236514
o	0.00668827	0.0103605	0.0385758	0.0362719	0.158833	0.123786	0.023139	0.338292	0.0854102	0.178643
b	0.000430963	0.0112249	0.00855293	0.0100313	0.0138491	0.0458454	0.0352417	0.125804	0.637129	0.111891
v	0.00117616	0.00740372	0.00910443	0.0380684	0.016003	0.0639944	0.410661	0.0829691	0.321115	0.049505
ú	0.00225403	0.00759752	0.00977834	0.0434328	0.0495172	0.0642608	0.547981	0.0967278	0.108528	0.0699224
é	0.000280799	0.00107592	0.00700689	0.0226497	0.0968444	0.106866	0.0457216	0.0968804	0.0473115	0.575362
m	0.0049531	0.0128626	0.0406726	0.0275019	0.072478	0.0514723	0.014104	0.220303	0.113776	0.441877
i	0.00259439	0.0342495	0.0278567	0.0362775	0.0650398	0.0474648	0.00782083	0.228117	0.182931	0.367649
b	0.00061736	0.00784533	0.0125781	0.0204219	0.0281113	0.0552763	0.0179714	0.242542	0.120817	0.493819
v	0.00492419	0.0103129	0.0317642	0.0784615	0.0472265	0.0728082	0.15472	0.344741	0.141263	0.113778
u	0.00853954	0.00704008	0.0258685	0.079245	0.0605301	0.0593281	0.199383	0.247658	0.114792	0.197616
á	0.00062548	0.00203426	0.00708091	0.0107726	0.077558	0.0983356	0.0155947	0.182771	0.028189	0.577039
l	0.0051622	0.0138301	0.0415072	0.024383	0.0493729	0.0404688	0.0110165	0.120806	0.112555	0.580898
a	0.00508751	0.00914541	0.0359657	0.0103808	0.0193504	0.0174427	0.0083302	0.0421439	0.0948466	0.757307
w	0.00222462	0.00338725	0.0309594	0.0304216	0.118087	0.0836722	0.00471197	0.495283	0.0455935	0.18566
a	0.00671629	0.0121719	0.0423604	0.0605201	0.0898918	0.0666073	0.0441076	0.414881	0.0615478	0.201195
o	0.000810552	0.00174868	0.00599787	0.0114734	0.0239353	0.0328347	0.0210207	0.352612	0.0490571	0.50051
b	0.000264326	0.0262097	0.0303837	0.0290784	0.0551043	0.0833445	0.0114371	0.168392	0.0479599	0.547826
v	0.000121675	0.00246774	0.00596187	0.0176413	0.0146674	0.0318733	0.0808917	0.0751292	0.0709929	0.700253
ú	0.00312123	0.00752274	0.0292511	0.0776478	0.0997684	0.102426	0.138688	0.248263	0.0756355	0.217675
ω	0.00224526	0.00292698	0.0117985	0.0230756	0.079576	0.135642	0.0178394	0.306643	0.0145126	0.405741
p	0.00514544	0.00587768	0.0346846	0.0287526	0.0822143	0.0603498	0.00906174	0.168171	0.0284773	0.577265
ω	0.00240602	0.0128254	0.0247025	0.0749109	0.102539	0.127505	0.059327	0.190963	0.0108659	0.393955
ώ	0.00591864	0.00334098	0.00971578	0.0224816	0.0307015	0.0580458	0.0735623	0.238106	0.0582649	0.499862
o	0.00408787	0.00674279	0.0270878	0.0694034	0.110672	0.0917787	0.0447262	0.170547	0.0406564	0.434298
t	0.00138532	0.0177148	0.0383308	0.0371157	0.0989272	0.104761	0.0128488	0.172843	0.0239633	0.49211
o	0.000312967	0.00562422	0.0149908	0.0343957	0.053972	0.0630397	0.0306785	0.101463	0.0160713	0.679452
</S>	0.000157962	0.00228463	0.00606616	0.0152222	0.0241856	0.030961	0.0103688	0.07843	0.0161932	0.81613
