 	il	a	brisé	le	bâton	</S>
w	0.903057	0.0884642	0.00349499	0.00337563	0.00150241	0.000106223
a	0.938409	0.0406776	0.00136584	0.0158454	0.00354365	0.00015902
á	0.290832	0.620026	0.0710038	0.011057	0.000647902	0.00643391
m	0.0464291	0.419983	0.466516	0.0538971	0.00266101	0.0105137
i	0.0295601	0.230766	0.365456	0.128371	0.0128599	0.232987
k	0.00742601	0.0839191	0.76922	0.0904951	0.00990608	0.0390338
y	0.00145402	0.0170328	0.819201	0.0825365	0.0307063	0.0490691
é	0.00136491	0.0445406	0.86709	0.0464088	0.0348097	0.00578643
n	0.0124728	0.0676516	0.494492	0.212213	0.0451254	0.168045
á	0.039202	0.0737525	0.395213	0.212346	0.0387462	0.240741
i	0.0170548	0.0135063	0.0766779	0.365139	0.459468	0.0681537
b	0.000801465	0.000759235	0.01266	0.0221681	0.943223	0.0203878
v	0.00154051	0.00430359	0.00508559	0.0162231	0.966225	0.00662249
ú	0.000303349	0.00182911	0.018452	0.0173289	0.948867	0.01322
a	0.000189393	0.000381576	0.0105121	0.0331054	0.761782	0.194029
</S>	0.00371128	0.00866458	0.0344027	0.165416	0.141565	0.64624
