 	j'	ai	un	fusil	pour	la	chasse	aux	éléphants	</S>
n	0.921825	0.0216446	0.0103178	0.0101332	0.00651031	0.0108406	0.00558834	0.00891113	0.0037053	0.000523973
g	0.970063	0.0271867	0.000865087	0.000126521	0.000194779	0.000217924	2.34489e-05	0.000489991	0.000822661	9.55931e-06
á	0.882959	0.0979399	0.00789849	0.000863507	0.000593126	0.000766631	0.000411116	0.000795185	0.00772664	4.62378e-05
i	0.0642506	0.453021	0.204446	0.0515804	0.0228497	0.0178219	0.0083909	0.031004	0.0396055	0.10703
d	0.00556861	0.0977529	0.75703	0.0765608	0.0101682	0.00542461	0.0153123	0.00209896	0.00440114	0.0256825
í	0.0160591	0.34666	0.443961	0.0960931	0.0245538	0.0127446	0.0193172	0.0032047	0.00212776	0.0352784
l	0.0177123	0.0828635	0.315201	0.317309	0.11779	0.0512509	0.020235	0.03439	0.00347154	0.0397765
o	0.0118236	0.178938	0.293713	0.294933	0.115483	0.0281114	0.00626406	0.0172852	0.0020746	0.051374
t	0.0133345	0.0881894	0.225989	0.321563	0.140471	0.0407438	0.0106474	0.0071925	0.0855632	0.0663064
á	0.000495039	0.0119598	0.215791	0.406992	0.12137	0.0770243	0.0442786	0.00342795	0.069321	0.0493403
m	0.000278362	0.0116588	0.119284	0.474635	0.137776	0.0552705	0.0374428	0.0131875	0.0123211	0.138146
á	0.000162037	0.00244165	0.028242	0.285166	0.402409	0.169705	0.0632699	0.0140506	0.00548106	0.0290721
n	0.00122284	0.0160582	0.0264384	0.105913	0.316866	0.337195	0.0918408	0.069581	0.00674367	0.0281406
d	0.00678298	0.0146143	0.0102936	0.0134769	0.18985	0.370832	0.0417073	0.104049	0.10526	0.143134
z	0.0263892	0.0396293	0.0159402	0.0135373	0.124542	0.268383	0.0526708	0.0811216	0.212205	0.165582
ω	0.00022713	0.0060631	0.0340839	0.0172465	0.116539	0.217952	0.0734995	0.0519695	0.392275	0.0901444
i	0.00017644	0.00121738	0.013647	0.00616807	0.0313009	0.121582	0.0640821	0.0635716	0.590565	0.107689
</S>	1.06529e-05	0.000775666	0.00284193	0.00913715	0.0617739	0.141279	0.223447	0.248525	0.0627776	0.249432
