 	à	combien	est	vendu	ce	tas	de	poissons	</S>
i	0.262023	0.554662	0.0900852	0.0203249	0.0200013	0.0319983	0.0186124	0.00117702	0.00111582
k	0.0465386	0.249898	0.10308	0.389676	0.025433	0.133779	0.0154834	0.0306272	0.00548505
u	0.0157356	0.0893113	0.0249562	0.641703	0.0120007	0.195246	0.00603461	0.00712466	0.00788846
n	0.0019176	0.0194423	0.0197715	0.80922	0.0120926	0.117934	0.00359385	0.0027228	0.0133047
d	0.0517919	0.0442024	0.0630948	0.151576	0.154116	0.388356	0.065619	0.010168	0.0710749
u	0.34876	0.0964947	0.0155696	0.116197	0.0974756	0.170366	0.0851457	0.0153973	0.0545951
l	0.117973	0.10182	0.42476	0.161453	0.113411	0.0383182	0.0231742	0.00158401	0.0175069
á	0.316582	0.0673196	0.140838	0.0575357	0.0683749	0.0189071	0.0397671	0.0100966	0.280579
s	0.489982	0.110808	0.125565	0.0207874	0.118681	0.0194024	0.0765082	0.0239222	0.0143444
w	0.052949	0.0103262	0.100081	0.0524553	0.196161	0.057858	0.0878104	0.28435	0.158009
é	0.019289	0.00278392	0.0342019	0.045543	0.290073	0.042309	0.0830587	0.329467	0.153274
d	0.0125626	0.0252618	0.129072	0.0935921	0.280773	0.124765	0.112669	0.0890287	0.132276
í	0.0114803	0.00279602	0.0159315	0.0405642	0.238607	0.145307	0.158607	0.131925	0.254782
b	0.00818592	0.00570088	0.0721909	0.0194592	0.27294	0.112648	0.247508	0.156967	0.1044
á	0.019531	0.0172031	0.0278706	0.0339244	0.102992	0.378657	0.225595	0.129657	0.0645699
a	0.0180236	0.00895489	0.0413629	0.012612	0.161156	0.133311	0.334981	0.162504	0.127096
k	0.00131088	0.00141781	0.0166509	0.0349887	0.0444162	0.273146	0.098461	0.151217	0.378392
i	0.000270113	0.00044595	0.00282694	0.155992	0.0267572	0.67825	0.0243999	0.0289609	0.082097
r	0.000293778	0.000216287	0.00303048	0.12058	0.0530194	0.602683	0.0259978	0.0237695	0.17041
á	0.000921777	0.000448415	0.00188442	0.0638054	0.0962587	0.511305	0.0474508	0.0407226	0.237202
k	0.0074444	0.00369982	0.0125363	0.00649448	0.277568	0.104834	0.326826	0.0993117	0.161285
w	0.00172188	0.00697723	0.0043628	0.0117327	0.0370508	0.32587	0.176948	0.215162	0.220174
έ	0.00726753	0.00456421	0.0017568	0.0190502	0.0575353	0.461668	0.134389	0.164993	0.148776
ε	0.00284493	0.00438539	0.00262101	0.00484391	0.0523616	0.17532	0.174541	0.10996	0.473121
</S>	0.00272064	0.00141453	0.0103573	0.00666746	0.104535	0.0782386	0.237278	0.0694406	0.489347
