 	la	danse	unit	les	gens	dans	le	village	</S>
i	0.813934	0.176171	0.000471192	0.00454508	0.00143307	0.000578174	0.00150792	0.00132465	3.45222e-05
s	0.486434	0.326664	0.162592	0.00913466	0.000503242	0.00594154	0.00458949	0.00108528	0.0030552
é	0.338206	0.337329	0.29427	0.0143383	0.00114185	0.00539532	0.00145351	5.93381e-05	0.00780721
a	0.308478	0.282949	0.137608	0.0211503	0.00188872	0.0150711	0.0044861	0.000266406	0.228102
l	0.301076	0.316823	0.074524	0.0956212	0.0235951	0.0232598	0.0339196	0.0019944	0.129187
í	0.166075	0.1228	0.0868757	0.0596575	0.00417747	0.0506837	0.0431822	0.000125719	0.466423
i	0.23078	0.199935	0.121947	0.17096	0.0827715	0.0185096	0.0465836	0.00262918	0.125883
p	0.00630922	0.0246734	0.94326	0.00842525	0.00116254	0.00369967	0.0017139	0.000895745	0.00986076
f	0.00213856	0.0047788	0.956773	0.0171003	0.00306703	0.00434927	0.000539333	0.00100311	0.0102502
u	0.00123179	0.0011582	0.982668	0.00590577	0.00066522	0.00272109	0.000331871	0.000126517	0.00519149
n	0.0423633	0.0728976	0.483304	0.208109	0.133874	0.017746	0.00825865	0.00564096	0.0278063
g	0.123608	0.0670111	0.370212	0.317706	0.0538357	0.0246829	0.0132459	0.000157906	0.0295405
ú	0.0625547	0.0548398	0.505068	0.241501	0.0909273	0.0195408	0.0089912	0.000689949	0.015887
s	0.00777306	0.00568314	0.036455	0.621809	0.130269	0.0827284	0.0978734	0.00139118	0.0160172
á	0.0331566	0.00552073	0.220943	0.311624	0.0523391	0.263687	0.0759153	0.00143633	0.0353778
b	0.0179172	0.00592762	0.0149021	0.288689	0.343011	0.225876	0.0700689	0.0250049	0.00860297
a	0.00440377	0.0167863	0.00145834	0.0859797	0.811338	0.0642872	0.0108003	0.00165697	0.00328981
r	0.000480283	0.002474	0.000135644	0.0365447	0.920201	0.0301169	0.00665195	0.000231235	0.00316433
e	0.00548353	0.03175	0.010225	0.139484	0.501694	0.169375	0.064195	0.000143786	0.0776492
s	0.00527878	0.00159822	0.0118611	0.11836	0.090319	0.452872	0.290044	0.0021523	0.0275155
á	0.0587257	0.0179907	0.0265409	0.106947	0.0189636	0.436696	0.183785	0.00892081	0.14143
p	0.0180525	0.00805211	0.0095589	0.0558259	0.0347002	0.223734	0.264975	0.33571	0.0493906
o	0.00027587	0.000393809	0.00319503	0.00492057	0.00896055	0.0458591	0.00970477	0.915612	0.0110787
o	0.000178818	7.03132e-05	0.00432571	0.000943354	0.00214681	0.00545234	0.00122576	0.981272	0.00438508
</S>	0.00218883	0.00082018	0.00116619	0.0187509	0.00833492	0.0846358	0.229416	0.0252463	0.629441
