 	il	est	venu	à	midi	</S>
w	0.805783	0.182156	0.00671949	0.00402331	0.00117435	0.000143527
a	0.836779	0.120277	0.00849269	0.0278661	0.00638703	0.000198221
á	0.209054	0.520827	0.194709	0.0600823	0.00500256	0.010325
y	0.0264124	0.442996	0.401869	0.0914314	0.0156981	0.0215931
ε	0.0123427	0.142323	0.50309	0.0449626	0.0315023	0.265779
ε	0.0306285	0.169842	0.531044	0.137257	0.0319509	0.0992782
l	0.0134672	0.0645255	0.353622	0.375166	0.103982	0.0892368
a	0.0842601	0.0891181	0.41756	0.238419	0.0584556	0.112188
m	0.104733	0.122712	0.141196	0.30456	0.199088	0.127711
i	0.0207147	0.0238658	0.00308461	0.0634196	0.582399	0.306516
d	0.003777	0.0262335	0.0105421	0.192314	0.448247	0.318887
í	0.000120847	0.000819886	0.00352944	0.0261003	0.58465	0.384779
</S>	0.00138528	0.00521315	0.054323	0.151632	0.20849	0.578957
