 	il	a	tiré	trois	singes	à	l'	arc	</S>
w	0.774342	0.21775	0.000992155	0.00239481	0.00274381	0.00134004	0.000417786	1.36762e-05	5.5088e-06
a	0.798501	0.179038	0.00132339	0.0102162	0.00429	0.00369693	0.00253246	0.000393583	8.04978e-06
á	0.451479	0.511586	0.00628022	0.0182997	0.00535506	0.00422537	0.00206723	0.000101936	0.000604652
t	0.0711174	0.61504	0.13781	0.0617451	0.0308085	0.0313671	0.0119505	0.00195972	0.0382016
έ	0.018683	0.375066	0.355383	0.0647173	0.0451031	0.0270263	0.00686926	0.00570897	0.101443
ε	0.112723	0.363761	0.286002	0.117756	0.0569619	0.0200619	0.00729898	0.0024616	0.0329743
a	0.084326	0.251804	0.282473	0.254478	0.0478872	0.0111157	0.00727313	0.00945428	0.0511885
k	0.00836938	0.0708044	0.384988	0.37156	0.140267	0.0128663	0.0046401	0.00207274	0.00443186
y	0.000424441	0.00279181	0.976628	0.00874922	0.00174065	0.000603054	0.000214036	0.00707069	0.00177826
é	0.00344218	0.00938501	0.966972	0.00947974	0.00528004	0.00122669	0.000339164	0.00150132	0.00237371
m	0.0207688	0.0745064	0.557498	0.109683	0.0419071	0.0194507	0.00717347	0.0369596	0.132053
a	0.0186734	0.0481175	0.627309	0.172485	0.0427755	0.0476347	0.0193042	0.00529192	0.0184086
á	0.0148112	0.0264472	0.0656739	0.4719	0.255766	0.0558301	0.0275551	0.0209211	0.061095
s	0.000769622	0.00330405	0.0469903	0.305358	0.460702	0.102384	0.0357816	0.0118602	0.0328499
á	0.000198911	0.000337057	0.00448194	0.180148	0.615326	0.0700945	0.0347614	0.0030151	0.0916374
r	0.00042682	0.000387623	0.00309485	0.137432	0.463936	0.215144	0.128967	0.0044314	0.0461803
e	0.00059811	0.000571549	0.000961428	0.049828	0.771895	0.106387	0.0634971	0.00154547	0.00471665
m	0.000868934	0.00133015	0.0052669	0.127401	0.334445	0.273251	0.158285	0.00658615	0.0925644
ó	0.00363179	0.00123672	0.00306966	0.0861495	0.0273029	0.229523	0.285666	0.0204218	0.342999
e	0.0209651	0.00427155	0.00972344	0.032965	0.0980106	0.232819	0.383877	0.199531	0.0178374
b	0.000362684	0.00120301	0.0154994	0.024803	0.0220516	0.0730093	0.0872819	0.712885	0.062904
h	0.00016954	0.000622495	0.00279423	0.0160221	0.0030185	0.0119569	0.0151301	0.945809	0.00447735
e	1.54624e-05	5.65429e-05	0.000922507	0.00776221	0.00237544	0.00428838	0.00587783	0.967087	0.0116149
r	7.61446e-05	8.14195e-05	0.000599718	0.0117634	0.0234672	0.0711212	0.081452	0.54226	0.269179
á	0.000714642	0.000627934	0.00548384	0.0124868	0.0206571	0.0929817	0.111373	0.352753	0.402922
</S>	0.00847927	0.00526453	0.00682743	0.0242626	0.055279	0.109398	0.137646	0.0925113	0.560332
