 	va	faire	tes	sottises	ailleurs	</S>
d	0.952956	0.029597	0.0124417	0.00297367	0.00150902	0.000522828
z	0.950761	0.0136208	0.0163693	0.00239562	0.0023353	0.0145182
w	0.976933	0.0140989	0.00422131	0.00143257	0.000575293	0.0027391
a	0.923035	0.0331486	0.0130235	0.000906037	0.000895234	0.0289918
á	0.0441914	0.0328696	0.0114688	0.00590091	0.0136102	0.891959
ω	0.128135	0.47453	0.241997	0.0553473	0.0183117	0.0816794
k	0.0204463	0.680876	0.0786117	0.186758	0.0225336	0.0107742
y	0.013478	0.23052	0.0212723	0.663692	0.053425	0.0176127
a	0.118408	0.137461	0.109502	0.559073	0.0525699	0.0229867
o	0.0360106	0.250164	0.217432	0.341268	0.0577008	0.0974248
d	0.002339	0.0975576	0.344493	0.393711	0.0675294	0.0943703
í	0.00151746	0.0363119	0.0667549	0.477448	0.0879028	0.330065
b	0.00113219	0.0345916	0.2583	0.226872	0.170224	0.30888
h	0.0020173	0.0580981	0.245962	0.455245	0.141169	0.0975089
i	0.00111649	0.0272556	0.188012	0.533613	0.11457	0.135433
l	0.000892918	0.00866016	0.0524753	0.548101	0.31908	0.0707904
i	0.00235503	0.0193819	0.231579	0.536977	0.0991689	0.110538
m	0.00113767	0.0238013	0.213211	0.165978	0.191425	0.404447
á	0.026541	0.0169274	0.26665	0.0538665	0.0756696	0.560345
n	0.00513742	0.0185113	0.176681	0.072729	0.592447	0.134494
ω	0.00361012	0.0200187	0.61945	0.0101951	0.074462	0.272264
p	0.000401084	0.00752201	0.0856854	0.0171426	0.0442573	0.844992
a	0.00491824	0.0423668	0.0856791	0.124254	0.491472	0.25131
n	0.000170026	0.00688248	0.0156847	0.0741408	0.308048	0.595074
g	0.00769734	0.0454022	0.162476	0.0441459	0.191107	0.549171
e	0.00127235	0.00549083	0.202354	0.00991322	0.0417373	0.739233
t	0.000910788	0.00972165	0.0954623	0.0156343	0.06748	0.810791
s	0.00341556	0.0241173	0.069895	0.110226	0.383314	0.409032
ú	0.000906442	0.00258427	0.0124894	0.0557205	0.492974	0.435325
s	0.000831831	0.00183093	0.029782	0.0312679	0.373762	0.562525
u	0.00180883	0.0069347	0.0665036	0.0261628	0.332696	0.565894
</S>	0.000338097	0.00495798	0.0322102	0.00801233	0.0435977	0.910884
