 	est-ce	vraiment	toi	qui	renonce	mon	manioc	</S>
o	0.426551	0.484225	0.0383298	0.0249747	0.0100606	0.00746318	0.00646974	0.00192613
k	0.000735984	0.00117257	0.00247683	0.00910683	0.97169	0.00315853	0.00714136	0.00451747
i	0.000338095	0.000295526	8.76953e-05	0.0054649	0.943102	0.00259859	0.0358894	0.0122242
i	0.00455218	0.0067654	0.00566735	0.191286	0.569519	0.11139	0.0784338	0.0323867
i	0.129025	0.0547678	0.178544	0.361774	0.0774056	0.131599	0.0235312	0.0433526
k	0.054485	0.053676	0.18362	0.200484	0.071294	0.172828	0.073359	0.190253
ώ	0.000774276	0.00111202	0.00435558	0.0287868	0.528878	0.0525004	0.298416	0.0851765
ώ	0.00195174	0.00519721	0.0261816	0.0320233	0.20484	0.094865	0.517223	0.117718
á	0.00438278	0.0025432	0.0354171	0.127464	0.0838286	0.614873	0.0953124	0.0361795
n	0.0014164	0.000818595	0.0122966	0.137768	0.103578	0.463133	0.0992988	0.181692
g	0.00598042	0.0101825	0.178344	0.0314016	0.00215146	0.59523	0.00615023	0.17056
á	0.00139633	0.011506	0.116301	0.0293473	0.0105303	0.732934	0.0145478	0.0834373
n	0.00499867	0.00259328	0.0105896	0.0334848	0.0126145	0.66422	0.0918949	0.179604
ω	0.00268261	0.00316704	0.0359047	0.0404316	0.0418342	0.31765	0.0874469	0.470883
m	0.00256403	0.00863465	0.0267857	0.0144033	0.007082	0.18553	0.0642304	0.69077
b	0.0333533	0.00222547	0.00221833	0.0241896	0.0105654	0.140399	0.130834	0.656215
v	0.0111809	0.00245836	0.00210906	0.0176865	0.00922766	0.0854275	0.471046	0.400864
a	0.0011702	0.000379656	0.00099689	0.00663864	0.0189495	0.0728235	0.235615	0.663426
m	0.00201115	0.000592853	0.00632368	0.017373	0.00228817	0.242173	0.0747391	0.654499
b	0.0374564	0.00308799	0.00143357	0.0114036	0.000988902	0.167806	0.132615	0.645209
v	0.00357718	0.00109606	0.00139537	0.00959236	0.00145948	0.0708788	0.0569194	0.855081
a	0.00235291	0.000693135	0.00149265	0.00668413	0.00537665	0.049038	0.0348007	0.899562
</S>	0.000721911	0.000571847	0.00324824	0.00470981	0.00218752	0.058564	0.0685977	0.861399
