 	on	construit	la	cage	des	oiseaux	avec	la	partie	intérieure	du	bambou	</S>
b	0.807873	0.0650508	0.0372095	0.0340471	0.026606	0.0223652	0.00261548	0.00162124	0.000102446	0.000184303	0.00225477	3.09292e-05	3.95407e-05
á	0.589807	0.123663	0.122034	0.01218	0.0832705	0.0494565	0.0055752	0.00309197	0.00116336	0.00191919	0.00590725	0.00148745	0.000445293
a	0.648642	0.203463	0.044147	0.00591705	0.0334612	0.00656635	0.0135049	0.00334379	0.00416891	0.00500488	0.00129391	0.0223855	0.00810167
t	0.306232	0.425198	0.195373	0.0272605	0.0156241	0.000799448	0.00307464	0.00357361	0.00115198	0.000521372	0.000619821	0.000417252	0.0201549
ó	0.0270673	0.440618	0.33423	0.0493192	0.0248493	0.0279457	0.0456009	0.0119226	0.00857463	0.00322214	0.00162158	0.0105681	0.0144608
n	0.0395414	0.403051	0.364687	0.0728014	0.0139424	0.0172537	0.0133429	0.00935482	0.0171235	0.00317913	0.00088986	0.0020991	0.0427342
g	0.146871	0.274581	0.272925	0.120943	0.0343978	0.0187318	0.0314755	0.0135554	0.0135275	0.00550223	0.00242478	0.00723562	0.0578292
á	0.108709	0.243782	0.320812	0.195675	0.0288021	0.0499035	0.0158848	0.00384952	0.00207161	0.00125655	0.00384256	0.00414476	0.0212662
n	0.0153196	0.0235954	0.18636	0.216427	0.419892	0.0474414	0.0392751	0.0297372	0.00334414	0.00367022	0.00799622	0.00145387	0.005489
d	0.00121193	0.0265423	0.0227393	0.869615	0.0219668	0.0485867	0.00242821	0.00100813	0.000559073	0.00036337	0.00122016	0.000166656	0.00359231
é	0.000145073	0.00809673	0.0139978	0.669074	0.0188252	0.27047	0.00520283	0.00280559	0.00465635	0.00111192	0.000730494	0.00024344	0.00463995
e	0.000737847	0.0268449	0.0319901	0.244982	0.034142	0.565597	0.0321845	0.0200338	0.0258192	0.00445719	0.00591514	0.000846926	0.00644935
y	0.00276483	0.00793743	0.0605395	0.048129	0.411693	0.141525	0.202927	0.0861034	0.0166252	0.00522287	0.00913532	0.00170252	0.0056942
á	0.00757596	0.0136612	0.0539733	0.0276527	0.360588	0.0978774	0.288116	0.0963081	0.0270664	0.00751026	0.0106767	0.00203283	0.0069615
n	0.00743761	0.0130472	0.0454018	0.0152461	0.310855	0.237399	0.190999	0.111152	0.0309649	0.0187157	0.0129932	0.00269179	0.00309783
y	0.000902767	0.0204544	0.0165797	0.202596	0.0422559	0.52915	0.0557285	0.0582008	0.0364276	0.0143156	0.014483	0.00127872	0.00762708
ω	0.00165688	0.0273595	0.00887793	0.0857205	0.0178164	0.693054	0.0266107	0.0307862	0.0574593	0.0177988	0.00502314	0.00208148	0.0257556
s	0.000377942	0.0109017	0.009115	0.0163519	0.00442134	0.863842	0.0102018	0.0360648	0.0252583	0.00935135	0.00796169	0.000908189	0.005244
í	0.000614462	0.00184412	0.00923817	0.00376752	0.0297004	0.0481594	0.286959	0.246219	0.233698	0.0430631	0.0140186	0.00258826	0.0801297
m	0.00104473	0.00150093	0.0117722	0.00378251	0.0786148	0.00655663	0.235242	0.319693	0.157479	0.0705616	0.0942414	0.0065906	0.0129211
ó	0.00101816	0.000808634	0.00353653	0.000135729	0.0458402	0.00513711	0.116336	0.144639	0.170673	0.135385	0.216546	0.0239171	0.136028
m	0.001117	0.00100147	0.00745699	0.000796771	0.0429249	0.0110897	0.051972	0.10204	0.163416	0.264487	0.181469	0.152466	0.019764
y	0.000205941	0.000196317	0.00075521	3.36336e-05	0.00783603	0.00283548	0.0226392	0.0280436	0.203513	0.466394	0.177306	0.0621629	0.0280784
ε	9.11808e-06	2.67764e-05	9.02724e-05	3.13737e-05	0.000868922	0.00848171	0.00909569	0.00652195	0.166935	0.735893	0.0336268	0.0309863	0.00743351
n	7.29844e-05	0.000287414	0.000643745	3.38891e-05	0.00284554	0.00561755	0.0176756	0.0305454	0.174922	0.689466	0.0309064	0.0231465	0.0238373
g	0.000484366	0.000871687	0.00203107	0.0014032	0.0172609	0.00962654	0.0728737	0.155571	0.250857	0.352329	0.0719913	0.00874794	0.0559526
ε	0.000875279	0.00098544	0.00295868	0.00386275	0.0211311	0.0246178	0.211784	0.10225	0.268075	0.0737744	0.0980059	0.0516883	0.139991
</S>	0.000230694	0.00027356	0.0014867	0.00041216	0.0100021	0.000794977	0.0370432	0.0752554	0.127299	0.0777386	0.314115	0.0235582	0.33179
