 	il	y	a	longtemps	que	je	ne	suis	plus	parti	au	marché	</S>
n	0.272863	0.3864	0.217763	0.0286398	0.0155627	0.00719768	0.0140843	0.00790748	0.0417903	0.000134043	0.007086	0.000311313	0.000260442
g	0.211366	0.0724831	0.0409059	0.00838918	0.0354554	0.576464	0.0111098	0.015823	0.0201908	0.000385286	0.00255222	0.00477611	9.91655e-05
á	0.0503648	0.13691	0.0359888	0.0232868	0.0205512	0.637193	0.015214	0.024799	0.0378642	0.00361341	0.00519983	0.00871154	0.00030356
í	0.115011	0.375894	0.204233	0.0448839	0.0491935	0.0345473	0.0174287	0.0265211	0.0475872	0.00210625	0.0235914	0.0131825	0.0458199
m	0.0797936	0.166861	0.186411	0.142255	0.0526982	0.0215336	0.0496665	0.0488255	0.04021	0.119322	0.037506	0.0115404	0.0433766
i	0.0251382	0.0848608	0.242755	0.185156	0.200111	0.00316651	0.08244	0.0553968	0.0163115	0.0255939	0.0233006	0.00322117	0.0525478
k	0.0195942	0.0380584	0.0934068	0.114622	0.228196	0.00596332	0.0607166	0.0839599	0.0220608	0.255123	0.0172253	0.0112935	0.0497796
á	0.0063522	0.0247653	0.0525736	0.147318	0.173552	0.00155916	0.109976	0.146562	0.0259475	0.20848	0.0119886	0.0308759	0.0600501
n	0.0026615	0.015652	0.0417486	0.263058	0.216437	0.0348383	0.159762	0.0861627	0.0569085	0.0344658	0.0232272	0.0322058	0.0328724
á	0.0324697	0.0327699	0.0469988	0.152611	0.461067	0.0628529	0.0716812	0.057552	0.0374256	0.00298746	0.00892495	0.0114493	0.0212104
á	0.00858165	0.00549808	0.0410116	0.19487	0.191283	0.263906	0.126937	0.0423759	0.0679379	0.00978858	0.0157898	0.00772807	0.0242936
l	0.0026136	0.00543385	0.0256709	0.106706	0.141385	0.202879	0.17812	0.174259	0.116864	0.01273	0.0209744	0.00602848	0.00633668
i	0.000709244	0.00142394	0.0112853	0.0514965	0.167719	0.0813166	0.153055	0.287201	0.0871661	0.0665558	0.0205692	0.0327347	0.0387678
d	0.00237812	0.00436894	0.0297831	0.047032	0.176656	0.0832642	0.172808	0.181867	0.129402	0.10288	0.0131129	0.02296	0.0334884
z	0.00035365	0.00032346	0.00307866	0.00632807	0.017976	0.0107291	0.0429878	0.158027	0.0124005	0.59039	0.00816577	0.132238	0.0170025
w	0.000626267	0.000414309	0.00526807	0.00358644	0.0261902	0.0105044	0.0219587	0.0534274	0.0114469	0.797285	0.0033421	0.058074	0.00787649
a	0.00390483	0.00304496	0.0172183	0.0249473	0.0778383	0.0182338	0.0495713	0.148618	0.0346243	0.321221	0.0410831	0.167145	0.0925504
l	0.00269596	0.00506408	0.0180488	0.0160523	0.0737225	0.0521379	0.124261	0.120853	0.212966	0.0201963	0.261303	0.0264029	0.0662965
á	0.00202007	0.00274065	0.00850003	0.0262507	0.0407418	0.0612075	0.0758802	0.0718187	0.064942	0.0738524	0.0807051	0.110479	0.380861
d	0.00507884	0.00506449	0.0147676	0.0398156	0.0563821	0.179506	0.0976357	0.0976835	0.158305	0.02473	0.12253	0.151086	0.0474143
z	0.000759242	0.000617942	0.00399096	0.00187792	0.00371082	0.0220808	0.00988593	0.0217089	0.00967645	0.251877	0.0284254	0.60633	0.0390587
á	0.00105928	0.000424941	0.00277507	0.00102196	0.00553667	0.0110878	0.0143478	0.0243277	0.0188355	0.267253	0.020186	0.600807	0.0323377
n	0.00025859	0.000605348	0.00290778	0.00258719	0.00936383	0.00558488	0.0711756	0.0632931	0.0806396	0.117104	0.17838	0.317929	0.150172
d	0.000331464	0.000751529	0.00158134	0.00207432	0.006102	0.019825	0.0120893	0.0287157	0.0285725	0.0174909	0.0814599	0.616666	0.18434
e	0.00013627	0.000190751	0.000740753	0.00066683	0.00290324	0.0881876	0.00361905	0.00682697	0.00676734	0.0193411	0.0280213	0.545742	0.296857
</S>	6.69811e-05	0.000452547	0.00119811	0.00216721	0.00723524	0.00879043	0.0224414	0.0575322	0.040357	0.0197498	0.157302	0.267833	0.414874
