 	le	pigeon	vert	se	nourrit	de	fruits	de	l'	arbre	isenge	</S>
e	0.958902	0.0229245	0.00636695	0.00386246	0.00151809	0.0031651	0.00124722	0.000584696	0.000525566	0.000658745	0.000234815	1.02647e-05
m	0.178234	0.782911	0.0267015	0.00234496	0.00523261	0.000674415	0.000530434	0.000426639	0.000478021	0.000829323	0.000170254	0.00146694
b	0.10699	0.788402	0.0419048	0.0155457	0.0133007	0.00355211	0.00334639	0.00262397	0.00169563	0.00156374	0.000503502	0.0205715
e	0.0422123	0.907842	0.0179416	0.00485412	0.00220064	0.00200013	0.00208313	0.00143322	0.00162664	0.000785878	0.00142331	0.0155969
n	0.316104	0.507135	0.125667	0.0180325	0.00181301	0.00455972	0.0071205	0.00400871	0.0032782	0.00268197	0.00126943	0.0083298
g	0.0982935	0.658274	0.146626	0.0103348	0.00280147	0.00318133	0.00468412	0.00351358	0.00265242	0.00246629	0.00102396	0.0661482
á	0.407842	0.450243	0.114398	0.00847467	0.000773913	0.00231513	0.00193951	0.00211812	0.00174218	0.000827244	0.00135438	0.00797212
y	0.060188	0.019116	0.66645	0.192377	0.024461	0.00740863	0.0028329	0.00612086	0.00547707	0.006375	0.00120563	0.00798794
é	0.259129	0.0991832	0.321641	0.129799	0.0807793	0.0195627	0.0066257	0.0114464	0.0102149	0.00663309	0.00557626	0.0494086
e	0.134461	0.0244814	0.223767	0.242666	0.174419	0.0423293	0.0193974	0.0192885	0.01375	0.0101619	0.0115101	0.0837683
d	0.0137962	0.0283912	0.183356	0.203715	0.516443	0.012338	0.00772648	0.00388126	0.00461176	0.00830455	0.000618564	0.016818
z	0.00163189	0.00278618	0.0258482	0.060037	0.832688	0.0289641	0.0092485	0.00563838	0.00499229	0.00621429	0.000712248	0.0212391
á	0.0104312	0.0217834	0.0181468	0.0515362	0.848761	0.0232391	0.00758555	0.00416327	0.00228818	0.0018467	0.000163588	0.0100552
á	0.000819087	0.000536665	0.0300807	0.123971	0.436604	0.142763	0.0523832	0.0571376	0.0294783	0.045702	0.0188311	0.0616938
m	0.00586435	0.00207352	0.00975935	0.111167	0.227804	0.293285	0.105921	0.0912783	0.0634099	0.0377067	0.0282003	0.023531
í	0.00192682	0.00350097	0.00159735	0.0470318	0.199848	0.145858	0.177548	0.10429	0.116099	0.0829447	0.00838309	0.110971
b	0.00443353	0.00146589	0.00491959	0.0239862	0.0507742	0.173827	0.255729	0.110683	0.112544	0.070765	0.131038	0.0598353
v	0.00200424	0.000559962	0.00726942	0.0227023	0.016291	0.143457	0.343488	0.116819	0.137603	0.12245	0.0668561	0.0205013
u	0.000509371	0.000455819	0.0015848	0.0172396	0.0123925	0.0719918	0.271196	0.118376	0.204219	0.140048	0.14397	0.0180172
m	0.00092236	0.000375354	0.00443677	0.0232257	0.0906268	0.239982	0.224814	0.132512	0.100598	0.116345	0.0286377	0.0375239
á	0.00198345	0.000118975	0.000862413	0.016076	0.015142	0.226722	0.191052	0.172419	0.140397	0.0867462	0.0495122	0.09897
b	0.00244673	0.0004352	0.0026262	0.00919051	0.0201318	0.0567935	0.0864667	0.158317	0.239096	0.22364	0.126847	0.0740095
í	0.00211479	8.62004e-05	0.00384957	0.012943	0.00337647	0.0321221	0.0910375	0.0842258	0.155282	0.268026	0.298441	0.0484956
s	0.000453594	1.7861e-05	0.00068477	0.00299537	0.00157991	0.0145948	0.0480431	0.0437365	0.0728513	0.110323	0.573528	0.131192
έ	0.000295909	0.000351252	0.000403294	0.00199232	0.00684666	0.0348685	0.0704429	0.112972	0.243185	0.139666	0.28189	0.107086
n	0.000122265	3.4759e-05	0.000931244	0.00184769	0.00593955	0.0123902	0.0193731	0.0603641	0.15572	0.214428	0.0911891	0.43766
g	0.000464032	0.000247474	0.000862154	0.00179748	0.00182149	0.0158416	0.0260232	0.0644873	0.248061	0.153519	0.325059	0.161816
ε	0.000816779	0.000763813	0.000589307	0.00117841	0.00128855	0.0241413	0.0489504	0.0861912	0.207213	0.107091	0.285357	0.23642
</S>	0.000140312	0.000130664	0.000840183	0.00280748	0.00172373	0.0272605	0.0237865	0.0780523	0.175604	0.124708	0.141627	0.423319
