 	sa	manière	de	vieillir	est	bonne	</S>
e	0.11571	0.0455865	0.720034	0.111763	0.00397208	0.00261092	0.000323383
d	0.00141796	0.000234676	0.005963	0.971199	0.0111284	0.00755543	0.00250137
u	0.0297861	0.040995	0.0296475	0.758083	0.0493799	0.00243902	0.0896691
n	0.0236927	0.00986424	0.419792	0.356889	0.130053	0.0184069	0.0413026
ú	0.681472	0.00615892	0.0747107	0.152103	0.0399408	0.0195091	0.0261047
l	0.133629	0.193932	0.115822	0.164092	0.18547	0.0682739	0.13878
ú	0.250784	0.0247	0.0751164	0.0863495	0.168458	0.0326683	0.361923
y	0.218779	0.0622321	0.202594	0.171873	0.161044	0.0267128	0.156766
a	0.0598804	0.0513802	0.141135	0.427884	0.26643	0.00973181	0.0435578
w	0.0474234	0.0296865	0.39305	0.25595	0.174934	0.0195109	0.0794443
a	0.028417	0.00744324	0.406798	0.365969	0.14901	0.0150014	0.027361
é	0.0070653	0.0129935	0.437936	0.106625	0.2528	0.0413747	0.141206
d	0.00400068	0.00416645	0.0672914	0.0210117	0.603446	0.23912	0.060964
i	0.00424742	0.00166929	0.0598162	0.0153483	0.391295	0.0504686	0.477155
e	0.0126963	0.000540257	0.0556805	0.0275787	0.187204	0.438038	0.278262
b	0.00445995	0.00119842	0.0209145	0.0276104	0.0922395	0.559243	0.294335
v	0.000503181	0.000434141	0.0079395	0.00613509	0.095761	0.849023	0.0402039
έ	0.000141925	5.97608e-05	0.0013123	0.00213178	0.0223647	0.957472	0.0165176
</S>	0.0013881	0.000367367	0.00411309	0.00533937	0.0369527	0.169654	0.782185
