 	je	lui	ai	appris	à	lire	et	à	écrire	en	mbochi	</S>
n	0.889904	0.0878476	0.00970259	0.0052491	0.00384774	0.00032791	0.000958611	0.000958389	0.000616235	0.000441896	0.000133839	1.20958e-05
g	0.986558	0.00886735	0.00214074	0.000845407	0.000748862	5.89303e-05	0.000347819	0.000246689	3.84761e-05	7.17999e-05	7.36436e-05	1.77106e-06
á	0.958105	0.0255478	0.00787181	0.00414408	0.00161384	0.000518307	0.00043913	0.000700163	0.00011572	5.3629e-05	0.000878458	1.17015e-05
í	0.0751611	0.22382	0.31439	0.136317	0.0656426	0.00854027	0.0179632	0.0285179	0.0044415	0.0193496	0.0143807	0.0914762
b	0.0487109	0.0808898	0.394765	0.305076	0.101748	0.0164925	0.0160865	0.0144118	0.00445444	0.00694256	0.00417164	0.00624982
h	0.00113205	0.0366456	0.319057	0.360247	0.159053	0.0253656	0.0154526	0.0252085	0.026383	0.00793283	0.00521656	0.0183064
e	0.00221625	0.0138857	0.164731	0.49325	0.268712	0.0113762	0.012335	0.0118888	0.0175083	0.00148232	0.000973083	0.001641
r	0.0127968	0.0227971	0.0838106	0.1356	0.406192	0.060895	0.0948749	0.0587838	0.0697998	0.0127531	0.003585	0.0381116
i	0.00141648	0.0435259	0.0886947	0.216223	0.445087	0.063244	0.0500611	0.0355523	0.0125613	0.0227038	0.00346704	0.0174635
s	0.0127653	0.169661	0.134426	0.174319	0.207745	0.101065	0.0912301	0.0359914	0.0079714	0.0299815	0.0164772	0.0183669
i	0.0002124	0.00126319	0.00473405	0.0227096	0.220122	0.64733	0.0204548	0.006857	0.0681904	0.00163348	0.000415876	0.00607712
w	0.00474633	0.0917935	0.106052	0.13917	0.23193	0.128255	0.191028	0.050237	0.0124774	0.0182318	0.00890728	0.0171715
á	0.00105478	0.00990186	0.0553774	0.124236	0.191187	0.315923	0.146164	0.111403	0.0225986	0.0115931	0.00264918	0.0079114
i	0.00732155	0.046576	0.0459826	0.107268	0.113244	0.179953	0.239903	0.124605	0.0236595	0.0332115	0.00745233	0.0708239
k	0.000175598	0.00167245	0.00289174	0.00837673	0.0407748	0.16147	0.189529	0.204352	0.330394	0.0178099	0.00490025	0.0376537
y	2.63538e-06	1.54265e-05	0.000110321	0.000436302	0.00844503	0.134995	0.0375916	0.035731	0.778408	0.000799989	0.000157027	0.00330741
έ	8.7932e-07	7.16556e-06	4.99474e-05	0.000343799	0.00532298	0.0598783	0.0147989	0.011666	0.901269	0.000674366	0.000223251	0.00576521
m	7.36255e-06	0.000176827	0.000891265	0.0027882	0.0614818	0.0814006	0.153635	0.107116	0.4593	0.0178512	0.00146386	0.113888
b	0.000155747	0.000167677	0.000184438	0.000741394	0.00442894	0.0188402	0.113576	0.183275	0.405149	0.161685	0.00921278	0.102584
ε	0.00016835	0.000164974	0.000435344	0.000709815	0.0162841	0.0154593	0.0950795	0.112219	0.582984	0.0720327	0.0107217	0.0937419
l	8.06622e-05	0.00123449	0.00081632	0.000794985	0.00769095	0.00674182	0.233196	0.288902	0.168764	0.25014	0.00451539	0.0371228
a	0.000691063	0.0012778	0.00571849	0.00925028	0.0230587	0.0327271	0.12735	0.16084	0.204854	0.162387	0.0267577	0.245089
á	0.00127319	0.0136524	0.00780769	0.00603078	0.00923421	0.00509206	0.0482786	0.085083	0.0459512	0.615946	0.116008	0.0456428
i	0.00204546	0.00637476	0.0234516	0.0241259	0.0418991	0.00768252	0.0478159	0.114063	0.100508	0.447407	0.104566	0.080061
t	9.31462e-06	0.00059727	0.00806653	0.00731284	0.0278209	0.00297273	0.0459548	0.120949	0.118394	0.281635	0.276758	0.10953
á	3.03672e-05	0.00041268	0.00409424	0.00836066	0.0090968	0.0169995	0.0192789	0.0479159	0.628062	0.0540413	0.0755045	0.136203
n	9.60294e-05	0.00109117	0.00237776	0.0076744	0.00490465	0.0171572	0.0217359	0.0287837	0.643242	0.046135	0.0356389	0.191163
g	6.9571e-05	0.000118663	0.000423504	0.00147925	0.00504758	0.054462	0.0652009	0.0686087	0.415993	0.0613741	0.0119969	0.315226
a	0.0136185	0.00762653	0.00281605	0.00168045	0.00652148	0.0447605	0.0388455	0.036703	0.290112	0.122854	0.248128	0.186334
m	0.000143339	0.00144476	0.00128793	0.00155956	0.00374973	0.00271347	0.0170029	0.0365269	0.0165354	0.461619	0.0888574	0.36856
é	0.000109391	0.00118745	0.000636838	0.000478284	0.000599941	2.5886e-05	0.00442705	0.0266947	0.00292087	0.582546	0.308519	0.0718547
m	2.66397e-05	0.000707013	0.000790547	0.000864426	0.0026206	0.000496472	0.0164677	0.0481026	0.00784675	0.483657	0.285917	0.152503
b	9.63033e-06	0.000378794	0.000331722	0.000176701	0.000521256	3.26125e-05	0.00183455	0.00852614	0.00146245	0.126892	0.828122	0.0317125
ω	1.64146e-06	2.85001e-05	4.13625e-05	1.59685e-05	8.75299e-05	3.03387e-05	0.000351549	0.00131057	0.00833639	0.00837044	0.965851	0.0155744
s	1.25195e-07	2.7359e-05	1.82498e-05	8.07556e-06	7.75618e-05	7.52155e-05	0.000445599	0.00192934	0.0169737	0.00349094	0.961976	0.0149778
í	2.0882e-05	7.4309e-05	3.79254e-05	4.4005e-05	0.000408706	0.000705206	0.00562742	0.0216377	0.0776173	0.137115	0.344218	0.412494
</S>	7.75755e-05	0.000689777	0.000484715	0.000495038	0.00194246	0.000959694	0.0103172	0.0162535	0.00650318	0.273929	0.0568682	0.63148
