 	le	bélier	entraîne	le	troupeau	vers	la	rivière	</S>
o	0.946737	0.0139489	0.0154093	0.0135263	0.00537678	0.00245192	0.00239296	0.000121323	3.51157e-05
l	0.208086	0.775808	0.00543352	0.00223501	0.00106636	0.00191905	0.00111707	0.00252212	0.00181344
ó	0.106576	0.826457	0.0251458	0.0164549	0.0056327	0.00974097	0.0020166	0.00234843	0.00562686
m	0.0608865	0.88443	0.0321921	0.00692285	0.0040592	0.0031883	0.00082112	0.00140512	0.00609521
i	0.440586	0.439003	0.0366473	0.0254302	0.00844201	0.0119642	0.00567297	0.00257128	0.0296827
m	0.632631	0.205416	0.0500951	0.0182084	0.00851672	0.0192938	0.016285	0.00165509	0.0478991
á	0.304729	0.374341	0.119022	0.02837	0.0361708	0.0436488	0.025163	0.00332257	0.0652331
m	0.523549	0.253971	0.0877348	0.0211787	0.0220669	0.0472312	0.0104262	0.00735279	0.0264889
b	0.0566477	0.37568	0.490405	0.022154	0.0353013	0.00961165	0.00397204	0.000282256	0.00594579
ó	0.0166502	0.299067	0.638759	0.0270083	0.00644477	0.00522649	0.00104512	0.000430961	0.00536834
s	0.0444933	0.209781	0.654719	0.032504	0.00770984	0.0112695	0.00467381	0.00113695	0.033713
i	0.0613612	0.654775	0.144861	0.0305763	0.0215466	0.00513952	0.0038757	0.00383935	0.0740251
m	0.145024	0.114216	0.539754	0.121478	0.0329132	0.0155397	0.013417	0.00235219	0.0153061
ó	0.258556	0.224605	0.194388	0.0923574	0.139619	0.0662547	0.0127905	0.000886915	0.010542
o	0.181556	0.10446	0.22642	0.22579	0.109177	0.0736931	0.0264896	0.00866629	0.0437475
b	0.0238601	0.169073	0.552454	0.224782	0.00873696	0.0140869	0.00154406	0.00173677	0.0037257
é	0.00245792	0.090217	0.749143	0.10883	0.01173	0.0296571	0.00254499	0.0018165	0.00360351
l	0.0274766	0.0574376	0.408484	0.367788	0.0233076	0.0203862	0.00609337	0.00366137	0.0853653
á	0.029162	0.0352197	0.0982293	0.518714	0.167362	0.0384286	0.0330935	0.0120707	0.0677197
e	0.00894722	0.00358238	0.0847196	0.340216	0.486771	0.0456427	0.0206856	0.00510902	0.00432696
k	0.00567906	0.0280429	0.0746463	0.432341	0.160016	0.254302	0.00890783	0.0198202	0.0162453
u	0.0032623	0.0114029	0.0394151	0.463864	0.0407835	0.361766	0.00616066	0.0465024	0.0268434
n	0.0111558	0.0262979	0.0318402	0.736139	0.0746247	0.0506919	0.00771524	0.0151071	0.0464284
g	0.0105295	0.0134672	0.0784324	0.662041	0.127975	0.0342868	0.0171664	0.0107342	0.0453678
a	0.0056774	0.00282647	0.0115867	0.146956	0.743946	0.0507658	0.00813326	0.0169944	0.0131144
y	0.00112278	0.00194193	0.00573646	0.0681858	0.247624	0.316021	0.223726	0.0402605	0.0953821
á	0.0163408	0.00877392	0.00900319	0.111524	0.33053	0.200258	0.137306	0.116512	0.0697531
a	0.00615277	0.00182575	0.00859462	0.0378227	0.378708	0.139848	0.237429	0.158343	0.0312755
b	0.00313863	0.00477775	0.0143491	0.0371948	0.0587573	0.249985	0.182816	0.363253	0.0857282
i	0.00215963	0.0061726	0.0504481	0.0829465	0.0527579	0.295616	0.0781484	0.368688	0.0630619
a	0.000922868	0.00545107	0.0254521	0.0960982	0.0276845	0.263067	0.0747506	0.153033	0.353541
m	0.00210071	0.000425502	0.00223242	0.0152411	0.0693541	0.0457665	0.54167	0.154005	0.169205
á	0.0136138	0.00677641	0.0285577	0.0439051	0.142598	0.136157	0.315891	0.118776	0.193724
l	0.00345636	0.0015952	0.00436204	0.0154721	0.0954578	0.0609423	0.279823	0.394226	0.144665
á	0.00376361	0.00420374	0.00578922	0.0131202	0.0165456	0.0439419	0.168179	0.410636	0.333821
ω	0.00165237	0.00095333	0.00393092	0.0119821	0.0478501	0.0408346	0.383752	0.279862	0.229183
k	0.00231281	0.00441076	0.00694208	0.0109092	0.00493366	0.0170061	0.0758002	0.737756	0.139929
y	0.000340868	0.00458504	0.0056266	0.0300943	0.00334828	0.0473428	0.0715708	0.674656	0.162435
ε	0.00522946	0.00895458	0.00508013	0.048139	0.0228486	0.053019	0.129022	0.580043	0.147665
s	0.00220917	0.00067347	0.00172266	0.0219906	0.0273354	0.0113959	0.181416	0.450884	0.302372
í	0.00119146	0.000688745	0.00161051	0.0339541	0.0635628	0.0620576	0.151576	0.276462	0.408896
</S>	0.00237577	0.000672343	0.00327714	0.0159752	0.0521039	0.0381252	0.292807	0.140294	0.454369
