 	il	croit	aux	fétiches	</S>
w	0.980124	0.00491303	0.0140869	0.000763914	0.000112277
a	0.969399	0.00556286	0.0222385	0.00276186	3.7284e-05
l	0.804484	0.134257	0.0297089	0.0112637	0.0202865
á	0.205134	0.074582	0.0617443	0.0414095	0.617131
a	0.539689	0.0740058	0.107924	0.0850193	0.193362
k	0.0164958	0.970062	0.00477941	0.00286721	0.00579519
a	0.00490852	0.989916	0.00399146	0.000376929	0.000806821
n	0.00886259	0.960558	0.0145006	0.00514025	0.0109384
á	0.0471394	0.881291	0.0492804	0.00425977	0.0180289
n	0.0773747	0.0669178	0.658125	0.16156	0.0360221
d	0.113825	0.0334839	0.294164	0.387444	0.171083
é	0.0122737	0.0350662	0.176387	0.666452	0.109821
á	0.0143306	0.0734719	0.0341577	0.667737	0.210303
m	0.0074803	0.0444298	0.318168	0.287051	0.342871
á	0.00860595	0.00544864	0.380026	0.386879	0.219041
p	0.032444	0.0172415	0.331777	0.532807	0.0857305
y	0.0122782	0.0111099	0.116838	0.631375	0.228399
ó	0.00880553	0.0182061	0.150242	0.513097	0.309649
n	0.00169768	0.0144618	0.0745774	0.454996	0.454267
d	0.0125727	0.0567596	0.0993411	0.346846	0.484481
o	0.00268441	0.0103228	0.0115238	0.348323	0.627146
</S>	0.00117468	0.00705254	0.0224647	0.1675	0.801808
