 	le	coq	avale	les	arachides	d'	un	trait	</S>
t	0.563429	0.413968	0.00101444	0.0123252	0.000383281	0.00643434	0.00192185	0.000401341	0.000122311
s	0.0214765	0.977391	0.000453129	0.000224333	0.000154453	0.000143633	9.58009e-05	1.8856e-05	4.18051e-05
ó	0.031189	0.953516	0.00399551	0.00398195	0.00358499	0.00113405	0.00108449	4.86305e-05	0.00146534
s	0.0293235	0.950966	0.00200106	0.0067295	0.000977809	0.00133482	0.000900014	0.000424098	0.00734297
ó	0.0741651	0.863459	0.0207403	0.00512254	0.00341492	0.00280689	0.000548938	0.00147162	0.0282707
l	0.569014	0.204378	0.0757986	0.0880629	0.00507735	0.0282098	0.00930949	0.000714434	0.0194353
á	0.475379	0.0298526	0.0500666	0.0776342	0.00831407	0.0780755	0.0557255	0.000407791	0.224544
a	0.793689	0.0283047	0.0338606	0.0943679	0.0202244	0.00868796	0.00682228	0.000166907	0.0138759
m	0.073428	0.0117175	0.555822	0.0234257	0.290662	0.00579163	0.0129271	0.00320484	0.0230207
i	0.00377338	0.0035017	0.924017	0.0272492	0.0365438	0.000815891	0.00173046	8.63326e-06	0.00235978
á	0.0162202	0.00222123	0.905854	0.029269	0.0262219	0.0027887	0.0036177	3.48099e-05	0.0137723
n	0.0172854	0.00425983	0.0337939	0.478592	0.232536	0.164646	0.03828	0.00156243	0.0290443
d	0.119155	0.00211028	0.0849898	0.303845	0.238953	0.0793148	0.0181519	0.000190493	0.15329
z	0.00520174	0.000567454	0.0440914	0.0760175	0.802896	0.0232997	0.00734823	8.05835e-05	0.0404976
o	0.001316	0.00221258	0.0564136	0.00972035	0.915484	0.00580768	0.00190088	0.000122774	0.00702213
ó	0.0146791	0.0473518	0.105054	0.0388046	0.464126	0.0521834	0.0240779	0.00422768	0.249496
i	0.00527194	0.0011086	0.0103417	0.171617	0.011825	0.526821	0.195149	0.0104356	0.0674312
t	0.00765372	0.000996557	0.0139659	0.0481617	0.0347522	0.165127	0.332786	0.183678	0.212878
o	0.000894045	0.000401597	0.00288818	0.0101712	0.0144951	0.0633404	0.067984	0.777917	0.0619082
l	0.000410592	0.00210293	0.00137704	0.00467654	0.00630331	0.0191012	0.0183318	0.892409	0.0552872
a	0.000364655	0.000690909	0.00300205	0.00521469	0.00480198	0.0221288	0.122945	0.700172	0.14068
a	0.00248366	0.000605177	0.00210478	0.0159854	0.00199326	0.0483465	0.29786	0.261108	0.369514
</S>	0.0115787	0.00279762	0.0144244	0.0495494	0.0136855	0.0581788	0.316622	0.175245	0.357918
