 	j'	ai	reçu	une	écharde	de	bambou	dans	le	doigt	</S>
e	0.386553	0.0738625	0.0717858	0.198106	0.0433051	0.165241	0.0285597	0.0103474	0.0174729	0.00117394	0.00359332
s	0.0234977	0.0991532	0.201194	0.328908	0.0353802	0.0140246	0.0157212	0.0182451	0.0281707	0.229209	0.00649656
ε	0.0259106	0.0667262	0.16884	0.307215	0.127603	0.0383873	0.0122916	0.0715895	0.0331056	0.093382	0.0549497
l	0.00182998	0.0541042	0.170141	0.179956	0.0709252	0.0336785	0.0270444	0.0733469	0.0387137	0.0456176	0.304643
ε	0.0454184	0.125858	0.279471	0.279755	0.0280173	0.0304563	0.0279903	0.0485384	0.0343887	0.0116633	0.0884433
y	0.0150749	0.13245	0.232405	0.263101	0.150445	0.100672	0.0171864	0.0231404	0.0118488	0.00332417	0.0503528
á	0.0498533	0.115392	0.12353	0.266694	0.180182	0.157959	0.0127825	0.0277422	0.0145703	0.00403779	0.0472566
l	0.107882	0.16086	0.077848	0.289032	0.136516	0.125758	0.0334897	0.0254677	0.0159056	0.0151344	0.0121055
e	0.236751	0.305702	0.122864	0.0447202	0.144367	0.049061	0.0135895	0.0262817	0.00689654	0.00659415	0.0431721
m	0.00384723	0.022173	0.0513011	0.148451	0.476646	0.177975	0.0424527	0.0273766	0.00947707	0.00663881	0.0336609
b	0.00400403	0.0272062	0.038548	0.0488701	0.0142521	0.441951	0.352797	0.0448409	0.00960948	0.00214745	0.0157737
á	0.000359728	0.00708704	0.0434046	0.0372331	0.0198843	0.154393	0.696519	0.0236331	0.00502912	0.00148177	0.0109747
á	0.0011842	0.0136812	0.0398043	0.0559405	0.0189726	0.209343	0.595015	0.0282791	0.00892866	0.000554129	0.0282973
é	0.00254191	0.0315053	0.0329777	0.0150845	0.0203978	0.229246	0.221847	0.331884	0.0688697	0.011759	0.0338865
m	0.00290366	0.0203715	0.0333249	0.00755866	0.0227415	0.044894	0.185912	0.436962	0.184102	0.0391185	0.0221115
i	0.000461579	0.00892877	0.0177034	0.00893384	0.00350283	0.0728121	0.204659	0.349954	0.189135	0.0558993	0.0880094
k	0.000109813	0.0035869	0.0204713	0.0104643	0.0460203	0.034642	0.223447	0.291596	0.206115	0.0689917	0.0945555
ó	2.94601e-06	0.000289285	0.0133601	0.01396	0.0436978	0.00895531	0.170055	0.234907	0.224782	0.0947512	0.195239
á	6.50794e-06	0.000186911	0.0066885	0.0228711	0.110097	0.0314416	0.211969	0.21513	0.255226	0.0632376	0.0831458
n	0.000319395	0.00390056	0.00484731	0.00563824	0.00165692	0.0463378	0.0526472	0.297565	0.352554	0.172129	0.062404
g	0.00696036	0.00898022	0.0170685	0.00819483	0.0162411	0.0751506	0.0959249	0.336316	0.135746	0.132268	0.16715
á	0.0323933	0.0634646	0.0446857	0.0149836	0.0439766	0.104691	0.0792301	0.208475	0.0846008	0.181846	0.141654
s	8.16231e-05	0.000712652	0.00248737	0.00680793	0.0019254	0.0311277	0.0254995	0.1618	0.38646	0.26379	0.119308
ó	0.000188559	0.000878634	0.00288381	0.00153897	0.00143001	0.00532199	0.00776059	0.122708	0.116793	0.657346	0.0831499
s	0.00012298	0.00103699	0.00199504	0.00272493	0.0014664	0.00931357	0.00530884	0.0401468	0.0562888	0.715039	0.166557
a	2.96347e-05	0.00043241	0.00108213	0.000327855	0.000203857	0.000441143	0.000590853	0.0155554	0.018924	0.933637	0.0287755
b	4.76137e-06	6.14694e-05	0.000300583	0.000437132	0.000188052	0.000988364	0.00150022	0.0528712	0.0710319	0.569713	0.302903
h	0.000308017	0.000584224	0.00333155	0.00260028	0.00117168	0.00224616	0.00917277	0.0892166	0.30191	0.112652	0.476807
i	6.75612e-05	8.76624e-05	0.00103481	0.00292793	0.00213525	0.00498995	0.0207106	0.0667405	0.0816419	0.261696	0.557968
</S>	3.12952e-05	0.000189148	0.00185462	0.00305282	0.00283256	0.00371317	0.00589194	0.0497449	0.133215	0.0739979	0.725477
