 	nyaamvua	enfonce	le	manioc	dans	la	hotte	</S>
n	0.98127	0.00888305	0.00701513	0.000850971	0.00103304	0.00082791	0.000110275	9.79776e-06
y	0.998066	0.00139283	0.000331013	3.69177e-05	4.72153e-05	0.000118381	2.79343e-06	4.8466e-06
á	0.98509	0.00825247	0.00330462	0.00131127	0.000404025	0.000815798	0.000550912	0.000270779
a	0.941696	0.030795	0.00453468	0.00219267	0.000928506	0.00340766	0.000818287	0.0156273
m	0.208167	0.227624	0.218101	0.0563038	0.126892	0.0319978	0.00267337	0.128241
b	0.352752	0.241748	0.216397	0.00307476	0.0262814	0.0124289	0.121869	0.0254485
v	0.443508	0.422713	0.114792	0.00251209	0.00290305	0.00241845	0.00704507	0.00410881
ú	0.604297	0.244913	0.0699347	0.00333574	0.00372556	0.00434172	0.00508138	0.0643708
á	0.305383	0.19235	0.352319	0.0295788	0.0284217	0.0236635	0.0169533	0.0513311
l	0.0346062	0.236627	0.585941	0.074112	0.0424506	0.00842352	0.000538726	0.0173012
á	0.0312412	0.250588	0.237005	0.146881	0.108883	0.0180015	0.00214636	0.205255
a	0.100597	0.106212	0.423259	0.229033	0.0760116	0.0195111	0.00396589	0.0414097
b	0.029363	0.338714	0.186364	0.417298	0.0211214	0.00303266	0.000937221	0.00316928
h	0.00381686	0.425681	0.12741	0.394052	0.0353927	0.0046062	0.00277311	0.00626802
í	0.0198489	0.67454	0.0744265	0.178038	0.0338564	0.00796387	0.00517003	0.00615663
á	0.00441873	0.194698	0.235488	0.385945	0.105506	0.0203828	0.0162107	0.0373499
i	0.00339298	0.00804362	0.191832	0.101116	0.51234	0.140389	0.0302675	0.0126186
k	0.00355164	0.0210769	0.0601007	0.249068	0.266391	0.2632	0.080973	0.0556384
ώ	0.00151931	0.036615	0.0494161	0.506434	0.151465	0.145257	0.0752622	0.0340319
ώ	0.000314356	0.0210671	0.098471	0.502876	0.173835	0.128263	0.0207589	0.0544149
s	0.00035266	0.00304302	0.0332884	0.0230072	0.472015	0.377293	0.0269451	0.0640552
á	0.00248071	0.00666831	0.0151292	0.0104362	0.146149	0.257688	0.102167	0.45928
m	0.00465557	0.000962604	0.00628481	0.00199808	0.047545	0.166984	0.747946	0.0236248
ú	3.88313e-05	0.00016474	0.00159055	0.000104648	0.0108231	0.0334361	0.939378	0.0144642
a	8.79137e-05	0.000388033	0.00304371	0.00111075	0.0317927	0.0667925	0.886485	0.0102991
</S>	0.000159515	0.001593	0.00753704	0.0182155	0.0463575	0.150137	0.0608956	0.715105
