 	elle	est	en	train	d'	emballer	du	manioc	avec	les	feuilles	sauvages	tsere	</S>
w	0.771583	0.0883668	0.0453902	0.0646895	0.0211574	0.00265013	0.00132253	0.00174776	0.000816603	0.000383493	0.000230487	0.000898894	0.000748021	1.48501e-05
a	0.519979	0.0728596	0.144608	0.229013	0.0249806	0.000246934	0.0010022	0.00052796	0.00131353	0.00062071	0.000181773	0.00375479	0.00090052	1.11019e-05
b	0.0661177	0.206369	0.444335	0.254177	0.0126922	0.00346973	0.00228125	0.00185874	0.00196711	0.00135985	0.00199967	0.000989227	0.000944519	0.00143878
ó	0.0492543	0.0395758	0.0989093	0.724038	0.0541481	0.00707252	0.0055351	0.0143324	0.00375738	0.00100906	5.15978e-05	8.65005e-05	0.000788503	0.0014409
l	0.146132	0.187839	0.283227	0.199318	0.0801432	0.0289508	0.0306013	0.0114118	0.0109811	0.00432245	0.00283544	0.00136497	0.0012711	0.0116019
á	0.1314	0.123475	0.125314	0.0376647	0.104389	0.0312189	0.0782417	0.0334823	0.0998654	0.052093	0.044516	0.0149862	0.00132444	0.12203
a	0.345669	0.163781	0.160455	0.0555322	0.153234	0.0599722	0.014208	0.00906722	0.0102373	0.00784329	0.00337207	0.00484199	0.00118547	0.010601
k	0.0199589	0.077536	0.018518	0.0217726	0.0518601	0.715243	0.00685799	0.0136506	0.00385485	0.0120656	0.0344482	0.00513695	0.00449192	0.0146058
a	0.01324	0.0985309	0.0280745	0.00966235	0.0596521	0.581848	0.0390547	0.073251	0.0096707	0.0271391	0.0226739	0.00987857	0.00618143	0.0211428
n	0.00414088	0.0311707	0.0258187	0.00508196	0.0685553	0.746188	0.0249815	0.0257777	0.00525972	0.0151274	0.0252731	0.00438519	0.0011708	0.0170693
g	0.00292509	0.00704175	0.00507187	0.00100659	0.175301	0.621941	0.064282	0.020378	0.0218697	0.0364848	0.020297	0.00782205	0.00379396	0.0117844
á	0.00885301	0.0191969	0.084781	0.0041085	0.254597	0.3516	0.123971	0.038486	0.0447067	0.0166998	0.00815442	0.00644855	0.00253128	0.035866
á	0.00270577	0.00232728	0.0105211	0.00320251	0.0914436	0.0500934	0.312748	0.167036	0.199021	0.0791378	0.0178372	0.0227939	0.0375601	0.00357262
i	0.00284409	0.00364809	0.00568568	0.0007363	0.0324063	0.0104078	0.0840485	0.168257	0.315273	0.231024	0.0849473	0.0350709	0.0204968	0.00515313
k	0.00228156	0.00653079	0.00237287	0.00159951	0.00394858	0.172624	0.0135634	0.326641	0.0767379	0.145197	0.0811652	0.0300029	0.112521	0.0248145
ώ	0.000897103	0.00277499	0.00164417	0.000970243	0.00247972	0.0693296	0.0162166	0.592381	0.0356728	0.0812297	0.0382235	0.0130292	0.135821	0.00933062
ώ	4.9484e-05	0.00062055	0.00153491	0.00201529	0.00198058	0.0193905	0.015589	0.465603	0.0669295	0.136113	0.104295	0.0586378	0.105687	0.0215555
m	0.00156991	0.000937913	0.00255639	0.000113927	0.0053845	0.00130764	0.0286629	0.0258071	0.290044	0.210186	0.135363	0.180984	0.0590467	0.0580357
ó	0.023148	0.0162341	0.0156896	0.000487398	0.00699465	0.00176705	0.0126103	0.00351249	0.0673671	0.0928137	0.0213808	0.0518377	0.0904844	0.595673
t	0.0135412	0.00685141	0.0240208	0.00412083	0.00519179	0.00893553	0.0144389	0.012857	0.0588812	0.0263408	0.0196297	0.0493194	0.665566	0.0903059
s	0.00113279	0.00435535	0.00212609	0.000487463	0.00141621	0.0257262	0.00505409	0.0148436	0.00729025	0.0178748	0.0261665	0.0311849	0.838771	0.023571
έ	0.000100563	6.93371e-05	0.00019665	9.01291e-05	8.41653e-05	0.000986865	0.000462294	0.00117532	0.00143125	0.00325198	0.00925087	0.0146459	0.957713	0.0105417
r	1.4236e-05	3.8689e-05	0.000323232	5.30927e-05	0.000119051	0.000628385	0.00104016	0.00341869	0.00627264	0.0154493	0.0335942	0.0323315	0.722321	0.184396
έ	2.57206e-05	0.000186315	0.000427366	7.7049e-05	0.000338764	0.00563437	0.00397452	0.00223239	0.0218691	0.0475026	0.0615827	0.121523	0.399958	0.334668
</S>	0.000331835	0.000457404	0.0012337	1.75918e-05	0.00134545	0.000477298	0.00462204	0.00156857	0.0199058	0.0444983	0.089504	0.126134	0.0592507	0.650654
