 	il	balance	le	bâton	dans	le	fleuve	</S>
w	0.914759	0.0590295	0.00759323	0.0035385	0.00418597	0.0105848	0.000254658	5.45262e-05
a	0.830542	0.115579	0.011482	0.00460986	0.0121546	0.0199786	0.00396365	0.00168992
a	0.298093	0.446738	0.103088	0.0369892	0.0140599	0.0206449	0.0159975	0.0643898
b	0.0666515	0.583758	0.243366	0.0526779	0.0129387	0.00739022	0.00171304	0.0315052
v	0.0177765	0.702488	0.161834	0.0641173	0.0140701	0.0038735	0.00319071	0.0326497
έ	0.00323645	0.863672	0.101376	0.0273876	0.00260412	0.000546611	0.000150643	0.0010258
έ	0.00688583	0.53525	0.20472	0.0455945	0.0237755	0.00679577	0.0044905	0.172489
i	0.00979559	0.175954	0.455007	0.339786	0.00652913	0.00276027	0.00122548	0.00894256
b	0.00151391	0.0506452	0.247597	0.667327	0.0184868	0.00358601	0.00261486	0.0082287
v	0.000936026	0.0457312	0.109903	0.817101	0.0159933	0.0017778	0.0051039	0.00345338
ú	0.000100196	0.0287571	0.085146	0.86356	0.0172172	0.00103963	0.00223133	0.00194854
a	0.00103007	0.0185049	0.034532	0.872488	0.053441	0.00982872	0.00178634	0.0083894
s	0.00218808	0.0306688	0.0975077	0.263059	0.419245	0.128487	0.00480008	0.0540442
á	0.00244348	0.00957894	0.0467325	0.0616121	0.348957	0.288664	0.0776306	0.164381
ε	0.00262327	0.00791505	0.0219085	0.0573589	0.415908	0.295553	0.186371	0.0123624
b	0.00081542	0.00495583	0.0363953	0.163403	0.314114	0.137577	0.316011	0.0267293
a	0.0104472	0.028204	0.0517702	0.268725	0.116387	0.0706169	0.380535	0.0733156
a	0.000187119	0.00122116	0.00781977	0.158106	0.132159	0.0378823	0.138965	0.523659
</S>	0.000696044	0.0089428	0.0139444	0.013985	0.157267	0.409618	0.169291	0.226255
