 	il	s'	adosse	au	mur	de	la	maison	</S>
w	0.951312	0.0240873	0.00461411	0.00837812	0.00116247	0.00431855	0.00588207	0.00013081	0.000114168
a	0.930409	0.0382248	0.00398152	0.0154633	0.000245199	0.00269088	0.00893528	3.78163e-05	1.2539e-05
l	0.32993	0.462782	0.0510306	0.0540199	0.00976901	0.0430103	0.0167288	0.00094026	0.0317897
á	0.237625	0.19512	0.0164958	0.0648466	0.032276	0.0815581	0.0276841	0.00415055	0.340244
a	0.360477	0.186299	0.0388	0.108413	0.0158531	0.0630924	0.0929841	0.0450841	0.0889976
y	0.0513386	0.717713	0.187403	0.00962188	0.00837298	0.00489364	0.00176324	0.00154144	0.0173519
ε	0.0235228	0.681161	0.265098	0.00449992	0.00133518	0.00134692	0.00100259	0.00131234	0.0207213
ε	0.0204037	0.257204	0.564465	0.0659506	0.00414708	0.0179195	0.0174791	0.00436368	0.048067
m	0.0102183	0.3507	0.322974	0.138938	0.0257604	0.0553462	0.030169	0.00393138	0.0619633
έ	0.0272879	0.238698	0.169291	0.46716	0.0294136	0.0301508	0.0270823	0.00202883	0.00888774
m	0.0122473	0.158433	0.16641	0.455949	0.155322	0.0255486	0.0117581	0.00620013	0.0081319
ó	0.00333827	0.0582158	0.108686	0.422854	0.12743	0.100907	0.0617842	0.0118391	0.104946
ε	0.00609132	0.0266498	0.0600594	0.64343	0.195878	0.0291014	0.0098186	0.00669474	0.0222763
b	0.00285495	0.0478838	0.174398	0.339453	0.358188	0.049417	0.00568462	0.00301423	0.0191071
a	0.00230016	0.00763615	0.0102886	0.0413605	0.896841	0.0308872	0.00417872	0.000897247	0.00561032
á	0.00189147	0.0178278	0.0236731	0.0577122	0.644101	0.0413106	0.00820371	0.0109899	0.19429
y	0.00314585	0.0132776	0.00498832	0.0911713	0.11414	0.443604	0.127182	0.040578	0.161913
á	0.00289078	0.0273648	0.0481261	0.217444	0.053225	0.15118	0.209773	0.123428	0.166569
n	0.00385224	0.00571935	0.0147724	0.103862	0.0345239	0.112577	0.2051	0.493476	0.0261175
d	0.000111892	0.00132197	0.00508287	0.0217905	0.00812581	0.0373635	0.0485982	0.864628	0.0129774
é	9.37731e-05	0.000517895	0.00885554	0.00982342	0.00541319	0.0194606	0.03005	0.913313	0.012473
e	1.66139e-05	0.000620615	0.0103807	0.0662968	0.0177522	0.0743788	0.138412	0.565272	0.126871
</S>	0.00049877	0.00486051	0.00404602	0.0490829	0.0489252	0.404297	0.276527	0.0380932	0.17367
