 	mon	père	a	déjà	des	cheveux	blancs	</S>
t	0.172451	0.798497	0.021855	0.00245641	0.00366145	0.000864809	0.000123458	9.10397e-05
á	0.0142384	0.978798	0.00338856	0.000346908	0.00170613	0.000392067	0.000798268	0.000331922
á	0.00655892	0.914547	0.0148022	0.0110628	0.0109187	0.00307688	0.00785706	0.0311765
y	0.411955	0.39905	0.112325	0.00907034	0.00580297	0.00597652	0.00123421	0.0545866
a	0.576774	0.177976	0.101861	0.0148208	0.0119914	0.0569932	0.0133382	0.0462457
n	0.929109	0.0252583	0.0251136	0.00174356	0.00125262	0.00228417	0.000892762	0.0143457
g	0.972167	0.00514196	0.00883071	0.00097594	0.00156684	0.00930488	0.00031625	0.00169669
á	0.552944	0.235111	0.105855	0.0123177	0.0152607	0.0262108	0.0042578	0.0480423
a	0.229328	0.0276818	0.600321	0.0438044	0.0549005	0.0192024	0.00619831	0.0185636
b	0.000717718	0.000145079	0.155569	0.776382	0.0432024	0.0162214	0.00302313	0.00473918
h	0.00145076	4.96356e-05	0.183429	0.750598	0.0482388	0.0099042	0.000866121	0.0054633
í	0.000766735	0.000126167	0.0742872	0.828676	0.075632	0.00808476	0.000398458	0.012029
l	0.00164991	0.000445573	0.127078	0.419052	0.122117	0.0555824	0.041864	0.232211
a	0.00429244	0.00548495	0.149785	0.384763	0.181278	0.109788	0.0332856	0.131322
m	0.0165151	0.000710811	0.0820015	0.105057	0.2643	0.369897	0.0803668	0.0811525
b	0.00407286	0.000883885	0.00777056	0.014104	0.130467	0.700013	0.0502595	0.09243
v	0.000147214	0.00018629	0.0110772	0.0419669	0.435674	0.199487	0.107933	0.203528
i	8.91193e-05	0.000232376	0.00960363	0.0464627	0.295487	0.170026	0.0346261	0.443472
í	0.00059215	0.000706393	0.0258552	0.0677406	0.151795	0.208393	0.139581	0.405336
</S>	0.00210167	0.000114657	0.0749774	0.02224	0.107368	0.255701	0.144116	0.393381
