 	j'	entends	la	pluie	qui	tombe	</S>
m	0.733394	0.150248	0.0405847	0.031463	0.0236875	0.00663485	0.0139888
v	0.012853	0.302465	0.0841125	0.410827	0.0767742	0.035559	0.07741
ú	0.322307	0.0533201	0.0595457	0.471875	0.0116719	0.0651685	0.016112
á	0.0132797	0.172477	0.0934722	0.174999	0.0449558	0.230372	0.270445
b	0.142507	0.466765	0.0992383	0.0419999	0.04869	0.0108143	0.189985
ó	0.141745	0.39503	0.169059	0.0881959	0.0783281	0.0377277	0.0899143
l	0.190157	0.336512	0.18146	0.050845	0.111758	0.0253748	0.103893
á	0.220205	0.121491	0.0925315	0.0646059	0.100482	0.0579839	0.342701
a	0.424102	0.124903	0.108404	0.086121	0.129676	0.0794745	0.0473203
w	0.00396065	0.5057	0.366746	0.0582397	0.0185835	0.00880326	0.0379671
o	0.000387359	0.578928	0.236544	0.0635802	0.0136835	0.0624365	0.0444399
o	0.000449991	0.177552	0.558946	0.0722649	0.0152358	0.0496945	0.125856
m	0.000104111	0.0100759	0.327686	0.270559	0.262383	0.0787816	0.0504104
a	0.00055786	0.00894818	0.0755995	0.0943094	0.122792	0.538167	0.159626
</S>	0.000672075	0.0139234	0.0937574	0.177966	0.17901	0.281828	0.252843
