 	la	baguette	de	manioc	est	dure	</S>
o	0.706284	0.231613	0.051283	0.00501086	0.00459712	0.00102611	0.000186347
n	0.0508525	0.913957	0.0177316	0.0146015	0.00161547	0.000578047	0.000663784
g	0.00306818	0.992435	0.0023036	0.000723021	0.000409418	0.000412642	0.000648583
í	0.00573443	0.984981	0.00328086	0.00413167	0.000709006	0.000154519	0.00100872
n	0.0481511	0.86927	0.0447353	0.00381648	0.00322451	0.00254093	0.0282618
g	0.0914215	0.67357	0.0657725	0.0453682	0.0147798	0.00129498	0.107793
í	0.174681	0.722392	0.0754979	0.0100361	0.00249743	0.000521091	0.0143743
ó	0.103598	0.0541161	0.67736	0.0875314	0.0691039	0.000431374	0.00785926
d	0.0969106	0.0502245	0.236964	0.299359	0.300615	0.00468322	0.0112436
í	0.0250014	0.0257881	0.066746	0.0464786	0.185676	0.0509143	0.599395
l	0.0440999	0.0112449	0.110919	0.262799	0.345051	0.0821016	0.143784
a	0.0168305	0.0120801	0.103398	0.0635574	0.257744	0.208929	0.337461
b	0.0342609	0.0298703	0.123275	0.106121	0.155336	0.360466	0.19067
v	0.0360987	0.0102221	0.0643552	0.119585	0.175666	0.558229	0.0358434
ú	0.00154459	0.000733898	0.0185563	0.043766	0.0789565	0.820523	0.0359198
s	0.00405153	0.00140738	0.00960423	0.0283502	0.0500421	0.756342	0.150202
u	0.0147267	0.00647405	0.0230924	0.0137361	0.0460664	0.727857	0.168047
</S>	0.00431734	0.00255045	0.0861429	0.0685404	0.285941	0.0640487	0.488459
