 	il	serrait	sont	manteau	autour	de	lui	</S>
a	0.910945	0.0791815	0.00391283	0.00253232	0.00169249	0.00141495	0.000288996	3.16694e-05
b	0.132754	0.596786	0.0742366	0.15166	0.0364447	0.00637507	0.000635331	0.00110709
h	0.0310555	0.842316	0.0230289	0.0709925	0.0229419	0.00401113	0.00316008	0.00249443
i	0.021493	0.846902	0.0288565	0.0628189	0.0247502	0.00830372	0.00174443	0.00513165
l	0.129745	0.28914	0.0812744	0.0768687	0.0345871	0.0305775	0.0172951	0.340513
á	0.237051	0.0674412	0.104213	0.119199	0.0515391	0.0844463	0.0592772	0.276834
a	0.62136	0.0709428	0.154069	0.0415687	0.0208122	0.0330566	0.0258826	0.0323079
b	0.00942694	0.125246	0.157041	0.567148	0.0892099	0.0131318	0.00613271	0.0326636
h	0.0191761	0.612372	0.0688085	0.172633	0.0977889	0.0100192	0.00687471	0.0123285
í	0.00509571	0.431239	0.0411314	0.346377	0.153622	0.00554886	0.00153518	0.0154504
á	0.00148292	0.133553	0.057667	0.323137	0.208407	0.0279537	0.00902781	0.238772
n	0.0464456	0.0273959	0.389048	0.202592	0.154961	0.111295	0.0360486	0.0322137
d	0.276005	0.0165917	0.101901	0.279123	0.102998	0.0601564	0.0374678	0.125757
z	0.0536449	0.00973075	0.0921089	0.279183	0.151741	0.0770008	0.0742018	0.262389
ó	0.0734677	0.0141033	0.0229108	0.129969	0.405154	0.0815042	0.131042	0.14185
r	0.0420632	0.0158349	0.0369259	0.136452	0.160505	0.175425	0.108634	0.32416
o	0.0268251	0.0239361	0.0260248	0.129633	0.44403	0.0928887	0.0685641	0.188099
s	0.0391903	0.0218229	0.22538	0.120291	0.307248	0.206987	0.0285684	0.0505122
á	0.0104574	0.00378844	0.111023	0.274779	0.146385	0.144123	0.173271	0.136174
o	0.0132221	0.00429404	0.220062	0.075879	0.0745189	0.27621	0.299628	0.0361859
k	0.000608408	0.00936816	0.0377709	0.115894	0.302119	0.167267	0.298512	0.0684611
á	0.000294292	0.0398252	0.00910939	0.166642	0.410651	0.0966662	0.166138	0.110674
n	0.000885035	0.00860646	0.0570077	0.11736	0.31108	0.146483	0.168678	0.1899
d	0.000451928	0.0112524	0.0069858	0.222978	0.348331	0.136713	0.139372	0.133915
á	0.0140972	0.0102863	0.0230481	0.240529	0.264528	0.156467	0.0694368	0.221608
m	0.00812916	0.00131219	0.0091228	0.00881327	0.0570591	0.285514	0.338538	0.291511
á	0.0294651	0.0091749	0.0256194	0.000866898	0.0422879	0.213752	0.433219	0.245615
p	0.00368	0.00429086	0.0358311	0.00973574	0.016693	0.11821	0.602363	0.209196
y	0.000937189	0.00691311	0.0154339	0.0178273	0.0268454	0.114046	0.636407	0.18159
é	0.0105272	0.00520684	0.00983993	0.0102539	0.0424867	0.114759	0.420038	0.386888
b	0.000146375	0.00105291	0.00339697	0.0141163	0.0224351	0.0607581	0.206859	0.691235
h	0.000426137	0.00210914	0.00269273	0.00898772	0.0150256	0.0878688	0.338748	0.544141
i	0.00122055	0.00379562	0.00210376	0.0156087	0.016681	0.0842154	0.318434	0.557941
</S>	0.00644388	0.00283317	0.0108299	0.0144575	0.0521498	0.204148	0.187964	0.521174
