 	j'	ai	acheté	du	poisson	pour	la	femme	du	chef	</S>
n	0.949098	0.0373497	0.000186793	0.00336824	0.000656959	0.00129553	0.00570027	0.000173461	0.000673555	0.00147578	2.16708e-05
g	0.846859	0.107642	0.00107	0.00676182	0.000228828	0.0030731	0.0298208	0.000569143	0.000999244	0.00292819	4.80098e-05
á	0.664598	0.31384	0.00507858	0.00235879	0.000101339	0.000889114	0.00665888	0.00377326	0.000499024	0.00203975	0.000163611
í	0.0178427	0.196072	0.0342222	0.0619381	0.0223744	0.043643	0.0381563	0.00345881	0.0632922	0.0273633	0.491637
s	0.000876931	0.0182098	0.974305	0.00200731	0.00172034	0.000766666	0.000410682	0.000506884	0.000306436	0.000101346	0.000788943
ó	9.13793e-05	0.0166387	0.977756	0.000357967	0.00422958	0.000234588	7.64675e-05	0.00034514	2.28004e-05	4.1173e-05	0.000206199
m	0.00646459	0.0585165	0.847287	0.0245953	0.0269367	0.00597404	0.00323932	0.00239337	0.00240805	0.0139864	0.00819824
b	0.00112871	0.016014	0.50257	0.0372621	0.410199	0.00715058	0.0056961	0.00521178	0.00223697	0.00182315	0.0107082
i	0.00529717	0.119058	0.0525078	0.319861	0.158507	0.091758	0.139814	0.00301793	0.0274776	0.0188001	0.0639018
a	0.0136941	0.0426234	0.00171204	0.399412	0.251358	0.0830647	0.148677	0.0156907	0.0255218	0.000847973	0.0173978
s	0.000237466	0.00667027	0.0081158	0.205099	0.49828	0.192768	0.0329105	0.0280527	0.0100845	0.0114059	0.00637551
w	0.000454243	0.00794177	0.0191614	0.0300483	0.736564	0.0829387	0.0458456	0.0633623	0.00634659	0.000854234	0.00648313
é	0.000862336	0.00180618	0.00131143	0.0108133	0.499516	0.0586697	0.0687203	0.35325	0.00192832	0.000849627	0.00227286
m	1.44394e-05	0.00127636	0.00169246	0.0662108	0.35635	0.367695	0.117023	0.031127	0.0368227	0.00208646	0.0197007
ó	8.74307e-05	0.000286603	2.69023e-05	0.0294076	0.384479	0.255137	0.100107	0.186997	0.0165479	0.000660616	0.0262638
m	1.33138e-05	0.000237527	9.32238e-05	0.0279291	0.0576196	0.402569	0.223388	0.143212	0.0902619	0.0293431	0.0253323
w	1.56538e-05	8.21624e-05	2.62675e-05	0.000794653	0.0128093	0.0504868	0.0674495	0.844134	0.00550895	0.00147312	0.0172193
á	4.79571e-05	2.2827e-05	2.94981e-06	0.000374739	0.00869118	0.0106481	0.00415425	0.958965	0.000300873	0.0124234	0.00436857
s	0.00115276	0.00117607	6.20742e-06	0.00686498	0.00323232	0.11455	0.719119	0.126808	0.016054	0.00146293	0.00957357
í	0.000359519	0.000869623	0.000775058	0.00696498	0.0487158	0.195701	0.316923	0.189291	0.0219703	0.020882	0.197548
y	0.000487899	0.00150273	0.000171321	0.0133977	0.00682315	0.125265	0.212565	0.011436	0.546839	0.0258147	0.055698
a	8.38614e-05	0.00106267	0.000189779	0.00972527	0.0806435	0.274114	0.418034	0.0290277	0.102121	0.0524951	0.0325037
o	2.82887e-05	0.000325147	0.000129825	0.00184043	0.0137078	0.102053	0.504736	0.00669762	0.175232	0.155852	0.0393982
k	2.5779e-06	0.000127688	0.000368331	0.00309868	0.00737328	0.101856	0.0554978	0.00391221	0.140125	0.630315	0.0573239
o	1.58809e-07	5.9859e-06	1.48553e-05	0.00112123	0.000730867	0.00982063	0.00294874	6.22242e-05	0.0133848	0.957345	0.0145652
n	8.58873e-06	5.47528e-05	0.000265034	0.00223476	0.0307112	0.0186319	0.00736953	0.00317501	0.0201515	0.898736	0.0186617
d	7.2926e-05	2.5447e-05	1.31733e-05	0.00220201	0.00299482	0.0112754	0.00459939	0.00263241	0.00741941	0.942716	0.0260485
z	0.000189304	0.000149864	5.8305e-05	0.00166308	0.000893737	0.00971841	0.0033844	0.000953536	0.00852922	0.923973	0.0504874
i	1.60163e-05	5.75553e-06	4.42092e-05	0.00158048	0.000794413	0.010514	0.00532283	0.000614819	0.00829146	0.915999	0.0568175
</S>	0.000371323	0.00131467	0.00012182	0.00351954	0.00154811	0.0276672	0.0515702	0.00134555	0.235273	0.0613912	0.615878
