 	mon	argent	est	tombé	</S>
n	0.750101	0.215296	0.0295773	0.00460524	0.000420126
g	0.524196	0.475273	0.000489251	2.50877e-05	1.73767e-05
á	0.571469	0.423445	0.00371704	0.00109256	0.000276285
m	0.306001	0.600408	0.0576865	0.01026	0.0256446
b	0.139076	0.516206	0.277306	0.0158316	0.0515799
ώ	0.0106028	0.932388	0.0269877	0.00960582	0.0204157
n	0.0177581	0.880134	0.0577616	0.0218297	0.0225164
g	0.188044	0.597456	0.114415	0.0262029	0.0738819
ω	0.122711	0.743203	0.0478139	0.0117764	0.0744955
é	0.0476136	0.0276685	0.646409	0.111101	0.167208
m	0.00937601	0.00633253	0.486116	0.24041	0.257765
i	0.00488066	0.00517246	0.158277	0.171163	0.660507
p	0.00177094	0.00194072	0.0784323	0.390157	0.527699
á	7.10015e-05	0.000188975	0.0463492	0.640274	0.313117
s	0.00177064	0.00227147	0.128077	0.491605	0.376276
a	0.00125022	0.00136577	0.0286534	0.606223	0.362508
</S>	0.00458287	0.00469676	0.0530256	0.106	0.831695
