 	ton	mari	est	poignardé	</S>
o	0.622611	0.354996	0.017753	0.00359555	0.00104489
l	0.00611225	0.992339	0.000719748	0.000337134	0.000491674
ó	0.000768609	0.996466	0.000648195	0.000386695	0.00173079
m	0.000704761	0.991164	0.00147672	0.000303772	0.00635048
i	0.104562	0.589811	0.0876923	0.0125335	0.205401
y	0.555764	0.115417	0.235547	0.0208411	0.072431
a	0.832634	0.0360192	0.0910485	0.00495589	0.0353424
n	0.951219	0.00279416	0.0395563	0.000816277	0.00561444
ω	0.988449	0.00112823	0.00794153	0.000691046	0.00178987
a	0.107185	0.070035	0.316449	0.0646507	0.44168
d	0.194579	0.0433626	0.558793	0.118772	0.0844937
í	0.0274755	0.00102198	0.179867	0.036497	0.755139
o	0.171874	0.00109481	0.383718	0.0414044	0.401908
m	0.0243972	0.0321052	0.230248	0.272636	0.440614
a	0.00103705	0.00459715	0.1032	0.671583	0.219584
á	0.00397281	0.0112062	0.210684	0.112445	0.661692
m	0.042493	0.00261611	0.466998	0.080787	0.407106
a	0.00425373	0.000899918	0.242368	0.423896	0.328581
a	0.00476421	0.00350016	0.139009	0.120743	0.731984
</S>	0.0108894	0.00462232	0.202892	0.0417223	0.739874
