 	c'	est	une	brebis	bréhaigne	</S>
y	0.540598	0.286102	0.147486	0.023903	0.00164301	0.000268142
é	0.683577	0.124869	0.082226	0.0989405	0.00185095	0.0085361
e	0.133261	0.266099	0.559722	0.0375021	0.00176871	0.00164671
n	0.0236819	0.188274	0.546205	0.165106	0.0240633	0.0526696
d	0.0178879	0.0628766	0.165796	0.612695	0.00551555	0.135229
ω	0.0113266	0.0702546	0.24303	0.613945	0.00379237	0.0576524
m	0.0263302	0.0358077	0.294207	0.594568	0.00650018	0.0425873
b	0.0790832	0.0918148	0.128205	0.649016	0.00200455	0.0498765
ω	0.0531617	0.0957185	0.035378	0.745975	0.00357821	0.0661888
y	0.215584	0.117366	0.2757	0.234266	0.0301017	0.126982
é	0.412966	0.196091	0.176128	0.191739	0.00476649	0.0183085
é	0.282444	0.111746	0.275693	0.0844134	0.0560088	0.189695
s	0.0266095	0.0390824	0.0625027	0.0644434	0.66331	0.144052
á	0.0106141	0.0219016	0.0147678	0.0327341	0.676571	0.243411
a	0.0106845	0.0121422	0.0387764	0.0311017	0.313872	0.593423
o	0.00558378	0.00723732	0.032093	0.00894807	0.315054	0.631084
b	0.00371324	0.0186446	0.0306177	0.0096975	0.441602	0.495725
ó	0.00124238	0.00428207	0.00803112	0.0258405	0.877518	0.0830854
r	0.000317696	0.00165693	0.00629367	0.00420304	0.640523	0.347006
a	0.00384537	0.00755006	0.0203328	0.0485944	0.543229	0.376449
k	0.00451632	0.0043434	0.0108311	0.0122067	0.0238405	0.944262
a	0.00874076	0.0105004	0.043122	0.00342359	0.0504931	0.88372
á	0.000470659	0.000708981	0.00112165	0.000610196	0.0379339	0.959154
</S>	0.00960539	0.00652588	0.00458774	0.003991	0.0177641	0.957526
