 	qui	fait	vrombir	la	voiture	</S>
y	0.441363	0.476091	0.0481207	0.030037	0.00368975	0.000698153
e	0.628329	0.188502	0.0180127	0.0472477	0.0303045	0.0876043
e	0.321809	0.515174	0.0391949	0.11753	0.00354389	0.00274813
b	0.0198731	0.0860613	0.528971	0.119165	0.0367886	0.209141
h	0.00919437	0.0606742	0.379402	0.0745319	0.200645	0.275553
ώ	0.00513517	0.0419396	0.82353	0.0801554	0.0203603	0.0288798
ώ	0.0600779	0.0456161	0.479949	0.356566	0.0256734	0.0321177
s	0.0257915	0.0211641	0.0842291	0.855668	0.00475534	0.00839186
ώ	0.0380373	0.0366233	0.337303	0.307622	0.0322517	0.248163
o	0.0282973	0.0115312	0.0689005	0.590489	0.109462	0.19132
t	0.00167663	0.00188418	0.10915	0.0860051	0.735489	0.0657952
ω	0.000236143	0.00173102	0.0360657	0.0115093	0.891838	0.0586203
m	3.10106e-05	0.000406927	0.0200025	0.00263153	0.961706	0.0152218
b	0.0005166	0.000228388	0.00974416	0.00651396	0.756341	0.226656
í	0.000504901	0.00076534	0.0261325	0.00631278	0.500183	0.466102
l	0.00243253	0.000936711	0.0135426	0.107266	0.0653737	0.810448
i	0.0151216	0.0290971	0.118906	0.349921	0.189617	0.297337
w	0.00208908	0.00242874	0.00702707	0.178457	0.00391272	0.806085
ú	0.0196168	0.0200985	0.069112	0.484565	0.106047	0.300561
u	0.00202652	0.00109747	0.00126307	0.184267	0.00738756	0.803958
n	0.00342445	0.010458	0.0209388	0.203761	0.0237872	0.73763
d	0.0887621	0.0207146	0.016721	0.0864531	0.0170388	0.77031
a	0.00109775	0.000528014	0.00356131	0.0130124	0.0313509	0.95045
</S>	0.000196721	0.000260018	0.00153793	0.017193	0.0217623	0.95905
