 	il	est	arrivé	dans	l'	après-midi	</S>
w	0.838875	0.0951232	0.036086	0.0165886	0.0123234	0.000805584	0.000197866
a	0.670709	0.0860569	0.0577416	0.0664551	0.117502	0.000996758	0.000538799
á	0.0984864	0.57745	0.204615	0.067412	0.04135	0.000448033	0.0102382
p	0.0487127	0.498139	0.245248	0.103716	0.0446018	0.00687984	0.0527028
f	0.00408157	0.133143	0.514121	0.187904	0.0620944	0.0190021	0.0796547
e	0.0113523	0.132622	0.575432	0.25019	0.0219053	0.00357122	0.00492672
l	0.0159732	0.101269	0.257656	0.393819	0.132013	0.0227927	0.076477
a	0.0230054	0.0858099	0.346474	0.389746	0.0978531	0.004247	0.0528641
ε	0.0425834	0.077822	0.190382	0.402026	0.184001	0.00753797	0.0956484
k	0.00208444	0.0101471	0.0552833	0.0756648	0.201554	0.624738	0.0305284
ω	6.22201e-05	0.00035768	0.00359562	0.00326858	0.0103002	0.977132	0.0052833
k	8.66222e-05	0.00116716	0.0113457	0.00697231	0.024002	0.931081	0.0253456
ω	0.0169291	0.0126861	0.0825036	0.174735	0.164131	0.386206	0.162809
ω	0.00273191	0.00878138	0.0980045	0.22441	0.286434	0.245992	0.133647
</S>	0.0079893	0.0101018	0.0274199	0.0741105	0.16817	0.168493	0.543716
