 	avant	d'	étendre	le	filet	on	noue	son	bout	</S>
o	0.927963	0.0629194	0.00322834	0.00294987	0.00108568	0.000656855	0.000333741	0.000732219	5.55197e-05	7.5149e-05
b	0.995065	0.0035204	0.00111665	5.26357e-05	4.4247e-05	1.13325e-05	2.26197e-05	4.13833e-05	6.08533e-05	6.48229e-05
o	0.917047	0.00909202	0.0604377	0.000949626	0.00798175	0.000348706	0.000383808	0.00121338	0.00186196	0.000684364
s	0.986518	0.00201156	0.00679854	0.000151445	0.000697678	0.000203477	0.000197955	0.000373553	0.000537554	0.00251049
ó	0.753614	0.0784542	0.0538378	0.0116167	0.0223038	0.0142823	0.00464885	0.00591867	0.0137055	0.0416178
m	0.00970848	0.743671	0.135589	0.0524429	0.00264643	0.0266265	0.00388332	0.00214362	0.0010593	0.0222294
í	0.0238931	0.445275	0.110672	0.280516	0.00487436	0.0541787	0.0189352	0.0143462	0.00569395	0.041615
l	0.00699337	0.525186	0.301336	0.105181	0.013721	0.0116997	0.0142816	0.00413442	0.00257341	0.0148933
a	0.00363936	0.0883864	0.164331	0.29393	0.0220348	0.0562517	0.0937569	0.0401304	0.0504346	0.187105
m	0.000257172	0.320888	0.249124	0.309565	0.0200559	0.0338972	0.0176079	0.0117581	0.0105187	0.0263274
b	0.00217231	0.058631	0.0699583	0.638167	0.0486668	0.12052	0.0205875	0.00600429	0.00553109	0.0297618
a	0.00107249	0.0952079	0.103918	0.488962	0.182994	0.0841881	0.0102339	0.00311205	0.00421955	0.0260928
l	0.000113488	0.118802	0.258241	0.395012	0.0847435	0.10575	0.0176013	0.0027399	0.00166777	0.0153287
ó	0.000271025	0.0511096	0.128561	0.290568	0.152162	0.111786	0.0631934	0.0265602	0.025503	0.150287
k	0.000167235	0.0403493	0.0928803	0.326161	0.110494	0.26983	0.0581501	0.0266065	0.0191054	0.0562555
i	0.000252699	0.0114942	0.0630777	0.0275409	0.786544	0.0662282	0.0289647	0.00291351	0.00347064	0.0095135
a	7.23905e-05	0.00956191	0.050486	0.0489685	0.558984	0.21856	0.0642036	0.0064762	0.00523902	0.0374483
á	9.96945e-06	0.00848764	0.00180147	0.0684259	0.0365422	0.558781	0.204739	0.0934591	0.0134256	0.0143278
s	0.00224102	0.00821469	0.00749707	0.00940655	0.0214854	0.157576	0.553075	0.139987	0.0586047	0.0419126
á	0.00103153	0.00148561	0.00215949	0.00466631	0.0153356	0.0592026	0.396748	0.124518	0.12858	0.266273
á	9.44267e-05	0.0033853	0.000603319	0.00751872	0.0240485	0.0825446	0.277443	0.302779	0.11999	0.181594
b	0.000129793	0.00148767	0.000747995	0.00383766	0.00445625	0.0401903	0.338655	0.412056	0.15575	0.0426887
á	0.000215518	0.0050475	0.00155388	0.0019184	0.0557844	0.0986845	0.485484	0.186225	0.11572	0.049367
a	9.75508e-05	0.0101371	0.00301176	0.0045164	0.0184125	0.110137	0.264968	0.188417	0.195612	0.204692
k	8.26191e-05	0.000902302	0.00111099	0.00307845	0.00731275	0.0221215	0.232301	0.210512	0.175703	0.346876
a	0.00149775	0.00569217	0.0115574	0.0016124	0.108229	0.0245141	0.368588	0.188505	0.174279	0.115526
n	0.000993442	0.0026417	0.00714099	0.00188772	0.0409986	0.0301189	0.177107	0.0499346	0.136827	0.55235
g	6.20427e-05	0.00072011	0.00306953	0.00354362	0.0229321	0.0248029	0.237455	0.219786	0.211985	0.275644
á	0.00012376	0.00387696	0.00386775	0.00699401	0.0167469	0.0427688	0.158063	0.0798169	0.0879184	0.599823
k	3.38389e-05	0.00228032	0.001124	0.0101697	0.00191379	0.0247939	0.121333	0.219482	0.238651	0.380219
ó	0.000280054	0.0019755	0.0015722	0.000727858	0.0128376	0.0161956	0.155248	0.270195	0.242953	0.298015
r	0.000203216	0.00024201	0.00322664	0.000799029	0.0046379	0.012305	0.0830885	0.0406091	0.202577	0.652312
o	0.00025558	0.00203495	0.0153029	0.0149313	0.0117337	0.012833	0.0477977	0.0724374	0.225558	0.597116
</S>	1.7392e-05	0.0029467	0.000828404	0.00489702	0.00252187	0.0141807	0.0503159	0.0830879	0.0842782	0.756926
