 	après	s'	être	lavé	il	s'	habilla	</S>
l	0.451635	0.441349	0.0812429	0.0103051	0.0114606	0.00235189	0.00139033	0.000265032
ó	0.616257	0.317968	0.0158693	0.0138587	0.0100237	0.00819123	0.00876056	0.00907052
s	0.242327	0.57032	0.0176864	0.0336855	0.0288189	0.0141229	0.0181956	0.0748444
í	0.0905079	0.644996	0.00868653	0.0160446	0.0195097	0.0180179	0.00318615	0.199051
á	0.0657175	0.237992	0.128047	0.086579	0.0616022	0.0523055	0.0266844	0.341073
o	0.0923966	0.30034	0.276041	0.0555158	0.104349	0.077261	0.0195676	0.0745288
p	0.0290211	0.090069	0.0291332	0.815466	0.00655181	0.0104851	0.0129677	0.00630647
f	0.000997502	0.0171401	0.0179849	0.949966	0.00223413	0.00316919	0.00276033	0.00574797
ú	0.00420538	0.0298797	0.0107958	0.934164	0.0030475	0.00421834	0.00519314	0.00849661
b	0.00925231	0.0623785	0.104367	0.779698	0.00775773	0.00396939	0.00717834	0.0253988
h	0.169005	0.113103	0.109867	0.507952	0.0574434	0.00893678	0.0048725	0.0288207
á	0.0857652	0.104473	0.0783256	0.550371	0.0864454	0.00602489	0.0048279	0.0837664
m	0.00993479	0.0731239	0.352166	0.0867426	0.445411	0.0225024	0.00342074	0.00669821
á	0.00101302	0.0506423	0.0555185	0.00984166	0.721136	0.109676	0.00148261	0.05069
a	0.00354656	0.077793	0.138067	0.069317	0.430472	0.184417	0.073041	0.0233458
w	0.00224462	0.0161914	0.0291432	0.0337311	0.123105	0.458412	0.297568	0.0396047
a	0.00288854	0.030193	0.112774	0.0910316	0.183937	0.25889	0.185553	0.134732
a	0.00137388	0.00491208	0.0233842	0.0175249	0.187819	0.355296	0.25643	0.15326
l	0.00463169	0.0204945	0.047792	0.0179453	0.0427404	0.449029	0.34787	0.0694971
á	0.0049585	0.0166813	0.0218258	0.00822186	0.0198188	0.358808	0.348886	0.220799
r	0.00736878	0.00822804	0.0222062	0.00494149	0.042314	0.148406	0.608976	0.157559
í	0.124625	0.0299458	0.00547402	0.00158045	0.0442745	0.148257	0.400621	0.245222
i	0.00124277	0.00216002	0.00702966	0.00279353	0.0642167	0.144801	0.381356	0.396401
k	0.00161955	0.00513902	0.00717945	0.0191978	0.00927667	0.102625	0.732242	0.122721
á	0.000682698	0.00243183	0.00724219	0.0697836	0.00228175	0.0243372	0.861178	0.0320632
n	0.00166097	0.00423773	0.0257344	0.0737376	0.0210034	0.0539491	0.674638	0.145039
d	0.00178245	0.0011162	0.00570743	0.0670736	0.00775223	0.0230731	0.673962	0.219533
á	0.0457712	0.0149664	0.00777181	0.0193613	0.0327378	0.0402676	0.331513	0.507611
</S>	0.00320531	0.00410878	0.0140904	0.0105215	0.0249228	0.0811078	0.324271	0.537773
