 	le	mariage	nécessite	beaucoup	d'	argent	</S>
i	0.470938	0.467781	0.00828361	0.0244535	0.0272196	0.00092865	0.000395983
t	0.123933	0.751194	0.0884313	0.0189086	0.0113681	0.00188191	0.00428321
ώ	0.0410285	0.669968	0.263599	0.0129121	0.00652773	0.0017465	0.00421761
ω	0.0834754	0.748218	0.0746238	0.0265924	0.026641	0.0286416	0.0118082
l	0.600469	0.302446	0.0299777	0.0203844	0.0136775	0.000788616	0.032257
á	0.271106	0.161498	0.0721879	0.0636983	0.040758	0.011229	0.379523
m	0.599276	0.23173	0.044622	0.0302145	0.0300242	0.00867093	0.0554626
w	0.687024	0.0355312	0.133985	0.0417146	0.0181298	0.0472721	0.0363431
á	0.17932	0.077296	0.202632	0.11166	0.0284227	0.32577	0.0748993
s	0.81918	0.0151035	0.0126445	0.0101422	0.0107841	0.117307	0.0148385
í	0.357105	0.0871418	0.0585413	0.073103	0.0603924	0.1471	0.216617
l	0.179935	0.102642	0.356435	0.140839	0.154543	0.0069973	0.0586098
í	0.0325756	0.0227476	0.244699	0.118577	0.0679604	0.00889761	0.504543
i	0.119288	0.0491602	0.281143	0.216349	0.144076	0.027984	0.162
l	0.0107176	0.0068156	0.7764	0.103763	0.0502164	0.00893908	0.0431485
y	0.0102009	0.00301302	0.671506	0.167231	0.0782265	0.015817	0.0540056
e	0.022956	0.00814718	0.780375	0.112113	0.044384	0.00677658	0.0252482
m	0.0107993	0.0047497	0.312404	0.344957	0.223341	0.0298654	0.0738846
á	0.0150454	0.00423658	0.144658	0.259408	0.275058	0.155216	0.146378
m	0.00855392	0.00396714	0.0349163	0.289852	0.460923	0.15663	0.045158
b	0.00534996	0.000726232	0.00999133	0.0607472	0.0890655	0.70411	0.13001
ώ	0.000411105	4.62036e-05	0.000883891	0.0193856	0.0366093	0.929232	0.013432
n	0.000562143	0.00243088	0.015978	0.0354623	0.07642	0.848476	0.0206707
g	0.00762223	0.0217466	0.030215	0.12669	0.176892	0.406699	0.230135
ω	0.00725903	0.0128692	0.00661936	0.0618119	0.0797337	0.692674	0.139032
n	0.00461424	0.00506063	0.0122142	0.163876	0.197108	0.0877894	0.529337
d	0.0239376	0.020141	0.0180032	0.11974	0.247277	0.272158	0.298743
z	0.00546347	0.00726667	0.0117232	0.114437	0.150078	0.134214	0.576818
í	0.00120752	0.00155379	0.00494778	0.10661	0.120617	0.134226	0.630838
í	0.000379683	0.000360319	0.00731849	0.079835	0.0738303	0.0558163	0.78246
</S>	0.00575596	0.00357803	0.00495417	0.0651171	0.167458	0.0930863	0.660051
