 	c'	est	ma	grand-mère	qui	m'	a	élévé	</S>
k	0.363714	0.306983	0.0425884	0.144839	0.117155	0.0204209	0.00322141	5.85647e-05	0.00102089
a	0.108044	0.364146	0.0188385	0.450757	0.0412112	0.00503313	0.0019295	0.0011798	0.00886055
a	0.00870942	0.338554	0.0168472	0.588491	0.0277347	0.00490539	0.00368171	0.00173358	0.00934204
g	0.236544	0.401523	0.0773138	0.0927161	0.0307666	0.0166675	0.0244523	0.00456629	0.115451
h	0.0575178	0.24888	0.262485	0.0896045	0.22024	0.021723	0.0298679	0.000271304	0.0694101
á	0.0270887	0.158938	0.294913	0.156673	0.153354	0.0215157	0.0163482	0.00305197	0.168118
m	0.125151	0.0469677	0.387268	0.267906	0.0593342	0.0421171	0.0255085	0.0136012	0.0321465
o	0.185918	0.0914592	0.276239	0.150868	0.190424	0.0184809	0.0673799	0.000554163	0.0186762
r	0.138738	0.0983099	0.235995	0.296411	0.181383	0.00848101	0.0304566	0.00163533	0.00858976
o	0.0457463	0.0705428	0.504755	0.185231	0.135927	0.00851788	0.0112586	0.000696287	0.0373253
y	0.0329736	0.0374053	0.28123	0.2443	0.248891	0.0371382	0.0884719	0.0104276	0.019163
a	0.0726222	0.106798	0.31568	0.242098	0.182372	0.0330092	0.0268113	0.00221367	0.0183965
a	0.0189976	0.00592142	0.311868	0.0706959	0.297576	0.205643	0.0683864	0.0104137	0.0104976
y	0.00419954	0.0160202	0.127337	0.0264312	0.074965	0.0950476	0.243932	0.35405	0.0580163
ó	0.00110652	0.00213695	0.0455135	0.0265758	0.0276068	0.0262286	0.136586	0.712073	0.0221728
l	0.00143492	0.00286715	0.0374892	0.0242664	0.036984	0.0151206	0.238529	0.590594	0.0527146
í	0.000992319	0.00537168	0.0252341	0.0565435	0.0744422	0.0223188	0.119867	0.596668	0.0985622
s	0.00194936	0.00371409	0.197506	0.144795	0.132147	0.251153	0.0821586	0.116166	0.0704103
á	0.00163686	0.00675635	0.0982819	0.0575595	0.0785667	0.0418978	0.0543462	0.590719	0.0702354
n	0.0035783	0.00213992	0.123885	0.0167296	0.193701	0.452392	0.0821842	0.0463005	0.0790884
g	0.000478709	0.000473914	0.154586	0.00120234	0.0294533	0.766807	0.00741834	0.0155631	0.0240176
á	0.000195883	0.000280708	0.075031	0.00177649	0.0285291	0.850152	0.0117671	0.00937044	0.0228974
</S>	0.00912686	0.00665253	0.0346247	0.0346196	0.195485	0.0670916	0.0944855	0.0361141	0.5218
