 	il	s'	est	battu	avec	son	meilleur	ami	</S>
w	0.801205	0.104849	0.0236825	0.0392746	0.01702	0.00879641	0.00171769	0.00322367	0.000230921
a	0.714441	0.0745148	0.0147089	0.0625803	0.0750221	0.0388685	0.00174504	0.0180366	8.26103e-05
á	0.0993926	0.486486	0.282493	0.0539013	0.0370604	0.0291312	0.00524332	0.000948113	0.00534419
b	0.0352441	0.290131	0.405695	0.196719	0.0193957	0.0151489	0.0131555	0.00528025	0.0192303
v	0.0044266	0.0434447	0.306733	0.465512	0.0756891	0.0301045	0.0131476	0.00638224	0.0545606
u	0.00877629	0.0291221	0.148133	0.769161	0.0321146	0.0075888	0.000782413	0.00136311	0.00295928
n	0.00582836	0.030768	0.236952	0.459253	0.167303	0.0267045	0.00511104	0.0105707	0.05751
u	0.0223796	0.0611545	0.148837	0.365122	0.312624	0.0685554	0.00753465	0.000230392	0.0135626
b	0.0168472	0.0945839	0.107876	0.240086	0.355525	0.150963	0.0257169	0.00287831	0.00552344
á	0.0703003	0.0154237	0.0261924	0.273121	0.348761	0.248165	0.0132041	0.00211143	0.00272095
a	0.0688644	0.0189735	0.018227	0.0966054	0.25729	0.479093	0.0340772	0.00661067	0.0202582
l	0.00147102	0.0115241	0.0500252	0.122125	0.290097	0.285137	0.130298	0.0559468	0.0533765
a	0.000397924	0.00764884	0.0311747	0.0859412	0.130257	0.190942	0.100918	0.140425	0.312296
n	0.000113686	0.00307997	0.0245116	0.0463813	0.112451	0.141042	0.33396	0.0351732	0.303288
d	0.00136802	0.00876479	0.0196622	0.0515931	0.229612	0.368662	0.214903	0.0371256	0.0683092
ú	0.0024845	0.00789712	0.0116438	0.0406455	0.250644	0.350222	0.214523	0.0118019	0.110138
ú	0.00102321	0.00362265	0.00876524	0.012852	0.150605	0.3951	0.263029	0.0340089	0.130994
y	0.0029483	0.00443872	0.0100182	0.0087907	0.0692561	0.129905	0.590211	0.128095	0.0563369
a	0.00262116	0.0177412	0.0426516	0.00936911	0.0695285	0.105885	0.64241	0.0366229	0.0731706
w	0.00497945	0.00873899	0.0113341	0.0255441	0.0692283	0.145519	0.527401	0.0218589	0.185396
a	0.00986945	0.00619806	0.0341088	0.0448158	0.0459712	0.164205	0.583208	0.0436071	0.0680161
</S>	0.000272142	0.00102119	0.00329481	0.00258595	0.0143233	0.0784935	0.354179	0.19022	0.35561
