 	il	a	mouillé	ses	habits	</S>
w	0.925261	0.0673811	0.00149584	0.00485991	0.000795706	0.000205951
a	0.688274	0.246655	0.0110178	0.0508881	0.00298267	0.000181934
á	0.198748	0.566449	0.176309	0.046101	0.00114638	0.0112462
b	0.0215237	0.0850139	0.856021	0.0192149	0.0035244	0.0147021
ω	0.00824083	0.0184631	0.938845	0.0128809	0.0053226	0.0162475
ω	0.0161016	0.0365325	0.847901	0.024794	0.0398981	0.0347726
s	0.0860288	0.11526	0.131502	0.637104	0.0173395	0.0127659
i	0.0699998	0.0536516	0.285009	0.352185	0.0163449	0.222809
i	0.0336556	0.153645	0.0210333	0.63622	0.0968872	0.0585586
k	0.00339262	0.00766961	0.0334	0.0859271	0.835163	0.0344476
á	0.00016904	0.000487275	0.0042508	0.0184267	0.962406	0.0142599
n	0.000872845	0.00206046	0.119237	0.0586706	0.804791	0.0143679
d	0.000821688	0.00262525	0.01369	0.116876	0.784921	0.081066
á	0.0226317	0.022781	0.0441205	0.118699	0.524193	0.267575
</S>	0.00415789	0.00524348	0.0115493	0.282924	0.130143	0.565982
