 	j'	ai	caché	de	l'	argent	là	</S>
n	0.952545	0.0215729	0.00650409	0.00963586	0.00603584	0.00313642	0.000478326	9.19743e-05
g	0.987218	0.00686054	0.000186803	0.00190885	0.00119737	0.00255714	5.66863e-05	1.43884e-05
á	0.926205	0.0474869	0.000988242	0.00731951	0.00546672	0.0112016	0.00117167	0.000160747
í	0.131706	0.194267	0.0122106	0.0909127	0.0970937	0.154057	0.0519398	0.267813
b	0.0698228	0.409589	0.326587	0.0802405	0.0326029	0.0208925	0.01386	0.0464057
h	0.000739759	0.0441359	0.92435	0.0193914	0.00483816	0.000884114	0.00255126	0.00310908
í	0.000189031	0.0478476	0.842824	0.100204	0.00743969	0.000525537	0.000376547	0.000593995
s	0.00172303	0.0233982	0.758538	0.0980168	0.0375943	0.00470104	0.0215905	0.0544384
i	0.000679016	0.0291902	0.185392	0.532585	0.182227	0.00603382	0.0168223	0.047071
m	0.00513383	0.0499001	0.0157206	0.277032	0.373607	0.147726	0.0555371	0.0753438
b	0.000353681	0.0056605	0.000464039	0.0283462	0.168772	0.650325	0.0381097	0.107969
ώ	2.13623e-05	0.00165007	0.00117554	0.0238483	0.1418	0.792173	0.0311163	0.00821623
n	4.92921e-06	0.000543883	0.00430805	0.0445414	0.292446	0.52492	0.105956	0.0272797
g	0.000468568	0.00335119	0.000567026	0.0947158	0.43892	0.259012	0.0455328	0.157433
ω	0.00166422	0.00117481	0.000117246	0.0179427	0.136326	0.733379	0.037197	0.0721984
b	0.000338572	0.00646933	0.00329525	0.164029	0.208353	0.121115	0.311429	0.184971
h	0.00788496	0.00528166	0.0311071	0.227782	0.230216	0.0263766	0.272866	0.198486
έ	0.00012479	0.000834208	0.00487767	0.0899138	0.178015	0.116551	0.383082	0.226601
ε	2.80242e-05	0.000593246	0.00101874	0.0323158	0.0792205	0.0394221	0.40249	0.444911
</S>	7.61954e-05	0.00167284	0.00165962	0.0301472	0.0363625	0.0114003	0.42636	0.492321
