 	cet	enfant	est	trop	grincheux	</S>
m	0.88253	0.115041	0.00128727	0.000405672	0.000657046	7.90441e-05
w	0.163074	0.83037	0.00490689	0.000478239	8.3176e-06	0.00116251
á	0.00629236	0.993679	2.18725e-05	1.46378e-06	1.72765e-06	3.81466e-06
n	0.131218	0.866753	0.00025504	2.49407e-05	3.41978e-06	0.00174584
a	0.162656	0.718439	0.0308037	0.00609083	0.000103359	0.0819076
w	0.898628	0.0390267	0.0362805	0.0129489	0.00234529	0.0107702
ó	0.406936	0.140269	0.23614	0.0719079	0.00600177	0.138745
a	0.119259	0.112882	0.552514	0.0761465	0.00181836	0.13738
p	0.00341756	0.00169058	0.379661	0.495868	0.0394773	0.0798863
é	0.00135122	0.00125951	0.246753	0.543494	0.159374	0.0477674
n	0.00348989	0.000559688	0.168781	0.543731	0.230617	0.0528211
d	0.0154834	0.00200001	0.345516	0.447355	0.157214	0.032432
í	0.0155909	0.00634533	0.327548	0.565446	0.0330358	0.0520346
o	0.0889337	0.0657143	0.377975	0.17038	0.103144	0.193853
k	0.000796982	0.00130751	0.0296539	0.112057	0.809635	0.046549
a	5.95029e-05	4.20654e-05	0.00446442	0.044425	0.898507	0.0525019
y	0.000155251	0.000142656	0.034423	0.123324	0.762401	0.0795541
i	0.000270934	9.86645e-06	0.0348735	0.30969	0.449414	0.205741
</S>	0.00265357	0.000414954	0.066082	0.153128	0.140283	0.637438
