 	qui	est	celui	qui	cajole	cet	enfant	</S>
o	0.420744	0.286155	0.174109	0.0808766	0.0222952	0.015521	0.00013498	0.000163979
k	0.000264212	0.0008004	0.00321224	0.0128978	0.978935	0.000370292	0.00209422	0.00142558
w	0.0108996	0.00629342	0.00371391	0.00682158	0.957688	0.00358469	0.00116264	0.00983642
ω	0.000599603	0.00362343	0.00433264	0.0134476	0.900796	0.00241642	0.0105668	0.0642175
s	0.098576	0.111548	0.0382193	0.10416	0.419273	0.154219	0.0243994	0.0496061
i	0.0688002	0.0410237	0.021379	0.0568374	0.574705	0.112225	0.00642428	0.118606
m	0.0246102	0.0436854	0.0105935	0.0132226	0.0075413	0.692157	0.152893	0.0552968
w	0.0121068	0.0020332	0.000142054	0.00031888	0.000321538	0.142022	0.823165	0.0198902
á	0.00010912	2.42558e-05	7.10495e-06	1.49813e-05	4.12742e-05	0.00106346	0.998674	6.61545e-05
n	0.00910007	0.00296422	0.000897765	0.00168053	0.000105769	0.101543	0.882222	0.00148668
a	0.00324536	0.00293175	0.0017712	0.00256792	4.24759e-05	0.0921349	0.890747	0.00655973
w	0.0282362	0.031065	0.0266157	0.0414005	0.00402484	0.642211	0.0213813	0.205065
ú	0.0721927	0.0760892	0.0324558	0.0724588	0.0675163	0.374948	0.0718969	0.232443
u	0.039219	0.0243799	0.0280488	0.0364195	0.00855373	0.0180186	0.00754737	0.837813
á	0.0437509	0.0549215	0.0552395	0.0484315	0.00781522	0.111189	0.0212089	0.657443
d	0.00482446	0.00544385	0.0138393	0.038103	0.00926978	0.035038	0.00909465	0.884387
í	0.00821184	0.00400773	0.00724312	0.0174061	0.0018128	0.0335176	0.0244846	0.903316
n	0.0400925	0.0123088	0.0306414	0.0393368	0.00305423	0.190741	0.0262726	0.657553
d	0.00183275	0.00114565	0.00078025	0.00285969	0.000125657	0.136949	0.410465	0.445843
a	0.00107428	0.000321968	0.000361931	0.00177888	0.000533753	0.0399501	0.0462787	0.9097
</S>	0.00111419	0.000826882	0.000474199	0.00133464	0.00207995	0.0594038	0.0110462	0.92372
