 	je	tire	les	mangues	à	l'	aide	d'	un	cro	chet	</S>
n	0.979934	0.00327042	0.0104868	0.00107872	0.00176992	0.00110449	0.00084409	0.00080928	0.000274172	0.000152819	0.000240164	3.56582e-05
g	0.998982	0.000308856	0.000220684	0.000245402	2.65886e-05	2.42206e-05	2.88661e-06	6.57192e-06	3.47733e-06	1.48639e-05	0.000161756	2.76139e-06
á	0.993664	0.0036854	0.000698383	0.00124892	3.7286e-05	6.73025e-05	2.97518e-05	4.3888e-05	3.45793e-05	9.94767e-05	0.000381292	9.38771e-06
l	0.333465	0.0539515	0.186362	0.0587149	0.0408871	0.0473497	0.0172206	0.0397019	0.0260974	0.0201103	0.0235642	0.152575
í	0.60258	0.106713	0.031086	0.0308289	0.0141305	0.0162904	0.00941092	0.011121	0.0399729	0.0444536	0.0477748	0.0456382
i	0.0568411	0.188847	0.293129	0.0930579	0.0383444	0.0356879	0.00529098	0.0265019	0.0336152	0.0454521	0.0598132	0.12342
y	0.00250073	0.902042	0.0778222	0.00296807	0.0014649	0.000957465	0.00106031	0.00102974	0.00201444	0.00206706	0.0011481	0.00492507
i	0.000472585	0.994639	0.00407117	0.000384383	3.14886e-05	7.01695e-06	4.03237e-06	7.54291e-06	1.60113e-05	1.93346e-05	8.7393e-05	0.00025957
m	0.0644756	0.629735	0.137179	0.0659842	0.0115101	0.00400135	0.00128529	0.00524947	0.00633832	0.0131711	0.00800269	0.0530686
b	0.00802952	0.29203	0.241039	0.229589	0.0676778	0.0282566	0.0092493	0.0263171	0.0130707	0.0237233	0.0048173	0.0562008
á	0.00601585	0.00993557	0.272674	0.297489	0.135066	0.0822954	0.0247963	0.0704844	0.0248604	0.00524748	0.00216965	0.0689659
a	0.00771513	0.00132226	0.230684	0.495606	0.102028	0.0513816	0.0482288	0.0337161	0.0119598	0.00713239	0.00613527	0.00409048
m	0.0105996	0.0143431	0.402376	0.311008	0.136807	0.0365386	0.0225792	0.0210076	0.0134719	0.00970007	0.0138972	0.00767124
b	5.3825e-05	0.00394051	0.0257151	0.759784	0.0277645	0.0304577	0.0310272	0.0285027	0.0400295	0.00526592	0.00633218	0.0411271
á	1.21708e-05	0.000951512	0.0362677	0.758986	0.0211383	0.0273543	0.0296195	0.0344103	0.041384	0.00571729	0.033608	0.0105503
n	4.69176e-05	0.00159088	0.0135774	0.72597	0.0389019	0.0316244	0.053972	0.0386652	0.0261986	0.00255782	0.0031207	0.0637737
g	0.00357755	0.00180752	0.176285	0.225389	0.189809	0.105546	0.0606422	0.102466	0.053574	0.0118067	0.00684923	0.0622481
é	0.0272145	0.00129707	0.0496595	0.333208	0.0985516	0.0819811	0.130936	0.108688	0.0434188	0.0141308	0.0447107	0.0662041
m	0.000447728	0.000221459	0.015119	0.00460019	0.100353	0.154284	0.0864838	0.170926	0.173283	0.157011	0.0546513	0.0826187
í	4.38278e-05	0.000883637	0.0103677	0.0102654	0.0437087	0.115182	0.0582509	0.234789	0.151134	0.169238	0.0328346	0.173303
s	0.00108182	0.000577155	0.00677786	0.00425912	0.0262411	0.0414315	0.0179033	0.0653476	0.072776	0.0631899	0.651875	0.0485399
ω	0.000465506	0.00281829	0.0011306	0.00516599	0.00416129	0.00696221	0.000885911	0.0126906	0.011053	0.0564069	0.782662	0.115597
r	1.23588e-05	5.79834e-05	0.000518807	0.000579928	0.00255066	0.00752422	0.00652985	0.0109123	0.0218028	0.0318948	0.902506	0.0151101
ω	1.33011e-05	6.92533e-05	0.000299155	0.00085788	0.00398917	0.0155333	0.00973859	0.0350693	0.0846391	0.342212	0.397395	0.110184
ω	4.37704e-05	2.61336e-05	0.00109548	0.0012604	0.0144348	0.0467545	0.0311879	0.0792587	0.134593	0.179876	0.347407	0.164062
</S>	0.000280551	0.000517815	0.016023	0.00326958	0.0467071	0.0677445	0.0434483	0.105606	0.11327	0.121011	0.192412	0.28971
