 	mbomi	ne	sait	pas	fabriquer	la	nasse	kokora	</S>
m	0.800966	0.178898	0.00350629	0.00615851	0.00332188	0.00357692	0.00253555	0.001008	2.96516e-05
b	0.993885	0.00508599	3.4165e-05	8.13895e-05	0.000385704	0.000218414	0.000226805	1.70535e-06	8.12355e-05
o	0.960426	0.0111777	0.00158268	0.00156272	0.0161647	0.00398002	0.00316001	0.000866985	0.00107939
m	0.826785	0.141323	0.00693972	0.00231405	0.010597	0.0052396	0.00367808	5.87125e-05	0.00306482
i	0.976102	0.0190098	0.00090674	0.00130589	0.000880817	0.000602387	0.000247823	3.70975e-05	0.000907569
a	0.258355	0.593329	0.0828745	0.0149445	0.00469492	0.00976571	0.00229152	0.000411021	0.0333335
d	0.0106856	0.494423	0.361124	0.0468527	0.0123861	0.0343149	0.00399116	0.000431402	0.0357915
í	0.0179213	0.402073	0.290379	0.0843937	0.0174836	0.0457303	0.00306275	1.86556e-05	0.138938
o	0.00413142	0.164445	0.483667	0.142634	0.0153983	0.0371095	0.0109882	0.00372076	0.137906
b	0.00236313	0.0201862	0.796234	0.111024	0.0435236	0.0161057	0.00256701	0.00352387	0.004472
h	0.00374915	0.00525734	0.833147	0.0424599	0.0533404	0.0428441	0.0033782	0.00389238	0.0119311
e	0.0189901	0.0129866	0.724809	0.0643994	0.0822821	0.0724736	0.0125168	0.00148647	0.0100561
r	0.00928881	0.0154885	0.305488	0.237743	0.0850947	0.135195	0.0286568	0.0344914	0.148553
á	0.0129332	0.00959517	0.0897332	0.246934	0.219241	0.161042	0.057847	0.0138583	0.188817
o	0.00168348	0.00806346	0.0713593	0.299057	0.316507	0.0899057	0.0942577	0.0922091	0.0269578
t	0.00319397	0.0116601	0.0932737	0.125083	0.325756	0.289284	0.0438054	0.0972385	0.0107054
ó	0.00325254	0.00327627	0.192511	0.162852	0.183561	0.231959	0.0440991	0.111762	0.066727
n	0.00170553	0.00287468	0.195009	0.132503	0.182863	0.194476	0.0589879	0.0636853	0.167895
g	0.00675818	0.00449403	0.053499	0.142223	0.219386	0.217863	0.0683174	0.10928	0.17818
á	0.00143376	0.00199406	0.0190009	0.0994373	0.319131	0.0908451	0.167608	0.242907	0.0576431
k	0.000734583	0.0032432	0.00573165	0.0577133	0.0529826	0.271822	0.22362	0.126227	0.257926
o	0.000168876	0.000575856	0.00409017	0.0184525	0.00819023	0.0490893	0.034168	0.827447	0.0578178
k	0.00115277	0.000900241	0.0214077	0.0233746	0.0240596	0.0683608	0.0693352	0.71068	0.0807289
ó	0.000542996	0.000682187	0.00374214	0.011776	0.00337751	0.0287576	0.0310166	0.845966	0.0741391
r	0.00216594	0.0067945	0.00559342	0.0381449	0.0853901	0.218074	0.222642	0.229877	0.191318
á	0.0100757	0.00542759	0.0177913	0.0478313	0.0929803	0.184942	0.191767	0.215801	0.233384
k	0.00751501	0.00903686	0.021061	0.0619963	0.0537506	0.169847	0.184197	0.158562	0.334033
a	0.00122856	0.00147757	0.0103936	0.0235287	0.00713452	0.0611083	0.0493537	0.761785	0.08399
á	0.00060176	0.000277084	0.00719037	0.00676209	0.00683789	0.0511841	0.0352081	0.546589	0.345349
</S>	0.00112501	0.0235954	0.0204534	0.0508699	0.05591	0.238684	0.142525	0.0165568	0.45028
