 	la	marmite	est	brûlante	</S>
n	0.37516	0.60913	0.0143722	0.00125556	8.24507e-05
z	0.609878	0.389289	0.000621102	0.000134849	7.78223e-05
ú	0.0340081	0.964415	0.000218241	0.00116553	0.000193428
n	0.0394976	0.959896	0.000121576	0.000368446	0.000116446
g	0.674555	0.252399	0.0287032	0.00104243	0.0433004
u	0.499717	0.474611	0.0125083	0.000739218	0.0124241
é	0.0524581	0.0337183	0.866288	0.0008553	0.0466805
d	0.26598	0.0530587	0.590639	0.00558825	0.0847347
í	0.0151025	0.000647758	0.167525	0.0230195	0.793706
l	0.0321952	0.00503538	0.249371	0.185113	0.528285
a	0.00901107	0.00155927	0.178172	0.208707	0.602551
m	0.0228617	0.00480273	0.0826935	0.804489	0.0851536
í	0.00359932	7.69332e-05	0.0249969	0.949166	0.0221607
á	0.0065222	9.11331e-05	0.0178992	0.928209	0.047278
</S>	0.00326393	0.001511	0.0465535	0.288089	0.660583
