 	qui	est-ce	qui	a	accroché	son	vêtement	sur	la	pointe	</S>
m	0.352515	0.379384	0.144177	0.065047	0.0337994	0.0187865	0.00263417	0.00236289	0.00081126	0.000294441	0.000188933
o	0.0690661	0.71816	0.177242	0.0144916	0.00231826	0.00427723	0.000306626	0.00505111	0.00516854	0.000119365	0.00379885
r	0.27629	0.595927	0.0919373	0.028813	0.00460675	0.000823641	0.000232767	0.000597674	0.000388299	5.09454e-05	0.00033287
o	0.391733	0.244454	0.247605	0.0440199	0.0151599	0.0198693	0.0229134	0.00407133	0.00301627	0.00355712	0.00360101
y	0.357086	0.318533	0.28728	0.0280212	0.00248625	0.00256283	0.000190858	0.000791287	0.000498912	6.24859e-05	0.00248703
e	0.224142	0.302615	0.378448	0.034513	0.0058315	0.0273346	0.00306903	0.00353721	0.00337761	0.00790858	0.00922279
é	0.301646	0.127255	0.329795	0.111394	0.0218596	0.0635724	0.0033619	0.00767417	0.00887352	0.0086587	0.0159098
p	0.0231575	0.0172159	0.116392	0.587194	0.142226	0.0206869	0.0415865	0.016107	0.00670104	0.00222632	0.0265065
a	0.000665255	0.0010898	0.0186287	0.348336	0.520599	0.0133207	0.0827768	0.00309173	0.000606645	0.00105602	0.00982953
n	0.00107474	0.00230606	0.0301504	0.269822	0.607224	0.032066	0.0519259	0.00238935	0.000559115	0.000391336	0.00209034
y	0.0140752	0.00489817	0.0281244	0.163853	0.585627	0.146854	0.0238964	0.0111156	0.0036901	0.00278918	0.0150772
í	0.034412	0.00393888	0.0420193	0.114341	0.509601	0.195123	0.0272604	0.0126913	0.00734732	0.0102602	0.0430054
o	0.00749093	0.00970894	0.0522682	0.0713237	0.138642	0.686732	0.013124	0.00922566	0.00447749	0.00154173	0.00546539
k	0.000739175	0.00116743	0.00339596	0.0310877	0.0954168	0.141118	0.713856	0.0076741	0.00152199	0.00136467	0.00265869
á	0.000155137	5.13489e-05	0.000269333	0.00798863	0.0837584	0.0147582	0.87895	0.00526707	0.00175795	0.00223451	0.00480907
n	0.000334376	0.000210394	0.00112581	0.0282609	0.197383	0.0656835	0.672328	0.00686813	0.00330697	0.00814754	0.0163507
d	0.000420933	6.81485e-05	0.000788925	0.0251982	0.190973	0.158959	0.564772	0.0224319	0.00617736	0.00394626	0.0262646
á	0.00715551	0.00128989	0.00614576	0.019089	0.184495	0.114373	0.500861	0.0253643	0.011831	0.00454603	0.12485
m	0.00906424	0.00439567	0.00667304	0.01368	0.0453454	0.306109	0.193138	0.281207	0.0981349	0.026158	0.0160936
ó	0.0323433	0.0296305	0.00493523	0.00248552	0.00350678	0.0591974	0.0105462	0.325699	0.257102	0.040768	0.233786
t	0.0172051	0.00450435	0.00705264	0.00271299	0.008159	0.0910086	0.151364	0.258486	0.158475	0.273584	0.0274477
s	0.00264812	0.00110472	0.00141062	0.00295309	0.0124968	0.0427855	0.218558	0.1489	0.100201	0.415294	0.0536487
έ	0.000176472	2.82692e-05	8.93989e-05	0.000573058	0.00622566	0.0140546	0.0684533	0.110067	0.168332	0.582348	0.0496522
l	0.000220439	5.55206e-05	0.000173369	0.00193139	0.00858236	0.0475062	0.0834134	0.152801	0.12086	0.270248	0.314209
έ	0.000367813	0.000115379	0.000429899	0.00213118	0.0151039	0.0470199	0.107925	0.196853	0.159278	0.249394	0.221382
á	0.000715543	0.000201807	0.000776006	0.00120116	0.00143458	0.0122409	0.0176616	0.288284	0.22615	0.0751766	0.376157
d	0.0054214	0.00562947	0.0161765	0.0414221	0.0122458	0.0293884	0.0449127	0.330377	0.193726	0.0618699	0.258831
z	0.00076464	0.00237675	0.00542387	0.0114328	0.000970722	0.00455553	0.00508512	0.0672548	0.0375891	0.0118177	0.852729
e	0.00498301	0.00564718	0.0147622	0.01249	0.00752273	0.0575892	0.003897	0.249607	0.18343	0.134501	0.325571
n	0.00224351	0.000536161	0.00223127	0.0026611	0.00265906	0.0246111	0.0113504	0.194846	0.291074	0.134243	0.333544
d	0.0013276	0.00142603	0.00286735	0.00249648	0.00298002	0.0133346	0.0063752	0.147059	0.285396	0.147261	0.389476
a	0.0017801	0.00216531	0.0033812	0.000726737	0.00152479	0.00555693	0.00475999	0.0757019	0.154996	0.0694754	0.679931
</S>	0.000217146	0.000108763	0.00021103	0.000310218	0.0017108	0.0073409	0.00935819	0.134664	0.238152	0.0904576	0.517469
