 	j'	ai	des	irruptions	cutanées	dues	aux	piqûres	des	moucherons	</S>
n	0.676194	0.202822	0.073929	0.0233594	0.00162164	0.00740431	0.0111168	0.00175178	0.000814708	0.000880441	0.000105718
g	0.768898	0.12496	0.0445029	0.0517373	0.000136345	0.00671651	0.00220176	0.000278298	0.000177256	0.00038011	1.05497e-05
á	0.322372	0.0949738	0.0518254	0.522294	0.001099	0.00389865	0.000759099	0.00222994	0.000111074	0.000407178	2.93716e-05
n	0.0279089	0.173114	0.209465	0.387203	0.0125967	0.0442904	0.0288015	0.00970677	0.0342813	0.00509537	0.0675362
d	0.142894	0.105261	0.163372	0.302587	0.00449475	0.0865598	0.033187	0.0736005	0.0340318	0.00501544	0.0489967
z	0.0401811	0.18649	0.236176	0.354874	0.0200523	0.0478771	0.011285	0.0214297	0.0125503	0.0111317	0.057953
ó	0.0286149	0.0654538	0.372319	0.290658	0.0514028	0.114105	0.0141758	0.0213191	0.00692765	0.00972714	0.0252963
r	0.0564813	0.164676	0.317683	0.247801	0.0433698	0.0334927	0.0186099	0.0458663	0.0142893	0.0155445	0.0421854
o	0.0359419	0.0475431	0.210494	0.227045	0.0340973	0.0275004	0.0524827	0.0539019	0.033228	0.0345868	0.243178
é	0.0100988	0.144681	0.334439	0.378932	0.068976	0.0219229	0.0119745	0.00367072	0.0109291	0.000941627	0.0134337
m	0.00138512	0.0357462	0.08612	0.320936	0.524458	0.00994653	0.00612654	0.00155148	0.00495733	0.00148563	0.00728705
i	0.000518592	0.00790379	0.0351022	0.00768864	0.403316	0.285656	0.0893812	0.0384009	0.0696691	0.00333896	0.0590241
s	3.90993e-06	0.000484815	0.00798757	0.018867	0.961618	0.00461285	0.00228596	0.00127344	0.000811319	0.000431459	0.00162324
u	5.03607e-06	0.000592233	0.00958993	0.0105326	0.972583	0.00311577	0.000971038	0.000640881	0.000370639	0.000233514	0.0013655
r	2.04005e-05	0.000385455	0.00238012	0.00718112	0.974691	0.00486458	0.00209427	0.000770267	0.00118536	0.0013749	0.0050528
á	0.00107869	0.00331675	0.0238599	0.0235788	0.274064	0.334053	0.177299	0.0176467	0.0508477	0.029112	0.0651437
m	0.000847879	0.0094176	0.0185866	0.0263906	0.00754388	0.532895	0.348416	0.0230864	0.0220646	0.00531999	0.00543204
ó	0.000197069	0.000366482	0.000977062	0.000147591	0.0017495	0.617927	0.176441	0.130346	0.0316509	0.00252748	0.0376708
m	1.45993e-05	0.00025908	0.00133707	0.000423284	0.00554996	0.170378	0.435877	0.331652	0.0319571	0.00585214	0.0166992
í	3.09009e-05	0.000268245	0.00167033	0.000375653	0.0056713	0.489076	0.18977	0.150095	0.0790782	0.00892103	0.0750441
n	1.65863e-05	0.000258437	0.0013044	0.00034518	0.0117737	0.162525	0.313153	0.383756	0.0689188	0.0323972	0.0255518
a	0.000527714	0.00319082	0.00999837	0.00550126	0.00237082	0.231544	0.153781	0.496815	0.0366079	0.0150218	0.0446409
m	2.79865e-05	0.000227243	0.00122205	0.00158733	0.00177671	0.110768	0.382815	0.222714	0.176628	0.0438549	0.0583793
á	0.000285734	0.000219086	0.000226445	5.89805e-05	0.00041977	0.0562466	0.102887	0.120711	0.138531	0.0413311	0.539084
k	0.000333074	0.00296765	0.00215506	0.000886682	0.00275353	0.050082	0.119712	0.157846	0.244911	0.345409	0.0729439
u	6.2709e-05	0.00052558	0.000609935	0.000168067	0.00102193	0.00776563	0.120868	0.18854	0.0551039	0.542835	0.0824991
r	0.000402305	0.000396484	0.00130111	0.000219939	0.00771391	0.0236304	0.127144	0.144987	0.0647497	0.585099	0.0443558
u	0.00121976	0.000170519	0.000491904	0.000159166	0.016993	0.0736237	0.161749	0.127127	0.0548197	0.469037	0.0946095
k	4.46346e-05	0.00013052	0.000502926	0.00100207	0.000396957	0.0194626	0.067417	0.101822	0.395219	0.163768	0.250234
ú	0.000783053	0.000529016	0.000422259	0.000128573	0.000331169	0.00285823	0.0339144	0.0109531	0.115767	0.441397	0.392916
ú	9.41841e-05	5.72796e-05	0.000159755	2.61327e-05	0.0004597	0.00334002	0.0193194	0.0108115	0.0427788	0.69513	0.227823
r	1.68815e-05	7.60462e-05	0.000234689	5.93725e-05	0.000541266	0.00683634	0.0186981	0.030392	0.174562	0.370922	0.397661
ú	0.000133547	5.42248e-05	0.000180358	0.000140447	0.00121493	0.0122375	0.0271228	0.0536964	0.104903	0.590408	0.209909
</S>	0.00045665	0.000739111	0.00252373	0.00214026	0.00161391	0.0273777	0.0343302	0.0462697	0.247668	0.144194	0.492687
