 	autant	hier	j'	étais	heureux	autant	je	suis	triste	aujourd'	hui	</S>
n	0.812903	0.144755	0.0268015	0.000623062	0.000341091	0.00271151	0.00596236	0.00262992	0.000961851	0.00173142	0.000553074	2.5944e-05
d	0.763021	0.0202886	0.204642	0.000257394	2.50034e-05	0.00076503	0.00916608	0.000830689	0.000613153	0.000362474	1.81509e-05	1.07547e-05
é	0.238718	0.17014	0.286676	0.0166665	0.00374345	0.0276459	0.212789	0.00762809	0.0323672	0.00138105	0.00190872	0.000336404
n	0.0645032	0.459287	0.0759934	0.0438571	0.00670853	0.0836608	0.174881	0.0431251	0.040575	0.00307185	0.000176774	0.00416021
g	0.314534	0.0990531	0.0487268	0.0304814	0.0098565	0.045832	0.100393	0.0751409	0.111413	0.0180209	0.000273577	0.146275
é	0.438934	0.133058	0.126937	0.0100016	0.000812235	0.0262579	0.166649	0.0180109	0.0653322	0.00172475	6.5193e-05	0.0122167
y	0.359601	0.467891	0.0544545	0.0340528	0.018225	0.00897361	0.00442065	0.0124016	0.0028782	0.0194064	0.000871575	0.0168243
é	0.346819	0.344511	0.163639	0.0562486	0.00967348	0.0209169	0.0345885	0.00891482	0.00427602	0.0027492	0.00033872	0.00732508
é	0.134214	0.368482	0.0972621	0.164424	0.0659102	0.039357	0.0168166	0.0141717	0.00547797	0.0177915	0.00362546	0.0724668
d	0.118216	0.0359692	0.0458196	0.62147	0.0755234	0.0194325	0.0113246	0.0183283	0.00614012	0.00660941	0.00408961	0.0370778
z	0.0146746	0.00758047	0.00394316	0.47774	0.393042	0.0318892	0.00207304	0.0145428	0.00356744	0.00467258	0.000192079	0.0460825
e	0.0381189	0.0105994	0.00894602	0.917011	0.0202531	0.00211961	0.000416115	0.000766589	0.000368553	0.000125769	1.24203e-05	0.0012624
n	0.0459735	0.00646801	0.122987	0.201394	0.321066	0.0890533	0.0242995	0.0605195	0.014238	0.0504059	0.00629868	0.0572968
g	0.0319162	0.0166465	0.429138	0.0424037	0.00557778	0.0325345	0.240864	0.0291015	0.0950771	0.011704	0.00092757	0.0641087
á	0.0138145	0.00379216	0.575678	0.0860903	0.0139852	0.0559785	0.206851	0.011925	0.0257661	0.00175308	8.64935e-05	0.00428021
l	0.00539426	0.00138136	0.0535216	0.254899	0.464754	0.12044	0.0165548	0.0219233	0.00580284	0.028085	0.00406133	0.0231823
a	0.00686142	0.00540532	0.10867	0.0842017	0.264926	0.104198	0.0606371	0.0542874	0.0363527	0.039087	0.00255262	0.23282
ε	0.00122427	0.00416816	0.0131345	0.0723601	0.733804	0.0980709	0.011391	0.0160786	0.00759202	0.00858897	0.0020753	0.0315119
s	0.000492924	0.00129421	0.00368637	0.0717225	0.808492	0.0714046	0.0076987	0.0163127	0.00539633	0.00191333	0.0047926	0.00679417
ε	0.0018874	0.00174334	0.00735884	0.085404	0.582897	0.21649	0.0285875	0.0324788	0.0187931	0.000940872	0.000237749	0.0231809
l	0.000438411	7.22478e-05	0.0011466	0.0272615	0.556073	0.195398	0.0166776	0.0484001	0.0193696	0.0127519	0.000265693	0.122145
a	0.00152749	0.00108076	0.0220866	0.0111371	0.187914	0.269035	0.0846806	0.107269	0.080868	0.116492	0.00736623	0.110543
a	0.00164686	0.000102617	0.00859698	0.0106233	0.145736	0.327298	0.244336	0.157232	0.0298841	0.0344661	0.00306871	0.037009
p	0.00340739	0.000568404	0.00568792	0.0108606	0.0642085	0.153684	0.256512	0.363427	0.0853122	0.0309363	0.00574808	0.0196483
ó	0.000448966	0.00307405	0.00111015	0.0060972	0.15088	0.0812238	0.0346043	0.234676	0.181154	0.0370554	0.0970465	0.172629
a	0.000501108	0.0149376	0.00224871	0.00958556	0.32202	0.158738	0.0402855	0.156732	0.0679504	0.0292774	0.0495185	0.148205
p	0.00177496	0.000311973	0.00545029	0.00328779	0.0118575	0.0580293	0.161754	0.382503	0.190245	0.119874	0.0213538	0.0435582
á	0.00040555	0.00197808	0.00310885	0.000785385	0.0179066	0.0180778	0.0357767	0.120502	0.20207	0.11063	0.344489	0.14427
b	0.00191827	0.0226462	0.0073227	0.00126462	0.0102957	0.0087978	0.0299969	0.0805712	0.0608708	0.0535783	0.602555	0.120182
h	0.000247121	0.000440675	0.000571332	0.000214282	0.00171135	0.00738986	0.0245517	0.134542	0.361163	0.177917	0.0813994	0.209852
