 	la	manière	dont	il	m'	espoinne	est	un	manque	de	respect	</S>
e	0.0883864	0.151842	0.418132	0.245381	0.0673151	0.00318668	0.00901308	0.00266273	0.00343104	0.00870393	0.00123122	0.000714281
l	0.00171009	0.000242861	0.00173411	0.00220249	0.00294097	0.858296	0.00369462	0.068807	0.0581964	0.00177276	0.00032264	8.0146e-05
έ	0.000248704	0.000181135	0.00317949	0.00145892	0.00121126	0.976617	0.00161297	0.00491322	0.00864463	0.000174064	2.25998e-05	0.00173616
n	0.000687638	0.0011137	0.00461519	0.00940894	0.00701703	0.825017	0.0344621	0.0434994	0.0689838	0.00441592	0.000116728	0.000662828
g	0.172765	0.0166448	0.0546691	0.116912	0.163843	0.379259	0.0427824	0.0235248	0.00393144	0.0145382	0.00714131	0.00398874
í	0.0712479	0.0160346	0.0304218	0.0697627	0.0691073	0.328911	0.105735	0.125678	0.0622602	0.0750434	0.00338254	0.0424155
s	0.267933	0.221659	0.0306141	0.0243053	0.0271548	0.0439287	0.107697	0.0921752	0.0274687	0.0215744	0.00558431	0.129904
í	0.0945349	0.0585595	0.0590536	0.0266172	0.0329858	0.0446832	0.109998	0.136685	0.0471595	0.0644587	0.00619794	0.319066
l	0.039234	0.0810119	0.109191	0.0675933	0.0618862	0.123056	0.214985	0.105021	0.0509788	0.0669031	0.00339901	0.0767405
í	0.0612166	0.0501432	0.251823	0.0749859	0.0139097	0.0593613	0.0171414	0.0165829	0.015314	0.0122719	0.00159917	0.42565
y	0.0637226	0.0923033	0.415895	0.180398	0.0584571	0.0341582	0.0601016	0.0172647	0.00727763	0.0154741	0.00317297	0.0517744
é	0.00402051	0.00632266	0.450923	0.07815	0.050586	0.243427	0.0566597	0.0203413	0.00595327	0.00913067	0.00133271	0.0731526
é	0.0133322	0.0347283	0.467423	0.18702	0.104386	0.0655065	0.0682686	0.00883363	0.00249559	0.00680519	0.00226301	0.0389374
l	0.00092792	0.000400835	0.0049396	0.0272236	0.0470353	0.669031	0.0596549	0.0817479	0.0627786	0.00455419	0.000877344	0.0408287
έ	0.000262642	8.13628e-05	0.00536197	0.0218547	0.0960797	0.728582	0.0679197	0.034403	0.0286891	0.0032489	0.00017703	0.0133399
n	0.000822792	0.000370352	0.0223176	0.0589371	0.118275	0.486106	0.115362	0.0460475	0.020582	0.0121114	0.00109007	0.117978
g	0.00389058	0.000847997	0.0255448	0.12329	0.230583	0.369746	0.162102	0.0418167	0.00939065	0.0214913	0.00170037	0.00959667
έ	0.00981238	0.0203394	0.370635	0.168533	0.16618	0.191331	0.0462057	0.00311649	0.00113197	0.00861791	0.000743181	0.0133545
s	0.0152563	0.0144284	0.0296748	0.100812	0.18401	0.0439085	0.465802	0.0969021	0.00770362	0.0203056	0.00656717	0.0146299
έ	0.0227589	0.0084888	0.0894156	0.0253555	0.154246	0.42714	0.178807	0.0325289	0.00301578	0.0133653	0.0029066	0.0419709
w	0.00176754	0.00316866	0.019044	0.188479	0.529385	0.00671438	0.21355	0.0240842	0.00319584	0.00449596	0.000753571	0.00536151
a	0.00142791	0.00140201	0.00895933	0.136	0.782608	0.0033322	0.0512905	0.00401074	0.000523029	0.00221818	0.00556911	0.0026589
n	0.000461851	0.00103599	0.0050742	0.0941044	0.372811	0.00684482	0.387112	0.0694449	0.0126402	0.0142857	0.00629218	0.0298926
g	0.00994376	0.0186768	0.0740035	0.0379189	0.489801	0.0686065	0.17059	0.017575	0.00644423	0.0106796	0.00251013	0.0932504
á	0.000358256	0.00165774	0.0272711	0.0261686	0.55952	0.0568156	0.224763	0.0415306	0.019016	0.0154431	0.00377918	0.0236769
é	0.00175957	0.00144888	0.00352059	0.0319318	0.124649	0.00620695	0.359783	0.25651	0.0775202	0.103253	0.0217905	0.0116258
d	0.000689258	0.000247988	0.00171192	0.00441849	0.0227813	0.0242608	0.147814	0.321374	0.44227	0.024844	0.00109944	0.00848871
i	0.000578871	0.000258381	0.000759503	0.000964339	0.0300374	0.00330416	0.10686	0.299978	0.4235	0.0167369	0.00087438	0.116149
k	0.00178425	0.00023447	0.000238505	0.000538623	0.00523102	0.00223031	0.0385706	0.217977	0.543052	0.116902	0.00304762	0.070193
a	0.00023343	2.49621e-05	0.000251717	0.00105064	0.0144294	0.00891066	0.0237742	0.208986	0.568727	0.0752969	0.0518956	0.0464193
n	0.000125534	8.83159e-05	0.000428637	0.00409624	0.0306498	0.00815686	0.0530332	0.173287	0.32847	0.103778	0.0947102	0.203176
d	0.00146931	0.000267839	0.000753061	0.000655566	0.00165754	0.0280473	0.016485	0.0894004	0.335	0.132127	0.0639687	0.330168
í	0.00306403	0.00119699	0.00200284	0.00103728	0.00364921	0.0167763	0.0285429	0.0605785	0.115999	0.0855406	0.0246168	0.656996
k	0.000587726	0.00035468	0.00204027	0.00626995	0.0107336	0.00155979	0.0334987	0.029183	0.0354561	0.393924	0.263613	0.222779
a	0.000697741	0.000275499	0.00062022	0.00335554	0.0133316	0.000647133	0.00803158	0.0317751	0.0558587	0.0749249	0.758162	0.0523198
á	7.8773e-05	0.000109835	0.00039883	0.00634272	0.0236298	0.000975384	0.0119621	0.0299386	0.0634704	0.0996982	0.313348	0.450047
</S>	0.00204829	0.00132541	0.00354723	0.0300755	0.0652319	0.00170026	0.0384493	0.0132484	0.0236651	0.110884	0.0347992	0.675026
