 	la	manière	dont	il	monte	sur	les	palmiers	est	celle	des	récolteurs	de	vin	de	palme	</S>
e	0.15615	0.28429	0.452143	0.098511	0.00665822	0.00150396	0.00011166	8.28442e-05	7.64922e-05	0.000260419	6.3803e-05	2.77722e-05	2.03142e-05	1.40567e-05	4.3934e-05	2.22498e-05	2.03529e-05
l	0.00383213	0.00332372	0.0115443	0.0109883	0.409064	0.511851	0.0155864	0.00169431	0.00274875	0.0199175	0.00116357	0.000194955	0.000182305	0.00201466	0.00137641	0.00414604	0.0003718
é	0.000567196	0.00357253	0.00181811	0.00318903	0.681561	0.252614	0.0119125	0.00284042	0.00274342	0.0219356	0.00281665	0.000749259	0.000508948	0.00805899	0.000756731	0.0028563	0.00149967
é	0.000335639	0.0107947	0.013119	0.0324985	0.514373	0.353241	0.0200017	0.00187106	0.0093482	0.026174	0.00307659	0.0010099	0.000840833	0.0035645	0.00229713	0.00215567	0.00529829
l	0.0842524	0.0375745	0.294138	0.350704	0.0298036	0.0930624	0.048309	0.0222973	0.0107519	0.00283839	0.00165155	0.00158806	0.00673351	0.00183031	0.00429397	0.000954441	0.00921741
í	0.0268276	0.00953376	0.0332568	0.0154259	0.0740227	0.25603	0.159154	0.0306501	0.0380397	0.0114615	0.0116726	0.00204487	0.0144789	0.0175627	0.0226205	0.0394479	0.23777
y	0.429738	0.11989	0.240776	0.102527	0.0184401	0.0288559	0.0103691	0.00708723	0.00470546	0.00403692	0.00204725	0.0008224	0.00741304	0.00187045	0.00726973	0.00138545	0.0127658
é	0.179057	0.0206954	0.574348	0.0156211	0.00593268	0.0702582	0.0218192	0.00433121	0.00968042	0.00826466	0.00205789	0.00015805	0.00702467	0.00324019	0.00836919	0.00771208	0.0614307
é	0.11792	0.0404684	0.432469	0.0359229	0.0792025	0.142829	0.0147711	0.00292711	0.0106928	0.0359842	0.00623629	0.000785202	0.00694649	0.00933772	0.0076501	0.0117365	0.0441201
l	0.00692174	0.000606144	0.00477747	0.00762251	0.517986	0.403185	0.0324414	0.00937505	0.00438207	0.00356884	0.00115114	0.00125196	0.000666369	0.00214777	0.000735912	0.00120845	0.00197285
é	0.000418493	3.00324e-05	0.000803894	0.00134778	0.796084	0.179201	0.0048895	0.00129369	0.00134889	0.00413145	0.000589806	8.20168e-05	0.000309505	0.00347476	0.000633126	0.00172069	0.00364128
á	0.00458217	0.000899296	0.0117037	0.0382806	0.343154	0.370357	0.0861608	0.0160299	0.01962	0.0255453	0.00734233	0.00178839	0.0028278	0.0143394	0.00548985	0.00928061	0.0425997
w	0.00401419	0.0034056	0.159104	0.16769	0.114024	0.132401	0.183229	0.10028	0.0420295	0.034162	0.00819788	0.00792967	0.0153439	0.00339107	0.0108399	0.00324144	0.0107166
a	0.00163547	0.0052964	0.0163987	0.341372	0.116155	0.0153399	0.0671587	0.304457	0.0491139	0.0063875	0.00841157	0.00436476	0.0169357	0.0128038	0.00833979	0.00456614	0.0212633
a	0.000707944	0.00234822	0.0398501	0.258621	0.0966294	0.0605253	0.275464	0.14643	0.0303473	0.00791247	0.0108541	0.00590158	0.0118667	0.00956237	0.00583051	0.0068294	0.0303195
b	0.00127799	0.00294538	0.00650296	0.0161637	0.190176	0.206713	0.256152	0.183287	0.0475172	0.0280372	0.0134623	0.019307	0.00542796	0.0119972	0.00372126	0.00337547	0.00393615
í	0.000935837	0.000728915	0.000561017	0.0117715	0.130165	0.0446231	0.105236	0.452276	0.0559296	0.0156911	0.0630855	0.034653	0.0133852	0.0542968	0.00389929	0.00629171	0.00647014
a	0.000813398	0.00110246	0.00353313	0.0661718	0.153315	0.0129906	0.118963	0.271981	0.0615601	0.0154924	0.0414248	0.0608111	0.0109508	0.0445423	0.00733785	0.0164162	0.112594
é	0.00175903	0.00279932	0.00800788	0.00961188	0.0611567	0.0745842	0.174042	0.233013	0.136095	0.142793	0.0474985	0.0612802	0.0127721	0.0195524	0.00499117	0.0036877	0.00635633
d	0.00182229	0.00164601	0.00213425	0.00219146	0.0417885	0.086844	0.0479371	0.137664	0.134662	0.237753	0.0823791	0.116851	0.0258416	0.0480791	0.0110153	0.0116028	0.00978928
i	0.000662456	0.000189147	0.00121237	0.000363048	0.0094414	0.0532535	0.0504285	0.0195281	0.120088	0.561854	0.0754172	0.00667192	0.00961274	0.0244156	0.0119132	0.0260035	0.0289444
