 	en	se	livrant	à	n'	importe	quel	homme	tu	finiras	avec	un	diable	</S>
a	0.483042	0.409821	0.0127226	0.00904893	0.0115622	0.0295837	0.0171103	0.0112984	0.00725761	0.00303209	0.00196808	0.00269616	0.000797665	5.91889e-05
l	0.256794	0.36766	0.26394	0.0109167	0.0114327	0.0053855	0.00297826	0.00605542	0.0138044	0.0263561	0.00646531	0.0103213	0.0157771	0.00211379
ó	0.135258	0.224708	0.180259	0.0256939	0.0303428	0.0255185	0.0120865	0.0437057	0.127271	0.0864965	0.0311141	0.00924266	0.00342815	0.064874
m	0.0963212	0.261794	0.110535	0.0235981	0.0222126	0.0170601	0.0257538	0.0305744	0.0690831	0.140885	0.0312423	0.0325799	0.00971282	0.128647
i	0.312815	0.214061	0.307923	0.0531164	0.0344496	0.00414632	0.00506089	0.0128773	0.00146909	0.00117235	0.00254697	0.000892932	0.00109031	0.0483789
b	0.125295	0.0896421	0.271134	0.10858	0.0549717	0.0424887	0.0180758	0.0290452	0.00848896	0.0109083	0.0215255	0.0177535	0.00938835	0.192703
í	0.0595559	0.106165	0.362014	0.16722	0.0486084	0.106255	0.0107655	0.0247827	0.00798359	0.00640899	0.0159476	0.00822891	0.00114099	0.074923
k	0.0716493	0.202884	0.184085	0.102546	0.0627144	0.108092	0.049778	0.049781	0.0351753	0.014425	0.025029	0.0165319	0.00201596	0.0752924
o	0.0210107	0.0314862	0.642388	0.0923433	0.0237103	0.0867435	0.00675181	0.0155617	0.00660578	0.0179278	0.0132437	0.00384483	0.00978048	0.0286016
b	0.0270377	0.0507118	0.497851	0.109039	0.0558209	0.081187	0.0192131	0.0281957	0.00323561	0.0121221	0.0113176	0.0111519	0.0529612	0.0401562
h	0.0190465	0.0089798	0.340466	0.137913	0.0885358	0.20296	0.0406549	0.0420027	0.0123277	0.0101529	0.0185427	0.00336388	0.0100892	0.0649651
í	0.0528981	0.0219378	0.137694	0.13661	0.0673693	0.317509	0.0862511	0.0632169	0.011333	0.0116081	0.00894368	0.00552377	0.0105824	0.0685226
k	0.0112568	0.00889524	0.0125833	0.189855	0.202709	0.263789	0.183044	0.0482397	0.0195594	0.0123771	0.011356	0.0125898	0.00170957	0.0220364
o	0.0035521	0.00441866	0.0542731	0.130955	0.0582756	0.386694	0.0734217	0.106439	0.0339543	0.0634675	0.0363064	0.00537989	0.00701294	0.0358503
b	0.00288532	0.00342998	0.0707162	0.104055	0.12136	0.322059	0.0741695	0.171925	0.00899236	0.0272331	0.0220078	0.00890465	0.0385456	0.0237169
h	0.0083283	0.00350357	0.0722503	0.113713	0.0494592	0.370905	0.0813943	0.140427	0.0285841	0.0221485	0.0482504	0.00485313	0.00907486	0.0471076
i	0.00573114	0.00578138	0.0339863	0.116308	0.0570175	0.290375	0.124573	0.108691	0.0332752	0.0688762	0.041606	0.0127114	0.0151265	0.0859417
e	0.00356107	0.00176666	0.00307481	0.0443213	0.0703696	0.096453	0.186732	0.150555	0.12092	0.159457	0.0871332	0.0423851	0.00635721	0.0269148
b	0.01195	0.00257442	0.017313	0.0498048	0.0735447	0.0593044	0.058615	0.118299	0.0649926	0.178042	0.144837	0.0559516	0.0968493	0.0679227
v	0.00629796	0.0121345	0.0768645	0.140326	0.0654366	0.0902628	0.0427623	0.170044	0.0196772	0.0818487	0.160288	0.0464588	0.0218209	0.0657777
í	0.0013707	0.00189829	0.0493419	0.0651509	0.0451141	0.200055	0.0774527	0.13466	0.0232047	0.134486	0.17067	0.0482424	0.0115621	0.0367911
é	0.000903394	0.00158485	0.00265159	0.0158806	0.0289775	0.0570557	0.0652642	0.152924	0.194369	0.261227	0.116977	0.0634121	0.0104518	0.0283204
n	0.00285786	0.00104602	0.00654487	0.0188633	0.026854	0.0264073	0.0322214	0.0530582	0.0990892	0.169653	0.200328	0.114418	0.0522503	0.196409
ω	0.00754535	0.00254854	0.00131179	0.00790787	0.00907585	0.00633446	0.0152683	0.0186339	0.715436	0.0878526	0.0542378	0.0364338	0.000532703	0.0368806
l	0.00029527	0.00022434	0.000234996	0.00646815	0.0240842	0.0169307	0.0476847	0.0684127	0.216104	0.123618	0.257414	0.160765	0.00224118	0.0755223
ó	0.00461257	0.00151886	0.0029678	0.0177612	0.031086	0.0241279	0.0352304	0.0542361	0.10245	0.0876257	0.105733	0.0734894	0.02926	0.429901
o	0.00162614	0.000835928	0.0010818	0.0154088	0.0223338	0.015629	0.0695409	0.0606979	0.0812139	0.0801712	0.179855	0.255097	0.0374542	0.179054
k	0.000424388	0.00101792	0.0184166	0.00956353	0.00815706	0.00247784	0.00249534	0.00480556	0.00774663	0.0624685	0.0678382	0.202518	0.60094	0.0111305
o	1.25983e-05	3.73535e-05	0.0121055	0.00267421	0.00455505	0.00286648	0.00186062	0.00688035	0.00467344	0.0575879	0.0666292	0.118276	0.673196	0.0486448
b	0.000128484	5.56919e-05	0.00186346	0.00327978	0.00390249	0.00325086	0.00183491	0.00836993	0.00176303	0.0351757	0.0306916	0.0413666	0.742203	0.126115
h	0.000740652	0.000434762	0.00760402	0.0243935	0.0259934	0.0142222	0.025298	0.0203759	0.0479691	0.27605	0.119326	0.200404	0.119752	0.117437
á	0.000864136	0.000264436	0.00440879	0.0168386	0.0263674	0.0616346	0.048794	0.0608945	0.0184232	0.0663648	0.0470178	0.0320876	0.213848	0.402192
o	0.000614741	0.000324767	0.00127372	0.00684532	0.0112616	0.0110576	0.0259453	0.0172119	0.0462963	0.0280767	0.0890756	0.170773	0.0524567	0.538787
k	0.00104029	0.001207	0.00762392	0.0242299	0.0117638	0.00524502	0.00247622	0.00434353	0.00493884	0.0219187	0.0239073	0.11915	0.517056	0.255099
w	9.35438e-05	0.000119843	0.0224149	0.0052914	0.0081523	0.00887882	0.00257558	0.0113072	0.00328696	0.0472076	0.0365655	0.0773823	0.641166	0.135558
é	0.00358414	0.00490133	0.0229677	0.028325	0.017008	0.0192664	0.0170636	0.0324941	0.0351525	0.177911	0.11587	0.108277	0.0910358	0.326143
</S>	0.00125989	0.00064859	0.00269181	0.00800584	0.00651149	0.00844016	0.00854991	0.00979972	0.0192077	0.0322514	0.0610605	0.129799	0.117463	0.594312
