 	j'	ai	peur	de	votre	chien	</S>
n	0.873182	0.0107423	0.029018	0.0206149	0.0645039	0.00152708	0.000411313
g	0.93209	0.00581368	0.0236609	0.00389298	0.0324681	0.00202935	4.54998e-05
á	0.948691	0.0148095	0.0167871	0.00232402	0.00658514	0.0107367	6.60978e-05
i	0.0636719	0.162989	0.391287	0.0654379	0.067066	0.115024	0.134525
d	0.022585	0.387382	0.172131	0.0784246	0.0116736	0.083	0.244804
í	0.02564	0.499942	0.138449	0.0972413	0.00368022	0.0556784	0.179369
l	0.0653652	0.293615	0.111951	0.165231	0.0520856	0.00751238	0.30424
a	0.0311605	0.508269	0.191956	0.101533	0.0148909	0.0312646	0.120926
b	0.00670634	0.0629013	0.583558	0.241415	0.0345686	0.0468118	0.0240381
ώ	0.0360726	0.0462836	0.545699	0.270587	0.0113887	0.0859507	0.00401934
m	0.00338046	0.0187114	0.464084	0.369014	0.0557351	0.0630322	0.0260424
ώ	0.000935654	0.00477939	0.222189	0.428623	0.0132234	0.180299	0.14995
b	0.00069057	0.0340917	0.109	0.503278	0.0286049	0.135427	0.188908
á	0.0055906	0.0137762	0.062955	0.434131	0.0654121	0.0475374	0.370598
m	0.0261156	0.0364544	0.0817881	0.237493	0.435734	0.053889	0.128526
b	5.02957e-05	0.00306022	0.0235744	0.0672224	0.0601897	0.734029	0.111874
v	3.53184e-05	0.0011742	0.0162492	0.100684	0.00232187	0.850354	0.0291817
á	0.000121853	0.00217923	0.0498545	0.179209	0.0106187	0.55958	0.198437
n	0.000458986	0.00306067	0.0348141	0.146411	0.0638756	0.311239	0.44014
d	0.00188452	0.0089448	0.0213303	0.144507	0.137951	0.39685	0.288532
é	0.000334098	0.00799085	0.0232461	0.152309	0.128887	0.188136	0.499097
y	0.00164124	0.0306426	0.0731361	0.277764	0.127211	0.0416387	0.447966
a	0.00192548	0.020647	0.0415797	0.0913361	0.34041	0.0635895	0.440512
b	0.00121057	0.00738405	0.00688832	0.0545137	0.337737	0.0278476	0.564418
í	0.00320984	0.00407165	0.0131925	0.158647	0.673205	0.0600338	0.0876403
n	0.0062265	0.0059694	0.0156319	0.0669599	0.722602	0.0340474	0.148562
í	0.0192977	0.00904412	0.0312885	0.0419323	0.411025	0.070637	0.416775
</S>	0.000376084	0.00863927	0.0148065	0.0641312	0.154028	0.0936103	0.664409
